# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.227
metadata : {}


# id : NWRW1800000053.227.1.1
44세에도 선발, ML 최고령 콜론

44세에도	44/SN+세/NNB+에/JKB+도/JX
선발,	선발/NNG+,/SP
ML	ML/SL
최고령	최/XPN+고령/NNG
콜론	콜론/NNP


# id : NWRW1800000053.227.2.1
애틀랜타서 방출 뒤 미네소타행… 19일 양키스전 통산 236승 도전

애틀랜타서	애틀랜타/NNP+서/JKB
방출	방출/NNG
뒤	뒤/NNG
미네소타행…	미네소타행/NNG+…/SE
19일	19/SN+일/NNB
양키스전	양키스전/NNG
통산	통산/NNG
236승	236/SN+승/NNB
도전	도전/NNG


# id : NWRW1800000053.227.3.1
‘코리안 특급’ 박찬호(44)는 2010시즌을 마지막으로 메이저리그 무대를 떠났다.

‘코리안	‘/SS+코리안/NNP
특급’	특급/NNG+’/SS
박찬호(44)는	박찬호/NNP+(/SS+44/SN+)/SS+는/JX
2010시즌을	2010/SN+시즌/NNG+을/JKO
마지막으로	마지막/NNG+으로/JKB
메이저리그	메이저리그/NNG
무대를	무대/NNG+를/JKO
떠났다.	떠나/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.227.3.2
이후 일본 오릭스와 KBO리그 한화에서 뛴 뒤 2012년 말 은퇴했다.

이후	이후/NNG
일본	일본/NNP
오릭스와	오릭스/NNP+와/JKB
KBO리그	KBO/SL+리그/NNG
한화에서	한화/NNP+에서/JKB
뛴	뛰/VV+ㄴ/ETM
뒤	뒤/NNG
2012년	2012/SN+년/NNB
말	말/NNB
은퇴했다.	은퇴/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.227.4.1
그런데 박찬호와 동갑으로 한때 선발 맞대결을 벌이기도 했던 바르톨로 콜론(44·사진)은 여전히 현역이다.

그런데	그런데/MAJ
박찬호와	박찬호/NNP+와/JKB
동갑으로	동갑/NNG+으로/JKB
한때	한때/MAG
선발	선발/NNG
맞대결을	맞대결/NNG+을/JKO
벌이기도	벌이/VV+기/ETN+도/JX
했던	하/VX+았/EP+던/ETM
바르톨로	바르톨로/NNP
콜론(44·사진)은	콜론/NNP+(/SS+44/SN+·/SP+사진/NNG+)/SS+은/JX
여전히	여전히/MAG
현역이다.	현역/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.227.4.2
메이저리그 최고령 선수인 콜론은 미네소타 유니폼을 입고 19일 뉴욕 양키스와의 경기에 선발 등판한다.

메이저리그	메이저리그/NNG
최고령	최/XPN+고령/NNG
선수인	선수/NNG+이/VCP+ㄴ/ETM
콜론은	콜론/NNP+은/JX
미네소타	미네소타/NNP
유니폼을	유니폼/NNG+을/JKO
입고	입/VV+고/EC
19일	19/SN+일/NNB
뉴욕	뉴욕/NNP
양키스와의	양키스/NNP+와/JKB+의/JKG
경기에	경기/NNG+에/JKB
선발	선발/NNG
등판한다.	등판/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.227.5.1
1997년 클리블랜드에서 데뷔한 콜론은 메이저리그에서 21시즌째 뛰고 있다.

1997년	1997/SN+년/NNB
클리블랜드에서	클리블랜드/NNP+에서/JKB
데뷔한	데뷔/NNG+하/XSV+ㄴ/ETM
콜론은	콜론/NNP+은/JX
메이저리그에서	메이저리그/NNG+에서/JKB
21시즌째	21/SN+시즌/NNG+째/XSN
뛰고	뛰/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.227.5.2
미네소타는 그의 10번째 팀이다.

미네소타는	미네소타/NNP+는/JX
그의	그/NP+의/JKG
10번째	10/SN+번/NNB+째/XSN
팀이다.	팀/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.227.5.3
양키스는 2011년 그가 잠시 몸담았던 팀이다.

양키스는	양키스/NNP+는/JX
2011년	2011/SN+년/NNB
그가	그/NP+가/JKS
잠시	잠시/MAG
몸담았던	몸담/VV+았/EP+던/ETM
팀이다.	팀/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.227.6.1
강산이 두 번 바뀔 세월 동안 그가 선수 생활을 이어갈 수 있는 것은 특유의 유연성 덕분이다.

강산이	강산/NNG+이/JKS
두	두/MMN
번	번/NNB
바뀔	바뀌/VV+ㄹ/ETM
세월	세월/NNG
동안	동안/NNG
그가	그/NP+가/JKS
선수	선수/NNG
생활을	생활/NNG+을/JKO
이어갈	잇/VV+어/EC+가/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
것은	것/NNB+은/JX
특유의	특유/NNG+의/JKG
유연성	유연성/NNG
덕분이다.	덕분/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.227.6.2
키 180cm에 몸무게 129kg으로 우람한 체구인 그는 유연성만큼은 타의 추종을 불허한다.

키	키/NNG
180cm에	180/SN+cm/SW+에/JKB
몸무게	몸무게/NNG
129kg으로	129/SN+kg/SW+으로/JKB
우람한	우람하/VA+ㄴ/ETM
체구인	체구/NNG+이/VCP+ㄴ/ETM
그는	그/NP+는/JX
유연성만큼은	유연성/NNG+만큼/JKB+은/JX
타의	타/NNG+의/JKG
추종을	추종/NNG+을/JKO
불허한다.	불허/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.227.6.3
팀 동료인 요한 산타나는 “콜론의 스트레칭을 보고 깜짝 놀랐다.

팀	팀/NNG
동료인	동료/NNG+이/VCP+ㄴ/ETM
요한	요한/NNP
산타나는	산타나/NNP+는/JX
“콜론의	“/SS+콜론/NNP+의/JKG
스트레칭을	스트레칭/NNG+을/JKO
보고	보/VV+고/EC
깜짝	깜짝/MAG
놀랐다.	놀라/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.227.6.4
다리를 편 채 허리를 굽히는 동작을 했는데 손바닥이 아니라 머리가 땅에 닿더라.

다리를	다리/NNG+를/JKO
편	펴/VV+ㄴ/ETM
채	채/NNB
허리를	허리/NNG+를/JKO
굽히는	굽히/VV+는/ETM
동작을	동작/NNG+을/JKO
했는데	하/VV+았/EP+는데/EC
손바닥이	손바닥/NNG+이/JKS
아니라	아니/VCN+라/EC
머리가	머리/NNG+가/JKS
땅에	땅/NNG+에/JKB
닿더라.	닿/VV+더라/EF+./SF


# id : NWRW1800000053.227.6.5
곧이들리지 않겠지만 내 눈으로 똑똑히 봤다”고 말했다.

곧이들리지	곧이들리/VV+지/EC
않겠지만	않/VX+겠/EP+지만/EC
내	나/NP+의/JKG
눈으로	눈/NNG+으로/JKB
똑똑히	똑똑히/MAG
봤다”고	보/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.227.7.1
올해 애틀랜타에서 2승 8패, 평균자책점 8.14의 부진을 보인 뒤 방출됐지만 여러 팀에서 입단 제의를 받았다.

올해	올해/NNG
애틀랜타에서	애틀랜타/NNP+에서/JKB
2승	2/SN+승/NNB
8패,	8/SN+패/NNB+,/SP
평균자책점	평균/NNG+자책점/NNG
8.14의	8/SN+./SP+14/SN+의/JKG
부진을	부진/NNG+을/JKO
보인	보이/VV+ㄴ/ETM
뒤	뒤/NNG
방출됐지만	방출/NNG+되/XSV+었/EP+지만/EC
여러	여러/MMN
팀에서	팀/NNG+에서/JKB
입단	입단/NNG
제의를	제의/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.227.7.2
특히 2014년부터 3시즌 동안 44승을 거둔 뉴욕 메츠가 적극적이었다.

특히	특히/MAG
2014년부터	2014/SN+년/NNB+부터/JX
3시즌	3/SN+시즌/NNG
동안	동안/NNG
44승을	44/SN+승/NNB+을/JKO
거둔	거두/VV+ㄴ/ETM
뉴욕	뉴욕/NNP
메츠가	메츠/NNP+가/JKS
적극적이었다.	적극/NNG+적/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000053.227.7.3
하지만 좀 더 많은 기회를 잡을 수 있다는 이유로 미네소타를 선택했다.

하지만	하지만/MAJ
좀	좀/MAG
더	더/MAG
많은	많/VA+은/ETM
기회를	기회/NNG+를/JKO
잡을	잡/VV+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
이유로	이유/NNG+로/JKB
미네소타를	미네소타/NNP+를/JKO
선택했다.	선택/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.227.8.1
통산 235승(170패)을 거둔 그는 도미니카공화국 출신 최다승을 노리고 있다.

통산	통산/NNG
235승(170패)을	235/SN+승/NNB+(/SS+170/SN+패/NNB+)/SS+을/JKO
거둔	거두/VV+ㄴ/ETM
그는	그/NP+는/JX
도미니카공화국	도미니카공화국/NNP
출신	출신/NNG
최다승을	최/XPN+다승/NNG+을/JKO
노리고	노리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.227.8.2
후안 마리찰이 세운 243승을 넘어서기까지는 9승이 남았다.

후안	후안/NNP
마리찰이	마리찰/NNP+이/JKS
세운	세우/VV+ㄴ/ETM
243승을	243/SN+승/NNB+을/JKO
넘어서기까지는	넘어서/VV+기/ETN+까지/JX+는/JX
9승이	9/SN+승/NNB+이/JKS
남았다.	남/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.227.8.3
내년까지 선수 생명을 이어간다면 충분히 기록 경신이 가능하다.

내년까지	내년/NNG+까지/JX
선수	선수/NNG
생명을	생명/NNG+을/JKO
이어간다면	잇/VV+어/EC+가/VX+ㄴ다면/EC
충분히	충분히/MAG
기록	기록/NNG
경신이	경신/NNG+이/JKS
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000053.227.8.4
박찬호는 마지막 팀이었던 피츠버그에서 아시아 투수 최다승(124승) 기록을 세웠다.

박찬호는	박찬호/NNP+는/JX
마지막	마지막/NNG
팀이었던	팀/NNG+이/VCP+었/EP+던/ETM
피츠버그에서	피츠버그/NNP+에서/JKB
아시아	아시아/NNP
투수	투수/NNG
최다승(124승)	최/XPN+다승/NNG+(/SS+124/SN+승/NNB+)/SS
기록을	기록/NNG+을/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF


