# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.340
metadata : {}


# id : NWRW1800000022.340.1.1
[태평로] 나영이 사건 현장에 가보니

[태평로]	[/SS+태평로/NNP+]/SS
나영이	나영이/NNP
사건	사건/NNG
현장에	현장/NNG+에/JKB
가보니	가/VV+아/EC+보/VX+니/EC


# id : NWRW1800000022.340.2.1
경기도 안산의 나영이 사건 현장에 가볼 생각을 한 것은 풀리지 않는 의문 때문이었다.

경기도	경기도/NNP
안산의	안산/NNP+의/JKG
나영이	나영이/NNP
사건	사건/NNG
현장에	현장/NNG+에/JKB
가볼	가/VV+아/EC+보/VX+ㄹ/ETM
생각을	생각/NNG+을/JKO
한	하/VV+ㄴ/ETM
것은	것/NNB+은/JX
풀리지	풀리/VV+지/EC
않는	않/VX+는/ETM
의문	의문/NNG
때문이었다.	때문/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.340.2.2
나영이는 작년 12월 학예회 준비 때문에 평소보다 일찍 등교하다 변을 당했다.

나영이는	나영이/NNP+는/JX
작년	작년/NNG
12월	12/SN+월/NNB
학예회	학예회/NNG
준비	준비/NNG
때문에	때문/NNB+에/JKB
평소보다	평소/NNG+보다/JKB
일찍	일찍/MAG
등교하다	등교/NNG+하/XSV+다/EC
변을	변/NNG+을/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.340.2.3
범행 시각은 아침 8시에서 8시 반 사이였다.

범행	범행/NNG
시각은	시각/NNG+은/JX
아침	아침/NNG
8시에서	8/SN+시/NNB+에서/JKB
8시	8/SN+시/NNB
반	반/NNG
사이였다.	사이/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.340.3.1
어떻게 이런 기막힌 일이 벌어질 수 있을까.

어떻게	어떻/VA+게/EC
이런	이런/MMD
기막힌	기막히/VA+ㄴ/ETM
일이	일/NNG+이/JKS
벌어질	벌어지/VV+ㄹ/ETM
수	수/NNB
있을까.	있/VA+을까/EF+./SF


# id : NWRW1800000022.340.3.2
아무리 짐승 같은 성범죄자라지만 동이 튼 아침 시각에, 그것도 유흥가 우범지대가 아닌 학교 옆에서 끔찍한 성폭력을 휘두를 수 있었다는 것이 나는 이해되지 않았다.

아무리	아무리/MAG
짐승	짐승/NNG
같은	같/VA+은/ETM
성범죄자라지만	성범죄자/NNG+이/VCP+라지만/EC
동이	동/NNG+이/JKS
튼	트/VV+ㄴ/ETM
아침	아침/NNG
시각에,	시각/NNG+에/JKB+,/SP
그것도	그것/NP+도/JX
유흥가	유흥가/NNG
우범지대가	우범/NNG+지대/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
학교	학교/NNG
