# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.438
metadata : {}


# id : NWRW1800000048.438.1.1
북, YS 서거에 침묵…김일성 조문파동 앙금탓?

북,	북/NNP+,/SP
YS	YS/SL
서거에	서거/NNG+에/JKB
침묵…김일성	침묵/NNG+…/SE+김일성/NNP
조문파동	조문/NNG+파동/NNG
앙금탓?	앙금/NNG+탓/NNG+?/SF


# id : NWRW1800000048.438.2.1
DJ·노무현 전 대통령 때와 달라

DJ·노무현	DJ/SL+·/SP+노무현/NNP
전	전/MMD
대통령	대통령/NNG
때와	때/NNG+와/JKB
달라	다르/VA+아/EF


# id : NWRW1800000048.438.3.1
당시 정부서 김일성 조문 막아

당시	당시/NNG
정부서	정부/NNG+서/JKB
김일성	김일성/NNP
조문	조문/NNG
막아	막/VV+아/EF


# id : NWRW1800000048.438.4.1
<노동신문>등 북한 매체들은 김영삼 전 대통령의 서거 이틀째인 23일까지도 관련 내용을 보도하지 않았다.

<노동신문>등	</SS+노동신문/NNP+>/SS+등/NNB
북한	북한/NNP
매체들은	매체/NNG+들/XSN+은/JX
김영삼	김영삼/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
서거	서거/NNG
이틀째인	이틀/NNG+째/XSN+이/VCP+ㄴ/ETM
23일까지도	23/SN+일/NNB+까지/JX+도/JX
관련	관련/NNG
내용을	내용/NNG+을/JKO
보도하지	보도/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.438.5.1
2009년 김대중·노무현 전 대통령 서거 때와는 다른 풍경이다.

2009년	2009/SN+년/NNB
김대중·노무현	김대중/NNP+·/SP+노무현/NNP
전	전/MMD
대통령	대통령/NNG
서거	서거/NNG
때와는	때/NNG+와/JKB+는/JX
다른	다르/VA+ㄴ/ETM
풍경이다.	풍경/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.438.5.2
북한 매체들은 김대중 전 대통령 서거 다음날인 2009년 8월19일 일제히 서거 소식을 보도했다.

북한	북한/NNP
매체들은	매체/NNG+들/XSN+은/JX
김대중	김대중/NNP
전	전/MMD
대통령	대통령/NNG
서거	서거/NNG
다음날인	다음날/NNG+이/VCP+ㄴ/ETM
2009년	2009/SN+년/NNB
8월19일	8/SN+월/NNB+19/SN+일/NNB
일제히	일제히/MAG
소식을	소식/NNG+을/JKO
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.438.5.3
김정일 당시 국방위원장은 “김 전 대통령은 애석하게 서거하였지만 민족의 화해와 통일염원을 실현하기 위한 길에 남긴 공적은 민족과 함께 길이 전해지게 될 것”이라는 조전을 보냈다.

김정일	김정일/NNP
당시	당시/NNG
국방위원장은	국방/NNG+위원장/NNG+은/JX
“김	“/SS+김/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
애석하게	애석/NNG+하/XSA+게/EC
서거하였지만	서거/NNG+하/XSV+았/EP+지만/EC
민족의	민족/NNG+의/JKG
화해와	화해/NNG+와/JC
통일염원을	통일/NNG+염원/NNG+을/JKO
실현하기	실현/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
길에	길/NNG+에/JKB
남긴	남기/VV+ㄴ/ETM
공적은	공적/NNG+은/JX
민족과	민족/NNG+과/JKB
함께	함께/MAG
길이	길이/MAG
전해지게	전하/VV+아/EC+지/VX+게/EC
될	되/VV+ㄹ/ETM
것”이라는	것/NNB+”/SS+이/VCP+라는/ETM
조전을	조전/NNG+을/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.438.5.4
이후 김기남·김양건 노동당 비서 등 조문단 6명이 서울에 왔다.

이후	이후/NNG
김기남·김양건	김기남/NNP+·/SP+김양건/NNP
노동당	노동당/NNP
비서	비서/NNG
등	등/NNB
조문단	조문단/NNG
6명이	6/SN+명/NNB+이/JKS
서울에	서울/NNP+에/JKB
왔다.	오/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.438.5.5
노무현 대통령 서거 때도 다음날인 2009년 5월24일 <노동신문>등은 서거 소식을 보도했고, 25일 김 국방위원장 명의의 조전이 유가족에 전달됐다.

노무현	노무현/NNP
대통령	대통령/NNG
서거	서거/NNG
때도	때/NNG+도/JX
다음날인	다음날/NNG+이/VCP+ㄴ/ETM
2009년	2009/SN+년/NNB
5월24일	5/SN+월/NNB+24/SN+일/NNB
<노동신문>등은	</SS+노동신문/NNP+>/SS+등/NNB+은/JX
소식을	소식/NNG+을/JKO
보도했고,	보도/NNG+하/XSV+았/EP+고/EC+,/SP
25일	25/SN+일/NNB
김	김/NNP
국방위원장	국방/NNG+위원장/NNG
명의의	명의/NNG+의/JKG
조전이	조전/NNG+이/JKS
유가족에	유가족/NNG+에/JKB
전달됐다.	전달/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.438.6.1
북한의 이런 상반된 반응은 김영삼 전 대통령에 대한 감정적 앙금 때문으로 보인다.

북한의	북한/NNP+의/JKG
이런	이런/MMD
상반된	상반/NNG+되/XSV+ㄴ/ETM
반응은	반응/NNG+은/JX
김영삼	김영삼/NNP
전	전/MMD
대통령에	대통령/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
감정적	감정/NNG+적/XSN
앙금	앙금/NNG
때문으로	때문/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.438.6.2
김 전 대통령은 1993년 2월 취임식에서 “어떤 동맹국도 민족보다 우위에 있을 수 없다”며 비전향 장기수 리인모씨를 북으로 송환할 만큼 남북관계 개선 의지가 강했다.

김	김/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
1993년	1993/SN+년/NNB
2월	2/SN+월/NNB
취임식에서	취임식/NNG+에서/JKB
“어떤	“/SS+어떤/MMD
동맹국도	동맹국/NNG+도/JX
민족보다	민족/NNG+보다/JKB
우위에	우위/NNG+에/JKB
있을	있/VA+을/ETM
수	수/NNB
없다”며	없/VA+다/EF+”/SS+며/EC
비전향	비/XPN+전향/NNG
장기수	장기수/NNG
리인모씨를	리인모/NNP+씨/NNB+를/JKO
북으로	북/NNP+으로/JKB
송환할	송환/NNG+하/XSV+ㄹ/ETM
만큼	만큼/NNB
남북관계	남북/NNP+관계/NNG
개선	개선/NNG
의지가	의지/NNG+가/JKS
강했다.	강하/VA+았/EP+다/EF+./SF


# id : NWRW1800000048.438.6.3
그러나 북한의 핵확산금지조약(NPT) 탈퇴 선언으로 북핵문제가 불거지자 “핵무기를 갖고 있는 상대와는 결코 악수할 수 없다”며 대북 강경 기조로 돌아섰다.

그러나	그러나/MAJ
북한의	북한/NNP+의/JKG
핵확산금지조약(NPT)	핵/NNG+확산/NNG+금지/NNG+조약/NNG+(/SS+NPT/SL+)/SS
탈퇴	탈퇴/NNG
선언으로	선언/NNG+으로/JKB
북핵문제가	북핵/NNG+문제/NNG+가/JKS
불거지자	불거지/VV+자/EC
“핵무기를	“/SS+핵무기/NNG+를/JKO
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
상대와는	상대/NNG+와/JKB+는/JX
결코	결코/MAG
악수할	악수/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다”며	없/VA+다/EF+”/SS+며/EC
대북	대북/NNG
강경	강경/NNG
기조로	기조/NNG+로/JKB
돌아섰다.	돌아서/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.438.7.1
1994년 7월 김일성 주석 사망 때는 ‘조문파동’으로 최악의 남북관계를 겪었다.

1994년	1994/SN+년/NNB
7월	7/SN+월/NNB
김일성	김일성/NNP
주석	주석/NNG
사망	사망/NNG
때는	때/NNG+는/JX
‘조문파동’으로	‘/SS+조문/NNG+파동/NNG+’/SS+으로/JKB
최악의	최악/NNG+의/JKG
남북관계를	남북/NNP+관계/NNG+를/JKO
겪었다.	겪/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.438.7.2
당시 김 전 대통령은 북핵 위기를 겪으면서 전쟁 문턱까지 갔으나, 지미 카터 전 미국 대통령의 중재로 남-북 정상회담에 전격 합의하면서 남북관계의 물꼬를 돌려놓는 듯했다.

당시	당시/NNG
김	김/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
북핵	북핵/NNG
위기를	위기/NNG+를/JKO
겪으면서	겪/VV+으면서/EC
전쟁	전쟁/NNG
문턱까지	문턱/NNG+까지/JX
갔으나,	가/VV+았/EP+으나/EC+,/SP
지미	지미/NNP
카터	카터/NNP
미국	미국/NNP
대통령의	대통령/NNG+의/JKG
중재로	중재/NNG+로/JKB
남-북	남-북/NNP
정상회담에	정상/NNG+회담/NNG+에/JKB
전격	전격/NNG
합의하면서	합의/NNG+하/XSV+면서/EC
남북관계의	남북/NNP+관계/NNG+의/JKG
물꼬를	물꼬/NNG+를/JKO
돌려놓는	돌려놓/VV+는/ETM
듯했다.	듯/NNB+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000048.438.7.3
그러나 김 주석이 갑작스럽게 숨지면서 정상회담은 무산됐고, 이어 김일성 주석에 대한 조문 문제가 불거지자 김영삼 정부는 이를 이른바 ‘주사파 색출’의 계기로 삼는 등 대대적인 공안정국을 조성하면서 남북관계는 돌아올 수 없는 길을 건너게 된다.

그러나	그러나/MAJ
