# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.54
metadata : {}


# id : NWRW1800000046.54.1.1
속살 드러낸 '千年 궁성'

속살	속살/NNG
드러낸	드러내/VV+ㄴ/ETM
'千年	'/SS+千年/SH
궁성'	궁성/NNG+'/SS


# id : NWRW1800000046.54.2.1
경주 월성 시굴 현장 공개… 건물터 6동·담장 12기 확인, 토기·막새기와 등 유물 쏟아져

경주	경주/NNP
월성	월성/NNP
시굴	시굴/NNG
현장	현장/NNG
공개…	공개/NNG+…/SE
건물터	건물터/NNG
6동·담장	6/SN+동/NNB+·/SP+담장/NNG
12기	12/SN+기/NNB
확인,	확인/NNG+,/SP
토기·막새기와	토기/NNG+·/SP+막새기와/NNG
등	등/NNB
유물	유물/NNG
쏟아져	쏟아지/VV+어/EF


# id : NWRW1800000046.54.3.1
"여기가 길이 28m 건물터입니다.

"여기가	"/SS+여기/NP+가/JKS
길이	길이/NNG
28m	28/SN+m/SW
건물터입니다.	건물터/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000046.54.3.2
'ㄱ'자 모양으로 꺾어진 흔적이 보이시죠?

'ㄱ'자	'/SS+ㄱ/NNG+'/SS+자/NNG
모양으로	모양/NNG+으로/JKB
꺾어진	꺾어지/VV+ㄴ/ETM
흔적이	흔적/NNG+이/JKS
보이시죠?	보이/VV+시/EP+죠/EF+?/SF


# id : NWRW1800000046.54.3.3
배수로가 딸려 있는 겁니다."

배수로가	배수로/NNG+가/JKS
딸려	딸리/VV+어/EC
있는	있/VX+는/ETM
겁니다."	거/NNB+이/VCP+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000046.54.4.1
비가 추적추적 내린 18일 경북 경주시 인왕동 경주 월성(月城·사적 제16호) 발굴 현장.

비가	비/NNG+가/JKS
추적추적	추적추적/MAG
내린	내리/VV+ㄴ/ETM
18일	18/SN+일/NNB
경북	경북/NNP
경주시	경주시/NNP
인왕동	인왕동/NNP
경주	경주/NNP
월성(月城·사적	월성/NNP+(/SS+月城/NNP+·/SP+사적/NNG
제16호)	제/XPN+16/SN+호/NNB+)/SS
발굴	발굴/NNG
현장.	현장/NNG+./SF


