# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.2
metadata : {}


# id : NWRW1800000024.2.1.1
현충원 참배한 이대통령 /“희망·용기 갖고 나아가자”

현충원	현충원/NNP
참배한	참배/NNG+하/XSV+ㄴ/ETM
이대통령	이/NNP+대통령/NNG
/“희망·용기	//SP+“/SS+희망/NNG+·/SP+용기/NNG
갖고	갖/VV+고/EC
나아가자”	나아가/VV+자/EF+”/SS


# id : NWRW1800000024.2.2.1
이명박 대통령은 1일 아침 서울 동작동 국립현충원을 참배하는 것으로 새해 첫날을 시작했다.

이명박	이명박/NNP
대통령은	대통령/NNG+은/JX
1일	1/SN+일/NNB
아침	아침/NNG
서울	서울/NNP
동작동	동작동/NNP
국립현충원을	국립현충원/NNP+을/JKO
참배하는	참배/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
새해	새해/NNG
첫날을	첫날/NNG+을/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.2.3.1
이 대통령은 이날 오전 7시50분 한승수 국무총리와 국무위원 등 장관급 인사, 정정길 대통령실장과 청와대 수석비서관 및 대통령특보 등과 함께 현충탑에 헌화, 분향했다.

이	이/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
오전	오전/NNG
7시50분	7/SN+시/NNB+50/SN+분/NNB
한승수	한승수/NNP
국무총리와	국무총리/NNG+와/JC
국무위원	국무/NNG+위원/NNG
등	등/NNB
장관급	장관급/NNG
인사,	인사/NNG+,/SP
정정길	정정길/NNP
대통령실장과	대통령실장/NNG+과/JC
청와대	청와대/NNP
수석비서관	수석/NNG+비서관/NNG
및	및/MAG
대통령특보	대통령/NNG+특보/NNG
등과	등/NNB+과/JKB
함께	함께/MAG
현충탑에	현충탑/NNG+에/JKB
헌화,	헌화/NNG+,/SP
분향했다.	분향/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.2.3.2
이 대통령은 방명록에 “새해에는 우리 모두 희망과 용기를 갖고 다 함께 나아갑시다”라고 썼다.

이	이/NNP
대통령은	대통령/NNG+은/JX
방명록에	방명록/NNG+에/JKB
“새해에는	“/SS+새해/NNG+에/JKB+는/JX
우리	우리/NP
모두	모두/MAG
희망과	희망/NNG+과/JC
용기를	용기/NNG+를/JKO
갖고	갖/VV+고/EC
다	다/MAG
함께	함께/MAG
나아갑시다”라고	나아가/VV+ㅂ시다/EF+”/SS+라고/JKQ
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.2.4.1
이어 이 대통령은 이들과 청와대 관저에서 떡국으로 아침식사를 함께 했다.

이어	이어/MAG
이	이/NNP
대통령은	대통령/NNG+은/JX
이들과	이/NP+들/XSN+과/JC
청와대	청와대/NNP
관저에서	관저/NNG+에서/JKB
떡국으로	떡국/NNG+으로/JKB
아침식사를	아침/NNG+식사/NNG+를/JKO
함께	함께/MAG
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.2.4.2
이 자리에서 한 총리는 “위기는 기회다”라는 건배 구호를 선창했다.

이	이/MMD
자리에서	자리/NNG+에서/JKB
한	한/MMN
총리는	총리/NNG+는/JX
“위기는	“/SS+위기/NNG+는/JX
기회다”라는	기회/NNG+이/VCP+다/EF+”/SS+라는/ETM
건배	건배/NNG
구호를	구호/NNG+를/JKO
선창했다.	선창/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.2.5.1
이 대통령은 이날 오후 2시께 청와대 집무실에서 백령도 해병6여단, 양구 육군 21사단 지오피(GOP) 대대, 레바논 동명부대 등 국내외 군부대 및 고흥 나로도 우주센터 관계자들을 각각 화상 전화통화로 격려했다.

이	이/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
