# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.210
metadata : {}


# id : NWRW1800000025.210.1.1
[Prime TOWN]“나만의 풀이법 자랑해야지… 토론식 수업 기다려져요”

[Prime	[/SS+Prime/SL
TOWN]“나만의	TOWN/SL+]/SS+“/SS+나/NP+만/JX+의/JKG
풀이법	풀이법/NNG
자랑해야지…	자랑/NNG+하/XSV+아야지/EF+…/SE
토론식	토론식/NNG
수업	수업/NNG
기다려져요”	기다리/VV+어/EC+지/VX+어요/EF+”/SS


# id : NWRW1800000025.210.2.1
《 “이 삼각형의 넓이를 다른 식으로 구한 학생이 있나요?”

《	《/SS
“이	“/SS+이/MMD
삼각형의	삼각/NNG+형/XSN+의/JKG
넓이를	넓이/NNG+를/JKO
다른	다른/MMD
식으로	식/NNB+으로/JKB
구한	구하/VV+ㄴ/ETM
학생이	학생/NNG+이/JKS
있나요?”	있/VA+나/EF+요/JX+?/SF+”/SS


# id : NWRW1800000025.210.2.2
서울 노원구에 위치한 토론발표식 수학학원 뉴스터디의 수업시간.

서울	서울/NNP
노원구에	노원구/NNP+에/JKB
위치한	위치/NNG+하/XSV+ㄴ/ETM
토론발표식	토론/NNG+발표식/NNG
수학학원	수학/NNG+학원/NNG
뉴스터디의	뉴스터디/NNP+의/JKG
수업시간.	수업/NNG+시간/NNG+./SF


# id : NWRW1800000025.210.2.3
초등 5학년 박소민 양(11)이 친구들 앞에 섰다.

초등	초등/NNG
5학년	5/SN+학년/NNG
박소민	박소민/NNP
양(11)이	양/NNB+(/SS+11/SN+)/SS+이/JKS
친구들	친구/NNG+들/XSN
앞에	앞/NNG+에/JKB
섰다.	서/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.210.2.4
박 양은 “우선 직각을 중심으로 삼각형을 반으로 나눈 뒤에 문제를 풀었다”고 말했다.

박	박/NNP
양은	양/NNB+은/JX
“우선	“/SS+우선/MAG
직각을	직각/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
삼각형을	삼각/NNG+형/XSN+을/JKO
반으로	반/NNG+으로/JKB
나눈	나누/VV+ㄴ/ETM
뒤에	뒤/NNG+에/JKB
문제를	문제/NNG+를/JKO
풀었다”고	풀/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.210.2.5
이어서 다른 학생이 나와 자신의 문제풀이법을 설명했다.

이어서	잇/VV+어서/EC
다른	다른/MMD
학생이	학생/NNG+이/JKS
나와	나오/VV+아/EC
자신의	자신/NNG+의/JKG
문제풀이법을	문제/NNG+풀이법/NNG+을/JKO
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.210.3.1
올해 교육계의 핵심 화두 중 하나로 ‘자기주도 학습’을 꼽을 수 있다.

올해	올해/NNG
교육계의	교육/NNG+계/XSN+의/JKG
핵심	핵심/NNG
화두	화두/NNG
중	중/NNB
하나로	하나/NR+로/JKB
‘자기주도	‘/SS+자기/NNG+주도/NNG
학습’을	학습/NNG+’/SS+을/JKO
꼽을	꼽/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.210.3.2
한 조사기관이 발표한 자료에 따르면 국내 초중고교생의 학업성취도는 상위권에 속하지만 절반 이상이 자기 주도적으로 학습하지 못하는 것으로 나타났다.

한	한/MMN
조사기관이	조사/NNG+기관/NNG+이/JKS
발표한	발표/NNG+하/XSV+ㄴ/ETM
자료에	자료/NNG+에/JKB
따르면	따르/VV+면/EC
국내	국내/NNG
초중고교생의	초중고교/NNG+생/XSN+의/JKG
학업성취도는	학업/NNG+성취도/NNG+는/JX
상위권에	상위/NNG+권/XSN+에/JKB
속하지만	속하/VV+지만/EC
절반	절반/NNG
이상이	이상/NNG+이/JKS
자기	자기/NP
주도적으로	주도/NNG+적/XSN+으로/JKB
학습하지	학습/NNG+하/XSV+지/EC
못하는	못하/VX+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.210.4.1
학교, 가정, 학원은 학생이 스스로 계획하고 공부할 수 있는 적절한 방법을 찾아줄 필요가 있다.

학교,	학교/NNG+,/SP
가정,	가정/NNG+,/SP
학원은	학원/NNG+은/JX
학생이	학생/NNG+이/JKS
스스로	스스로/MAG
계획하고	계획/NNG+하/XSV+고/EC
공부할	공부/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
적절한	적절하/VA+ㄴ/ETM
방법을	방법/NNG+을/JKO
찾아줄	찾/VV+아/EC+주/VX+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.210.4.2
학생들이 자기 주도적으로 공부하기 위해선 일단 공부에 흥미를 가져야 한다.

학생들이	학생/NNG+들/XSN+이/JKS
자기	자기/NP
주도적으로	주도/NNG+적/XSN+으로/JKB
공부하기	공부/NNG+하/XSV+기/ETN
위해선	위하/VV+아서/EC+ㄴ/JX
일단	일단/MAG
공부에	공부/NNG+에/JKB
흥미를	흥미/NNG+를/JKO
가져야	가지/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000025.210.4.3
토론, 발표식 수업은 학생의 수업 참여를 높이고 친구들과 이야기하는 가운데 과목에 대한 흥미를 높이는 데 효과적이다.

토론,	토론/NNG+,/SP
발표식	발표식/NNG
수업은	수업/NNG+은/JX
학생의	학생/NNG+의/JKG
수업	수업/NNG
참여를	참여/NNG+를/JKO
높이고	높이/VV+고/EC
친구들과	친구/NNG+들/XSN+과/JKB
이야기하는	이야기/NNG+하/XSV+는/ETM
가운데	가운데/NNG
과목에	과목/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
흥미를	흥미/NNG+를/JKO
높이는	높이/VV+는/ETM
데	데/NNB
효과적이다.	효과/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000025.210.4.4
㈜타임교육이 운영하는 토론발표식 수학학원인 뉴스터디 학원에서 토론, 발표수업은 새삼스러운 이야기가 아니다.

㈜타임교육이	㈜/SW+타임교육/NNP+이/JKS
운영하는	운영/NNG+하/XSV+는/ETM
토론발표식	토론/NNG+발표식/NNG
수학학원인	수학/NNG+학원/NNG+이/VCP+ㄴ/ETM
뉴스터디	뉴스터디/NNP
학원에서	학원/NNG+에서/JKB
토론,	토론/NNG+,/SP
발표수업은	발표/NNG+수업/NNG+은/JX
새삼스러운	새삼/MAG+스럽/XSA+ㄴ/ETM
이야기가	이야기/NNG+가/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000025.210.4.5
이곳에선 총 90분의 수업 중 절반을 학생들이 발표하고 토론하는 데 할애한다.

이곳에선	이곳/NP+에서/JKB+ㄴ/JX
총	총/MMA
90분의	90/SN+분/NNB+의/JKG
수업	수업/NNG
중	중/NNB
절반을	절반/NNG+을/JKO
학생들이	학생/NNG+들/XSN+이/JKS
