# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.68
metadata : {}


# id : NWRW1800000038.68.1.1
성공에 내몰린 한국인, 어린 왕자가 그립다

성공에	성공/NNG+에/JKB
내몰린	내몰리/VV+ㄴ/ETM
한국인,	한국인/NNG+,/SP
어린	어리/VA+ㄴ/ETM
왕자가	왕자/NNG+가/JKS
그립다	그립/VA+다/EF


# id : NWRW1800000038.68.2.1
한국 독자 1223명이 답했다… 다시 읽고 싶은 책은?

한국	한국/NNP
독자	독자/NNG
1223명이	1223/SN+명/NNB+이/JKS
답했다…	답/NNG+하/XSV+았/EP+다/EF+…/SE
다시	다시/MAG
읽고	읽/VV+고/EC
싶은	싶/VX+은/ETM
책은?	책/NNG+은/JX+?/SF


# id : NWRW1800000038.68.2.2
1위는 '어린 왕자'

1위는	1/SN+위/NNB+는/JX
'어린	'/SS+어리/VA+ㄴ/ETM
왕자'	왕자/NNG+'/SS


# id : NWRW1800000038.68.3.1
회사원 김아영(27)씨는 생텍쥐페리가 쓴 '어린 왕자'를 다시 읽었다.

회사원	회사원/NNG
김아영(27)씨는	김아영/NNP+(/SS+27/SN+)/SS+씨/NNB+는/JX
생텍쥐페리가	생텍쥐페리/NNP+가/JKS
쓴	쓰/VV+ㄴ/ETM
'어린	'/SS+어리/VA+ㄴ/ETM
왕자'를	왕자/NNG+'/SS+를/JKO
다시	다시/MAG
읽었다.	읽/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.68.3.2
초등학교 고학년 때 이 소설을 처음 만나고 나서 벌써 예닐곱 번째다.

초등학교	초등학교/NNG
고학년	고/XPN+학년/NNG
때	때/NNG
이	이/MMD
소설을	소설/NNG+을/JKO
처음	처음/NNG
만나고	만나/VV+고/EC
나서	나/VX+아서/EC
벌써	벌써/MAG
예닐곱	예닐곱/NR
번째다.	번/NNB+째/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000038.68.3.3
"초등학교나 중학교 시절엔 몰랐는데 '어린 왕자'는 성인을 위한 동화이고, 잘살고 있는지 계속 묻는 책"이라고 했다.

"초등학교나	"/SS+초등학교/NNG+나/JC
중학교	중학교/NNG
시절엔	시절/NNG+에/JKB+ㄴ/JX
몰랐는데	모르/VV+았/EP+는데/EC
'어린	'/SS+어리/VA+ㄴ/ETM
왕자'는	왕자/NNG+'/SS+는/JX
성인을	성인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
동화이고,	동화/NNG+이/VCP+고/EC+,/SP
잘살고	잘살/VV+고/EC
있는지	있/VX+는지/EC
계속	계속/MAG
묻는	묻/VV+는/ETM
책"이라고	책/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.68.3.4
