# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.38
metadata : {}


# id : NWRW1800000045.38.1.1
카드업계 “연말 문화 -레저행사 팍팍 쏩니다”

카드업계	카드업/NNG+계/XSN
“연말	“/SS+연말/NNG
문화	문화/NNG
-레저행사	-/SO+레저/NNG+행사/NNG
팍팍	팍팍/MAG
쏩니다”	쏘/VV+ㅂ니다/EF+”/SS


# id : NWRW1800000045.38.2.1
할인행사 풍성

할인행사	할인/NNG+행사/NNG
풍성	풍성/NNG


# id : NWRW1800000045.38.3.1
직장인 김모 씨(30)는 지난달 초 여자친구에게 이번 연말에는 공연을 한 개 이상 함께 보겠다고 약속했다.

직장인	직장인/NNG
김모	김/NNP+모/NP
씨(30)는	씨/NNB+(/SS+30/SN+)/SS+는/JX
지난달	지난달/NNG
초	초/NNB
여자친구에게	여자/NNG+친구/NNG+에게/JKB
이번	이번/NNG
연말에는	연말/NNG+에/JKB+는/JX
공연을	공연/NNG+을/JKO
한	한/MMN
개	개/NNB
이상	이상/NNG
함께	함께/MAG
보겠다고	보/VV+겠/EP+다고/EC
약속했다.	약속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.38.3.2
여자친구가 평소 공연 관람을 좋아하지만 잦은 지방 출장과 주말 근무 등으로 바빠 함께 공연을 보러 갈 기회가 없었기 때문이다.

여자친구가	여자/NNG+친구/NNG+가/JKS
평소	평소/NNG
공연	공연/NNG
관람을	관람/NNG+을/JKO
좋아하지만	좋아하/VV+지만/EC
잦은	잦/VA+은/ETM
지방	지방/NNG
출장과	출장/NNG+과/JC
주말	주말/NNG
근무	근무/NNG
등으로	등/NNB+으로/JKB
바빠	바쁘/VA+아/EC
함께	함께/MAG
공연을	공연/NNG+을/JKO
보러	보/VV+러/EC
갈	가/VV+ㄹ/ETM
기회가	기회/NNG+가/JKS
없었기	없/VA+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.38.3.3
미안한 마음에 약속은 했지만 얇아진 지갑 때문에 고민스럽다.

미안한	미안/NNG+하/XSA+ㄴ/ETM
마음에	마음/NNG+에/JKB
약속은	약속/NNG+은/JX
했지만	하/VV+았/EP+지만/EC
얇아진	얇아지/VV+ㄴ/ETM
지갑	지갑/NNG
때문에	때문/NNB+에/JKB
고민스럽다.	고민/NNG+스럽/XSA+다/EF+./SF


# id : NWRW1800000045.38.3.4
여자친구 지갑 사정도 넉넉지 않아 보였다.

여자친구	여자/NNG+친구/NNG
지갑	지갑/NNG
사정도	사정/NNG+도/JX
넉넉지	넉넉하/VA+지/EC
않아	않/VX+아/EC
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.38.3.5
고민에 빠져 있던 김 씨는 직장 동료로부터 신용카드사의 연말 이벤트를 잘 활용해 보라는 조언을 들었다.

고민에	고민/NNG+에/JKB
빠져	빠지/VV+어/EC
있던	있/VX+던/ETM
김	김/NNP
씨는	씨/NNB+는/JX
직장	직장/NNG
동료로부터	동료/NNG+로부터/JKB
신용카드사의	신용/NNG+카드사/NNG+의/JKG
연말	연말/NNG
이벤트를	이벤트/NNG+를/JKO
잘	잘/MAG
활용해	활용/NNG+하/XSV+아/EC
보라는	보/VX+라는/ETM
조언을	조언/NNG+을/JKO
들었다.	듣/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.38.3.6
티켓 한 장을 사면 덤으로 티켓을 한 장 더 주는 ‘1+1 이벤트’ 등 각종 문화 공연 이벤트가 많다는 얘기였다.

티켓	티켓/NNG
한	한/MMN
장을	장/NNB+을/JKO
사면	사/VV+면/EC
덤으로	덤/NNG+으로/JKB
티켓을	티켓/NNG+을/JKO
장	장/NNB
더	더/MAG
주는	주/VV+는/ETM
‘1+1	‘/SS+1/SN++/SW+1/SN
이벤트’	이벤트/NNG+’/SS
등	등/NNB
각종	각종/NNG
문화	문화/NNG
공연	공연/NNG
이벤트가	이벤트/NNG+가/JKS
많다는	많/VA+다는/ETM
얘기였다.	얘기/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000045.38.3.7
김 씨는 여자친구와 함께 만든 연인통장에서 이용 대금이 빠져나가는 커플 신용카드를 이용해 공연 티켓을 결제했다.

김	김/NNP
씨는	씨/NNB+는/JX
여자친구와	여자/NNG+친구/NNG+와/JKB
함께	함께/MAG
만든	만들/VV+ㄴ/ETM
연인통장에서	연인/NNG+통장/NNG+에서/JKB
이용	이용/NNG
대금이	대금/NNG+이/JKS
빠져나가는	빠져나가/VV+는/ETM
커플	커플/NNG
