# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.397
metadata : {}


# id : NWRW1800000033.397.1.1
[수도권]집앞까지 찾아오는… 병원 안 부러운 보건소

[수도권]집앞까지	[/SS+수도/NNG+권/XSN+]/SS+집/NNG+앞/NNG+까지/JX
찾아오는…	찾아오/VV+는/ETM+…/SE
병원	병원/NNG
안	안/MAG
부러운	부럽/VA+ㄴ/ETM
보건소	보건소/NNG


# id : NWRW1800000033.397.2.1
서초구 ‘건강코디네이터’ 인기… 골밀도 검사-우울증 상담도 관리주민 비만율 1년새 3% ↓

서초구	서초구/NNP
‘건강코디네이터’	‘/SS+건강/NNG+코디네이터/NNG+’/SS
인기…	인기/NNG+…/SE
골밀도	골밀도/NNG
검사-우울증	검사/NNG+-/SO+우울증/NNG
상담도	상담/NNG+도/JX
관리주민	관리/NNG+주민/NNG
비만율	비만/NNG+율/XSN
1년새	1/SN+년/NNB+새/NNG
3%	3/SN+%/SW
↓	↓/SW


# id : NWRW1800000033.397.3.1
서울 서초구 반포동의 한 아파트에 사는 주부 이혜숙 씨(42)는 그동안 보건소를 한 번도 찾아본 적이 없었다.

서울	서울/NNP
서초구	서초구/NNP
반포동의	반포동/NNP+의/JKG
한	한/MMN
아파트에	아파트/NNG+에/JKB
사는	살/VV+는/ETM
주부	주부/NNG
이혜숙	이혜숙/NNP
씨(42)는	씨/NNB+(/SS+42/SN+)/SS+는/JX
그동안	그동안/NNG
보건소를	보건소/NNG+를/JKO
번도	번/NNB+도/JX
찾아본	찾/VV+아/EC+보/VX+ㄴ/ETM
적이	적/NNB+이/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.397.3.2
보건소는 예방주사 정도나 무료로 놔주는 곳으로 생각했던 것.

보건소는	보건소/NNG+는/JX
예방주사	예방/NNG+주사/NNG
정도나	정도/NNG+나/JX
무료로	무료/NNG+로/JKB
놔주는	놔주/VV+는/ETM
곳으로	곳/NNG+으로/JKB
생각했던	생각/NNG+하/XSV+았/EP+던/ETM
것.	것/NNB+./SF


# id : NWRW1800000033.397.3.3
이 때문에 대부분의 치료나 건강검진은 병원을 이용했다.

이	이/MMD
때문에	때문/NNB+에/JKB
대부분의	대/XPN+부분/NNG+의/JKG
치료나	치료/NNG+나/JC
건강검진은	건강/NNG+검진/NNG+은/JX
병원을	병원/NNG+을/JKO
이용했다.	이용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.397.4.1
하지만 이 씨는 최근 보건소에 대한 생각이 바뀌었다.

하지만	하지만/MAJ
이	이/NNP
씨는	씨/NNB+는/JX
최근	최근/MAG
보건소에	보건소/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
생각이	생각/NNG+이/JKS
바뀌었다.	바뀌/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.397.4.2
이달 초 동네에서 열린 ‘찾아가는 보건소, 건강 코디네이터’에 참여한 뒤부터다.

이달	이달/NNG
초	초/NNB
동네에서	동네/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
‘찾아가는	‘/SS+찾아가/VV+는/ETM
보건소,	보건소/NNG+,/SP
건강	건강/NNG
코디네이터’에	코디네이터/NNG+’/SS+에/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
뒤부터다.	뒤/NNG+부터/JX+이/VCP+다/EF+./SF


# id : NWRW1800000033.397.4.3
이 씨는 이곳에서 대사증후군 검사부터 골밀도 검사, 우울증·스트레스 상담까지 웬만한 병원 못지않은 의료서비스를 무료로 받을 수 있다는 사실을 처음 알았다.

이	이/NNP
씨는	씨/NNB+는/JX
이곳에서	이곳/NP+에서/JKB
대사증후군	대사/NNG+증후군/NNG
검사부터	검사/NNG+부터/JX
골밀도	골밀도/NNG
검사,	검사/NNG+,/SP
우울증·스트레스	우울증/NNG+·/SP+스트레스/NNG
상담까지	상담/NNG+까지/JX
웬만한	웬만하/VA+ㄴ/ETM
병원	병원/NNG
못지않은	못지않/VA+은/ETM
의료서비스를	의료/NNG+서비스/NNG+를/JKO
무료로	무료/NNG+로/JKB
받을	받/VV+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
사실을	사실/NNG+을/JKO
처음	처음/NNG
알았다.	알/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.397.4.4
이 씨는 “보건소 직원 1, 2명이 검진하는 줄 알았는데 90명 넘게 있어 무척 놀랐다”며 “앞으로 간단한 검진은 병원보다 보건소를 찾을 생각”이라고 말했다.

이	이/NNP
씨는	씨/NNB+는/JX
“보건소	“/SS+보건소/NNG
직원	직원/NNG
1,	1/SN+,/SP
2명이	2/SN+명/NNB+이/JKS
검진하는	검진/NNG+하/XSV+는/ETM
줄	줄/NNB
알았는데	알/VV+았/EP+는데/EC
90명	90/SN+명/NNB
넘게	넘/VV+게/EC
있어	있/VA+어/EC
무척	무척/MAG
놀랐다”며	놀라/VV+았/EP+다/EF+”/SS+며/EC
“앞으로	“/SS+앞/NNG+으로/JKB
간단한	간단하/VA+ㄴ/ETM
검진은	검진/NNG+은/JX
병원보다	병원/NNG+보다/JKB
보건소를	보건소/NNG+를/JKO
찾을	찾/VV+을/ETM
생각”이라고	생각/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.397.5.1
서초구는 2009년부터 주민들에게 무료 의료서비스 제공 사업을 벌이고 있다.

서초구는	서초구/NNP+는/JX
2009년부터	2009/SN+년/NNB+부터/JX
주민들에게	주민/NNG+들/XSN+에게/JKB
무료	무료/NNG
의료서비스	의료/NNG+서비스/NNG
제공	제공/NNG
사업을	사업/NNG+을/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.397.5.2
주민 호응이 높다 보니 초기 2곳에서 올해는 12곳으로 방문지가 늘었다.

주민	주민/NNG
호응이	호응/NNG+이/JKS
높다	높/VA+다/EF
보니	보/VX+니/EC
초기	초기/NNG
2곳에서	2/SN+곳/NNG+에서/JKB
올해는	올해/NNG+는/JX
12곳으로	12/SN+곳/NNG+으로/JKB
방문지가	방문지/NNG+가/JKS
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.397.5.3
진료 인원도 올해 2500명을 넘었다.

진료	진료/NNG
인원도	인원/NNG+도/JX
올해	올해/NNG
2500명을	2500/SN+명/NNB+을/JKO
넘었다.	넘/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.397.5.4
