# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.126
metadata : {}


# id : NWRW1800000040.126.1.1
BBC, 낸시 랭 ‘팝아트 공연’ 취소

BBC,	BBC/SL+,/SP
낸시	낸시/NNP
랭	랭/NNP
‘팝아트	‘/SS+팝/NNG+아트/NNG
공연’	공연/NNG+’/SS
취소	취소/NNG


# id : NWRW1800000040.126.2.1
변희재 ‘부친 논란’ 불지핀 뒤

변희재	변희재/NNP
‘부친	‘/SS+부친/NNG
논란’	논란/NNG+’/SS
불지핀	불/NNG+지피/VV+ㄴ/ETM
뒤	뒤/NNG


# id : NWRW1800000040.126.3.1
누리꾼 BBC에 인신공격 포화

누리꾼	누리/NNG+꾼/XSN
BBC에	BBC/SL+에/JKB
인신공격	인신공격/NNG
포화	포화/NNG


# id : NWRW1800000040.126.4.1
낸시 랭 “국제 망신 멈춰달라”

낸시	낸시/NNP
랭	랭/NNP
“국제	“/SS+국제/NNG
망신	망신/NNG
멈춰달라”	멈추/VV+어/EC+달/VX+라/EF+”/SS


# id : NWRW1800000040.126.5.1
팝아티스트 낸시 랭(34·사진)이 <비비시>(BBC) 방송의 초청으로 영국을 방문해 펼치려던 공연 계획이 취소됐다.

팝아티스트	팝/NNG+아티스트/NNG
낸시	낸시/NNP
랭(34·사진)이	랭/NNP+(/SS+34/SN+·/SP+사진/NNG+)/SS+이/JKS
<비비시>(BBC)	</SS+비비시/NNP+>/SS+(/SS+BBC/SL+)/SS
방송의	방송/NNG+의/JKG
초청으로	초청/NNG+으로/JKB
영국을	영국/NNP+을/JKO
방문해	방문/NNG+하/XSV+아/EC
펼치려던	펼치/VV+려던/ETM
공연	공연/NNG
계획이	계획/NNG+이/JKS
취소됐다.	취소/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.126.5.2
최근 변희재 미디어워치 대표가 제기한 낸시 랭의 아버지 문제를 두고 불거진 논란과 관련해 일부 누리꾼들이 <비비시> 쪽에 집중 항의한 결과다.

최근	최근/MAG
변희재	변희재/NNP
미디어워치	미디어워치/NNP
대표가	대표/NNG+가/JKS
제기한	제기/NNG+하/XSV+ㄴ/ETM
낸시	낸시/NNP
랭의	랭/NNP+의/JKG
아버지	아버지/NNG
문제를	문제/NNG+를/JKO
두고	두/VV+고/EC
불거진	불거지/VV+ㄴ/ETM
논란과	논란/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
일부	일부/NNG
누리꾼들이	누리/NNG+꾼/XSN+들/XSN+이/JKS
<비비시>	</SS+비비시/NNP+>/SS
쪽에	쪽/NNB+에/JKB
집중	집중/NNG
항의한	항의/NNG+하/XSV+ㄴ/ETM
결과다.	결과/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.126.6.1
낸시 랭의 한 측근은 18일 “낸시 랭이 다음달 영국에서 ‘거지 여왕’ 퍼포먼스를 펼칠 계획이었으나 공연 중계를 맡은 <비비시>가 초청을 취소했다”고 전했다.

낸시	낸시/NNP
랭의	랭/NNP+의/JKG
한	한/MMN
측근은	측근/NNG+은/JX
18일	18/SN+일/NNB
“낸시	“낸시/NNP
랭이	랭/NNP+이/JKS
다음달	다음/NNG+달/NNG
영국에서	영국/NNP+에서/JKB
‘거지	‘/SS+거지/NNG
여왕’	여왕/NNG+’/SS
퍼포먼스를	퍼포먼스/NNG+를/JKO
펼칠	펼치/VV+ㄹ/ETM
계획이었으나	계획/NNG+이/VCP+었/EP+으나/EC
공연	공연/NNG
중계를	중계/NNG+를/JKO
맡은	맡/VV+은/ETM
<비비시>가	</SS+비비시/NNP+>/SS+가/JKS
초청을	초청/NNG+을/JKO
취소했다”고	취소/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.126.6.2
그는 “<비비시> 담당기자가 받은 전자우편에 (낸시 랭을 비방하는) 온갖 욕이 난무하고, 일부 극우 성향의 누리집에서 쓰는 표현들이 그대로 들어가 있다고 들었다.

그는	그/NP+는/JX
“<비비시>	“/SS+</SS+비비시/NNP+>/SS
담당기자가	담당/NNG+기자/NNG+가/JKS
받은	받/VV+은/ETM
전자우편에	전자/NNG+우편/NNG+에/JKB
(낸시	(/SS+낸시/NNP
랭을	랭/NNP+을/JKO
비방하는)	비방/NNG+하/XSV+는/ETM+)/SS
온갖	온갖/MMN
욕이	욕/NNG+이/JKS
난무하고,	난무/NNG+하/XSV+고/EC+,/SP
일부	일부/NNG
극우	극우/NNG
성향의	성향/NNG+의/JKG
누리집에서	누리집/NNG+에서/JKB
쓰는	쓰/VV+는/ETM
표현들이	표현/NNG+들/XSN+이/JKS
그대로	그대로/MAG
들어가	들어가/VV+아/EC
있다고	있/VX+다고/EC
들었다.	듣/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.126.6.3
<비비시>도 매우 당혹스러워하는 분위기였다”고 말했다.

<비비시>도	</SS+비비시/NNP+>/SS+도/JX
매우	매우/MAG
당혹스러워하는	당혹/NNG+스럽/XSA+어/EC+하/VX+는/ETM
분위기였다”고	분위기/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.126.7.1
이 행사는 영국에서 세계적 예술인들이 모여 벌이는 행사로, 낸시 랭은 3~5분 동안 퍼포먼스를 펼칠 계획이었다.

이	이/MMD
행사는	행사/NNG+는/JX
영국에서	영국/NNP+에서/JKB
세계적	세계/NNG+적/XSN
예술인들이	예술인/NNG+들/XSN+이/JKS
모여	모이/VV+어/EC
벌이는	벌이/VV+는/ETM
행사로,	행사/NNG+로/JKB+,/SP
낸시	낸시/NNP
랭은	랭/NNP+은/JX
3~5분	3/SN+~/SO+5/SN+분/NNB
동안	동안/NNG
퍼포먼스를	퍼포먼스/NNG+를/JKO
펼칠	펼치/VV+ㄹ/ETM
계획이었다.	계획/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000040.126.7.2
낸시 랭은 2010년 영국 엘리자베스 여왕 생일 행사에서 ‘개인이 국가’란 슬로건으로 ‘거지 여왕’ 퍼포먼스를 꾸며 화제를 모은 바 있다.

낸시	낸시/NNP
랭은	랭/NNP+은/JX
2010년	2010/SN+년/NNB
영국	영국/NNP
엘리자베스	엘리자베스/NNP
여왕	여왕/NNG
생일	생일/NNG
행사에서	행사/NNG+에서/JKB
‘개인이	‘/SS+개인/NNG+이/JKS
국가’란	국가/NNG+’/SS+이/VCP+란/ETM
슬로건으로	슬로건/NNG+으로/JKB
‘거지	‘/SS+거지/NNG
여왕’	여왕/NNG+’/SS
퍼포먼스를	퍼포먼스/NNG+를/JKO
꾸며	꾸미/VV+어/EC
화제를	화제/NNG+를/JKO
모은	모으/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000040.126.7.3
