# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.28
metadata : {}


# id : NWRW1800000021.28.1.1
내달부터 보험해약 환급금 늘어

내달부터	내달/NNG+부터/JX
보험해약	보험/NNG+해약/NNG
환급금	환급금/NNG
늘어	늘/VV+어/EF


# id : NWRW1800000021.28.2.1
다음 달부터 생명보험사의 저축성보험을 중도 해약할 때 받는 환급금이 늘어난다.

다음	다음/NNG
달부터	달/NNG+부터/JX
생명보험사의	생명/NNG+보험사/NNG+의/JKG
저축성보험을	저축/NNG+성/XSN+보험/NNG+을/JKO
중도	중도/NNG
해약할	해약/NNG+하/XSV+ㄹ/ETM
때	때/NNG
받는	받/VV+는/ETM
환급금이	환급금/NNG+이/JKS
늘어난다.	늘어나/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.28.3.1
27일 보험업계에 따르면 금융위원회가 최근 보험업 감독 규정을 개정함에 따라 다음 달부터 가입하는 저축성보험을 해약할 경우 돌려받는 해약환급금 금액이 커진다.

27일	27/SN+일/NNB
보험업계에	보험업/NNG+계/XSN+에/JKB
따르면	따르/VV+면/EC
금융위원회가	금융/NNG+위원회/NNG+가/JKS
최근	최근/MAG
보험업	보험업/NNG
감독	감독/NNG
규정을	규정/NNG+을/JKO
개정함에	개정/NNG+하/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
다음	다음/NNG
달부터	달/NNG+부터/JX
가입하는	가입/NNG+하/XSV+는/ETM
저축성보험을	저축/NNG+성/XSN+보험/NNG+을/JKO
해약할	해약/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
돌려받는	돌려받/VV+는/ETM
해약환급금	해약/NNG+환급금/NNG
금액이	금액/NNG+이/JKS
커진다.	커지/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.28.4.1
5년간 매달 10만 원씩 내는 저축성 보험에 가입했다가 3년 만에 해약할 경우 지금은 보험료의 82.4%인 297만 원만 받을 수 있다.

5년간	5/SN+년/NNB+간/XSN
매달	매달/MAG
10만	10/SN+만/NR
원씩	원/NNB+씩/XSN
내는	내/VV+는/ETM
저축성	저축/NNG+성/XSN
보험에	보험/NNG+에/JKB
가입했다가	가입/NNG+하/XSV+았/EP+다가/EC
3년	3/SN+년/NNB
만에	만/NNB+에/JKB
해약할	해약/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
지금은	지금/NNG+은/JX
보험료의	보험료/NNG+의/JKG
82.4%인	82/SN+./SP+4/SN+%/SW+이/VCP+ㄴ/ETM
297만	297/SN+만/NR
원만	원/NNB+만/JX
받을	받/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.28.4.2
하지만 2월에 가입하는 보험부터는 93.6%인 337만 원을 받을 수 있게 된다.

하지만	하지만/MAJ
2월에	2/SN+월/NNB+에/JKB
가입하는	가입/NNG+하/XSV+는/ETM
보험부터는	보험/NNG+부터/JX+는/JX
93.6%인	93/SN+./SP+6/SN+%/SW+이/VCP+ㄴ/ETM
337만	337/SN+만/NR
원을	원/NNB+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있게	있/VA+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.28.4.3
7년간 납부하는 저축성 보험을 5년 만에 해약할 경우에는 환급률이 기존 94.5%에서 99.7%로 오른다.

7년간	7/SN+년/NNB+간/XSN
납부하는	납부/NNG+하/XSV+는/ETM
저축성	저축/NNG+성/XSN
보험을	보험/NNG+을/JKO
5년	5/SN+년/NNB
만에	만/NNB+에/JKB
해약할	해약/NNG+하/XSV+ㄹ/ETM
경우에는	경우/NNG+에/JKB+는/JX
환급률이	환급/NNG+률/XSN+이/JKS
기존	기존/NNG
94.5%에서	94/SN+./SP+5/SN+%/SW+에서/JKB
99.7%로	99/SN+./SP+7/SN+%/SW+로/JKB
오른다.	오르/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.28.5.1
한편 4월 이후 변액보험에 가입하는 경우 상품설명서에 사업비와 판매, 운용 수수료를 정리한 수수료안내표가 첨부되며 가입 후에는 보험사 홈페이지에서 확인할 수 있다.

한편	한편/MAG
4월	4/SN+월/NNB
이후	이후/NNG
변액보험에	변액/NNG+보험/NNG+에/JKB
가입하는	가입/NNG+하/XSV+는/ETM
경우	경우/NNG
상품설명서에	상품/NNG+설명서/NNG+에/JKB
사업비와	사업비/NNG+와/JC
판매,	판매/NNG+,/SP
운용	운용/NNG
수수료를	수수료/NNG+를/JKO
정리한	정리/NNG+하/XSV+ㄴ/ETM
수수료안내표가	수수료/NNG+안내표/NNG+가/JKS
첨부되며	첨부/NNG+되/XSV+며/EC
가입	가입/NNG
후에는	후/NNG+에/JKB+는/JX
보험사	보험사/NNG
홈페이지에서	홈페이지/NNG+에서/JKB
확인할	확인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.28.5.2
또 4월부터는 법조문 형식으로 돼 있던 보험약관도 일반 소비자가 읽기 쉽도록 바뀐다.

또	또/MAG
4월부터는	4/SN+월/NNB+부터/JX+는/JX
법조문	법조문/NNG
형식으로	형식/NNG+으로/JKB
돼	되/VV+어/EC
있던	있/VX+던/ETM
보험약관도	보험/NNG+약관/NNG+도/JX
일반	일반/NNG
소비자가	소비자/NNG+가/JKS
읽기	읽/VV+기/ETN
쉽도록	쉽/VA+도록/EC
바뀐다.	바뀌/VV+ㄴ다/EF+./SF


