# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.230
metadata : {}


# id : NWRW1800000049.230.1.1
강정호, 성폭행 혐의에도 출전… 7회 결승타

강정호,	강정호/NNP+,/SP
성폭행	성폭행/NNG
혐의에도	혐의/NNG+에/JKB+도/JX
출전…	출전/NNG+…/SE
7회	7/SN+회/NNB
결승타	결승타/NNG


# id : NWRW1800000049.230.2.1
ML, 국내와 달리 무죄추정원칙 준수… 언론도 “혐의 입증 전엔 차별 안돼”

ML,	ML/SL+,/SP
국내와	국내/NNG+와/JKB
달리	달리/MAG
무죄추정원칙	무죄/NNG+추정/NNG+원칙/NNG
준수…	준수/NNG+…/SE
언론도	언론/NNG+도/JX
“혐의	“/SS+혐의/NNG
입증	입증/NNG
전엔	전/NNG+에/JKB+ㄴ/JX
차별	차별/NNG
안돼”	안/MAG+되/XSV+어/EF+”/SS


# id : NWRW1800000049.230.3.1
성폭행 혐의로 경찰 조사를 받게 된 메이저리그 피츠버그의 강정호(29)가 7일 미국 세인트루이스에서 열린 방문경기에 선발 출전했다.

성폭행	성폭행/NNG
혐의로	혐의/NNG+로/JKB
경찰	경찰/NNG
조사를	조사/NNG+를/JKO
받게	받/VV+게/EC
된	되/VV+ㄴ/ETM
메이저리그	메이저리그/NNG
피츠버그의	피츠버그/NNP+의/JKG
강정호(29)가	강정호/NNP+(/SS+29/SN+)/SS+가/JKS
7일	7/SN+일/NNB
미국	미국/NNP
세인트루이스에서	세인트루이스/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
방문경기에	방문/NNG+경기/NNG+에/JKB
선발	선발/NNG
출전했다.	출전/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.230.3.2
‘수사 결과가 나올 때까지 강정호를 경기에 출전시킬 것’이라는 피츠버그 구단의 방침에 따른 것이다.

‘수사	‘/SS+수사/NNG
결과가	결과/NNG+가/JKS
나올	나오/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
강정호를	강정호/NNP+를/JKO
경기에	경기/NNG+에/JKB
출전시킬	출전/NNG+시키/XSV+ㄹ/ETM
것’이라는	것/NNB+’/SS+이/VCP+라는/ETM
피츠버그	피츠버그/NNP
구단의	구단/NNG+의/JKG
방침에	방침/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.230.3.3
이날 7회 결승 2타점 적시타를 치는 등 4타수 1안타 1볼넷 2타점으로 팀의 7-5 승리를 이끈 강정호는 경기 뒤 인터뷰에는 응했지만 혐의와 관련된 질문에는 구단의 방침을 따라 답변하지 않았다.

이날	이날/NNG
7회	7/SN+회/NNB
결승	결승/NNG
2타점	2/SN+타점/NNG
적시타를	적시타/NNG+를/JKO
치는	치/VV+는/ETM
등	등/NNB
4타수	4/SN+타수/NNG
1안타	1/SN+안타/NNG
1볼넷	1/SN+볼넷/NNG
2타점으로	2/SN+타점/NNG+으로/JKB
팀의	팀/NNG+의/JKG
7-5	7/SN+-/SO+5/SN
승리를	승리/NNG+를/JKO
이끈	이끌/VV+ㄴ/ETM
강정호는	강정호/NNP+는/JX
경기	경기/NNG
뒤	뒤/NNG
인터뷰에는	인터뷰/NNG+에/JKB+는/JX
응했지만	응하/VV+았/EP+지만/EC
혐의와	혐의/NNG+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
질문에는	질문/NNG+에/JKB+는/JX
구단의	구단/NNG+의/JKG
방침을	방침/NNG+을/JKO
따라	따르/VV+아/EC
답변하지	답변/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.230.4.1
메이저리그 구단들은 무죄 추정의 원칙에 따라 사법 처리가 끝날 때까지는 출장정지 등의 차별 대우를 하지 않는다.

메이저리그	메이저리그/NNG
구단들은	구단/NNG+들/XSN+은/JX
무죄	무죄/NNG
추정의	추정/NNG+의/JKG
원칙에	원칙/NNG+에/JKB
따라	따르/VV+아/EC
사법	사법/NNG
처리가	처리/NNG+가/JKS
끝날	끝나/VV+ㄹ/ETM
때까지는	때/NNG+까지/JX+는/JX
출장정지	출장/NNG+정지/NNG
등의	등/NNB+의/JKG
차별	차별/NNG
대우를	대우/NNG+를/JKO
하지	하/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000049.230.4.2
미국 현지 언론들도 강정호의 혐의가 입증돼 기소되기 전까지 출장정지 등의 차별을 해서는 안 된다고 지적했다.

미국	미국/NNP
현지	현지/NNG
언론들도	언론/NNG+들/XSN+도/JX
강정호의	강정호/NNP+의/JKG
혐의가	혐의/NNG+가/JKS
입증돼	입증/NNG+되/XSV+어/EC
기소되기	기소/NNG+되/XSV+기/ETN
전까지	전/NNG+까지/JX
출장정지	출장/NNG+정지/NNG
등의	등/NNB+의/JKG
차별을	차별/NNG+을/JKO
해서는	하/VV+아서/EC+는/JX
안	안/MAG
된다고	되/VV+ㄴ다고/EC
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.230.4.3
미국 피츠버그 포스트 가제트는 7일 “범죄 혐의로 조사를 받는 것과 기소되는 것에는 큰 차이가 있다”며 “경찰이 강정호를 기소할 만한 충분한 증거를 낼 때까지 어떤 추측도 시도해선 안 된다”고 강조했다.

미국	미국/NNP
피츠버그	피츠버그/NNP
포스트	포스트/NNP
가제트는	가제트/NNP+는/JX
7일	7/SN+일/NNB
“범죄	“/SS+범죄/NNG
혐의로	혐의/NNG+로/JKB
조사를	조사/NNG+를/JKO
받는	받/VV+는/ETM
것과	것/NNB+과/JC
기소되는	기소/NNG+되/XSV+는/ETM
것에는	것/NNB+에/JKB+는/JX
큰	크/VA+ㄴ/ETM
차이가	차이/NNG+가/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
“경찰이	“/SS+경찰/NNG+이/JKS
강정호를	강정호/NNP+를/JKO
기소할	기소/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
충분한	충분하/VA+ㄴ/ETM
증거를	증거/NNG+를/JKO
낼	내/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
어떤	어떤/MMD
추측도	추측/NNG+도/JX
시도해선	시도/NNG+하/XSV+아서/EC+ㄴ/JX
안	안/MAG
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.230.5.1
사건이 일어나면 징계부터 먼저 하고 보는 국내 구단들과는 차이가 있는 것이다.

사건이	사건/NNG+이/JKS
일어나면	일어나/VV+면/EC
징계부터	징계/NNG+부터/JX
먼저	먼저/MAG
하고	하/VV+고/EC
보는	보/VX+는/ETM
국내	국내/NNG
구단들과는	구단/NNG+들/XSN+과/JKB+는/JX
차이가	차이/NNG+가/JKS
있는	있/VA+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.230.5.2
