# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.385
metadata : {}


# id : NWRW1800000041.385.1.1
[수도권]“강남 4구 2015년 재건축發 전세대란 우려”

[수도권]“강남	[/SS+수도/NNG+권/XSN+]/SS+“/SS+강남/NNP
4구	4/SN+구/NNG
2015년	2015/SN+년/NNB
재건축發	재/XPN+건축/NNG+發/SH
전세대란	전세/NNG+대란/NNG
우려”	우려/NNG+”/SS


# id : NWRW1800000041.385.2.1
초과이익환수금 유예 2014년 끝나… 사업 본격화땐 주택 1만6000채 부족 서울시 시기 분산 등 대책마련 나서

초과이익환수금	초과/NNG+이익/NNG+환수금/NNG
유예	유예/NNG
2014년	2014/SN+년/NNB
끝나…	끝나/VV+아/EF+…/SE
사업	사업/NNG
본격화땐	본격/NNG+화/XSN+때/NNG+ㄴ/JX
주택	주택/NNG
1만6000채	1/SN+만/NR+6000/SN+채/NNB
부족	부족/NNG
서울시	서울시/NNP
시기	시기/NNG
분산	분산/NNG
등	등/NNB
대책마련	대책/NNG+마련/NNG
나서	나서/VV+어/EF


# id : NWRW1800000041.385.3.1
내년 서울 강남 4구(강남·강동·서초·송파)에서 주택 1만6000채가 부족할 것으로 예상된다.

내년	내년/NNG
서울	서울/NNP
강남	강남/NNP
4구(강남·강동·서초·송파)에서	4/SN+구/NNG+(/SS+강남/NNP+·/SP+강동/NNP+·/SP+서초/NNP+·/SP+송파/NNP+)/SS+에서/JKB
주택	주택/NNG
1만6000채가	1/SN+만/NR+6000/SN+채/NNB+가/JKS
부족할	부족/NNG+하/XSA+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.385.3.2
서울시가 대책을 내놓았지만 당장 공급 물량을 늘릴 방안이 없어 전세대란이 우려된다.

서울시가	서울시/NNP+가/JKS
대책을	대책/NNG+을/JKO
내놓았지만	내놓/VV+았/EP+지만/EC
당장	당장/NNG
공급	공급/NNG
물량을	물량/NNG+을/JKO
늘릴	늘리/VV+ㄹ/ETM
방안이	방안/NNG+이/JKS
없어	없/VA+어/EC
전세대란이	전세/NNG+대란/NNG+이/JKS
우려된다.	우려/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.385.4.1
서울시는 24일 재건축 등으로 내년 중 사라질 주택이 2만5000채에 이르지만 공급은 9000채에 그칠 전망이라고 밝혔다.

서울시는	서울시/NNP+는/JX
24일	24/SN+일/NNB
재건축	재/XPN+건축/NNG
등으로	등/NNB+으로/JKB
내년	내년/NNG
중	중/NNB
사라질	사라지/VV+ㄹ/ETM
주택이	주택/NNG+이/JKS
2만5000채에	2/SN+만/NR+5000/SN+채/NNB+에/JKB
이르지만	이르/VV+지만/EC
공급은	공급/NNG+은/JX
9000채에	9000/SN+채/NNB+에/JKB
그칠	그치/VV+ㄹ/ETM
전망이라고	전망/NNG+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.385.4.2
재건축에 따른 초과이익환수금 부과가 유예되는 올해 안에 본격적으로 재건축에 나서는 단지가 많은 탓이다.

재건축에	재/XPN+건축/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
초과이익환수금	초과/NNG+이익/NNG+환수금/NNG
부과가	부과/NNG+가/JKS
유예되는	유예/NNG+되/XSV+는/ETM
올해	올해/NNG
안에	안/NNG+에/JKB
본격적으로	본격/NNG+적/XSN+으로/JKB
나서는	나서/VV+는/ETM
단지가	단지/NNG+가/JKS
많은	많/VA+은/ETM
탓이다.	탓/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.385.5.1
서울시는 일단 재건축 규모가 작은 단지라도 관리처분인가 시기를 조정할 수 있도록 해 재건축 사업이 특정 시기에 몰리지 않도록 분산시킬 계획이다.

서울시는	서울시/NNP+는/JX
일단	일단/MAG
재건축	재/XPN+건축/NNG
규모가	규모/NNG+가/JKS
작은	작/VA+은/ETM
단지라도	단지/NNG+이/VCP+라도/EC
관리처분인가	관리/NNG+처분/NNG+인가/NNG
시기를	시기/NNG+를/JKO
조정할	조정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
해	하/VV+아/EC
사업이	사업/NNG+이/JKS
특정	특정/NNG
시기에	시기/NNG+에/JKB
몰리지	몰리/VV+지/EC
않도록	않/VX+도록/EC
분산시킬	분산/NNG+시키/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.385.5.2
11월 중 ‘도시 및 주거환경정비조례 개정안’을 발의해 2000채 이하 단지라도 다른 정비구역과 이주 시기가 겹치면 심의를 할 수 있게 된다.

11월	11/SN+월/NNB
중	중/NNB
‘도시	‘/SS+도시/NNG
및	및/MAG
주거환경정비조례	주거/NNG+환경/NNG+정비/NNG+조례/NNG
개정안’을	개정안/NNG+’/SS+을/JKO
발의해	발의/NNG+하/XSV+아/EC
2000채	2000/SN+채/NNB
이하	이하/NNG
