# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.323
metadata : {}


# id : NWRW1800000037.323.1.1
3D업종서 주 45시간 일하고 월 100만원 소득

3D업종서	3/SN+D/SL+업종/NNG+서/JKB
주	주/NNG
45시간	45/SN+시간/NNB
일하고	일/NNG+하/XSV+고/EC
월	월/NNG
100만원	100/SN+만/NR+원/NNB
소득	소득/NNG


# id : NWRW1800000037.323.2.1
■ 한국 탈북자의 ‘평균적 삶’

■	■/SW
한국	한국/NNP
탈북자의	탈북자/NNG+의/JKG
‘평균적	‘/SS+평균/NNG+적/XSN
삶’	삶/NNG+’/SS


# id : NWRW1800000037.323.3.1
30대 탈북 여성 A 씨는 함경북도에서 배고픔을 견디지 못해 딸을 데리고 탈출한 뒤 중국을 거쳐 2009년 한국에 들어왔다.

30대	30/SN+대/NNB
탈북	탈북/NNG
여성	여성/NNG
A	A/SL
씨는	씨/NNB+는/JX
함경북도에서	함경북도/NNP+에서/JKB
배고픔을	배고픔/NNG+을/JKO
견디지	견디/VV+지/EC
못해	못하/VX+아/EC
딸을	딸/NNG+을/JKO
데리고	데리/VV+고/EC
탈출한	탈출/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
중국을	중국/NNP+을/JKO
거쳐	거치/VV+어/EC
2009년	2009/SN+년/NNB
한국에	한국/NNP+에/JKB
들어왔다.	들어오/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.323.3.2
정부 지원으로 서울에서 영구 임대아파트를 얻어 월세로 살고 있다.

정부	정부/NNG
지원으로	지원/NNG+으로/JKB
서울에서	서울/NNP+에서/JKB
영구	영구/NNG
임대아파트를	임대/NNG+아파트/NNG+를/JKO
얻어	얻/VV+어/EC
월세로	월세/NNG+로/JKB
살고	살/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.323.3.3
지금 일하는 식당 주방 일자리는 생활정보지에서 찾았다.

지금	지금/MAG
일하는	일/NNG+하/XSV+는/ETM
식당	식당/NNG
주방	주방/NNG
일자리는	일자리/NNG+는/JX
생활정보지에서	생활/NNG+정보지/NNG+에서/JKB
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.323.3.4
일주일에 45시간 넘게 일하지만 월급은 100만 원 선.

일주일에	일주일/NNG+에/JKB
45시간	45/SN+시간/NNB
넘게	넘/VV+게/EC
일하지만	일/NNG+하/XSV+지만/EC
월급은	월급/NNG+은/JX
100만	100/SN+만/NR
원	원/NNB
선.	선/NNG+./SF


# id : NWRW1800000037.323.3.5
월세 15만∼20만 원과 각종 공과금을 내고 나면 쌀과 반찬값 대기에도 빠듯하다.

월세	월세/NNG
15만∼20만	15/SN+만/NR+∼/SO+20/SN+만/NR
원과	원/NNB+과/JC
각종	각종/NNG
공과금을	공과금/NNG+을/JKO
내고	내/VV+고/EC
나면	나/VX+면/EC
쌀과	쌀/NNG+과/JC
반찬값	반찬값/NNG
대기에도	대/VV+기/ETN+에/JKB+도/JX
빠듯하다.	빠듯하/VA+다/EF+./SF


