# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.248
metadata : {}


# id : NWRW1800000038.248.1.1
던질 때마다 "류현진! 류현진!"… 敵地 토론토가 들썩

던질	던지/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
"류현진!	"/SS+류현진/NNP+!/SF
류현진!"…	류현진/NNP+!/SF+"/SS+…/SE
敵地	敵地/SH
토론토가	토론토/NNP+가/JKS
들썩	들썩/MAG


# id : NWRW1800000038.248.2.1
한인 교민 수천명 몰린 경기장, 홈팀 선수보다 류현진 더 연호… 중계캐스터 "여기 토론토 맞나"

한인	한인/NNG
교민	교민/NNG
수천명	수천/NR+명/NNB
몰린	몰리/VV+ㄴ/ETM
경기장,	경기장/NNG+,/SP
홈팀	홈팀/NNG
선수보다	선수/NNG+보다/JKB
류현진	류현진/NNP
더	더/MAG
연호…	연호/NNG+…/SE
중계캐스터	중계/NNG+캐스터/NNG
"여기	"/SS+여기/NP
토론토	토론토/NNP
맞나"	맞/VV+나/EF+"/SS


# id : NWRW1800000038.248.3.1
"류현진! 류현진!"

"류현진!	"/SS+류현진/NNP+!/SF
류현진!"	류현진/NNP+!/SF+"/SS


# id : NWRW1800000038.248.4.1
23일 오전(한국 시각) LA 다저스와 토론토 블루제이스의 미 프로야구(MLB) 경기가 열린 캐나다 토론토 로저스센터.

23일	23/SN+일/NNB
오전(한국	오전/NNG+(/SS+한국/NNP
시각)	시각/NNG+)/SS
LA	LA/SL
다저스와	다저스/NNP+와/JC
토론토	토론토/NNP
블루제이스의	블루제이스/NNP+의/JKG
미	미/NNP
프로야구(MLB)	프로/NNG+야구/NNG+(/SS+MLB/SL+)/SS
경기가	경기/NNG+가/JKS
열린	열리/VV+ㄴ/ETM
캐나다	캐나다/NNP
로저스센터.	로저스센터/NNP+./SF


# id : NWRW1800000038.248.4.2
