# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.328
metadata : {}


# id : NWRW1800000046.328.1.1
[靑年실업 함께 풀자](1) 産業 현장, 젊은이가 안 보인다

[靑年실업	[/SS+靑年/SH+실업/NNG
함께	함께/MAG
풀자](1)	풀/VV+자/EF+]/SS+(/SS+1/SN+)/SS
産業	産業/SH
현장,	현장/NNG+,/SP
젊은이가	젊은이/NNG+가/JKS
안	안/MAG
보인다	보이/VV+ㄴ다/EF


# id : NWRW1800000046.328.2.1
청년 10명 중 4명 취업… 1997년 외환위기 때만큼 심각

청년	청년/NNG
10명	10/SN+명/NNB
중	중/NNB
4명	4/SN+명/NNB
취업…	취업/NNG+…/SE
1997년	1997/SN+년/NNB
외환위기	외환/NNG+위기/NNG
때만큼	때/NNG+만큼/JKB
심각	심각/XR


# id : NWRW1800000046.328.3.1
"허탈하네요.

"허탈하네요.	"/SS+허탈/NNG+하/XSA+네/EF+요/JX+./SF


# id : NWRW1800000046.328.3.2
오늘만 벌써 6시간째 인터넷으로 취업 정보를 뒤졌는데 1년 계약직 자리밖에 없네요."

오늘만	오늘/NNG+만/JX
벌써	벌써/MAG
6시간째	6/SN+시간/NNB+째/XSN
인터넷으로	인터넷/NNG+으로/JKB
취업	취업/NNG
정보를	정보/NNG+를/JKO
뒤졌는데	뒤지/VV+었/EP+는데/EC
1년	1/SN+년/NNB
계약직	계약직/NNG
자리밖에	자리/NNG+밖에/JX
없네요."	없/VA+네/EF+요/JX+./SF+"/SS


# id : NWRW1800000046.328.4.1
지난 16일 울산 남구 삼산동의 한 커피 전문점에서 만난 유모(26)씨는 "이러다 언제 취업할 수 있을지 모르겠다"며 한숨을 내쉬었다.

지난	지나/VV+ㄴ/ETM
16일	16/SN+일/NNB
울산	울산/NNP
남구	남구/NNP
삼산동의	삼산동/NNP+의/JKG
한	한/MMN
커피	커피/NNG
전문점에서	전문점/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
유모(26)씨는	유/NNP+모/NP+(/SS+26/SN+)/SS+씨/NNB+는/JX
"이러다	"/SS+이러/VV+다/EC
언제	언제/MAG
취업할	취업/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을지	있/VA+을지/EF
모르겠다"며	모르/VV+겠/EP+다/EF+"/SS+며/EC
한숨을	한/XPN+숨/NNG+을/JKO
내쉬었다.	내쉬/VV+었/EP+다/EF+./SF


