# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.326
metadata : {}


# id : NWRW1800000038.326.1.1
[청년실업, 유럽서 해법을 찾다 - '파트타임 천국' 네덜란드] 일자리 나눈 네덜란드, 청년 72%가 '시간제 정규직'

[청년실업,	[/SS+청년/NNG+실업/NNG+,/SP
유럽서	유럽/NNP+서/JKB
해법을	해법/NNG+을/JKO
찾다	찾/VV+다/EF
-	-/SO
'파트타임	'/SS+파트타임/NNG
천국'	천국/NNG+'/SS
네덜란드]	네덜란드/NNP+]/SS
일자리	일자리/NNG
나눈	나누/VV+ㄴ/ETM
네덜란드,	네덜란드/NNP+,/SP
청년	청년/NNG
72%가	72/SN+%/SW+가/JKS
'시간제	'/SS+시간/NNG+제/XSN
정규직'	정규직/NNG+'/SS


# id : NWRW1800000038.326.2.1
17년전 파트타임 차별금지법… 급여·휴가·복지 혜택 똑같고 특별한 사유없이 해고 못해

17년전	17/SN+년/NNB+전/NNG
파트타임	파트타임/NNG
차별금지법…	차별/NNG+금지법/NNG+…/SE
급여·휴가·복지	급여/NNG+·/SP+휴가/NNG+·/SP+복지/NNG
혜택	혜택/NNG
똑같고	똑같/VA+고/EC
특별한	특별/NNG+하/XSA+ㄴ/ETM
사유없이	사유/NNG+없이/MAG
해고	해고/NNG
못해	못하/VX+아/EF


# id : NWRW1800000038.326.3.1
지난 9일 네덜란드 수도 암스테르담 중심가 베스퍼스트라트의 노동임금서비스센터(DWI).

지난	지나/VV+ㄴ/ETM
9일	9/SN+일/NNB
네덜란드	네덜란드/NNP
수도	수도/NNG
암스테르담	암스테르담/NNP
중심가	중심가/NNG
베스퍼스트라트의	베스퍼스트라트/NNP+의/JKG
노동임금서비스센터(DWI).	노동/NNG+임금/NNG+서비스/NNG+센터/NNG+(/SS+DWI/SL+)/SS+./SF


# id : NWRW1800000038.326.3.2
시(市)가 구직·실업수당과 관련한 상담을 해주는 이곳을 반호이동(24)씨가 정보기술(IT) 관련 직업교육 정보를 얻기 위해 찾았다.

시(市)가	시/NNG+(/SS+市/SH+)/SS+가/JKS
구직·실업수당과	구직/NNG+·/SP+실업/NNG+수당/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
상담을	상담/NNG+을/JKO
해주는	하/VV+아/EC+주/VX+는/ETM
이곳을	이곳/NP+을/JKO
반호이동(24)씨가	반호이동/NNP+(/SS+24/SN+)/SS+씨/NNB+가/JKS
정보기술(IT)	정보/NNG+기술/NNG+(/SS+IT/SL+)/SS
관련	관련/NNG
직업교육	직업/NNG+교육/NNG
정보를	정보/NNG+를/JKO
얻기	얻/VV+기/ETN
위해	위하/VV+아/EC
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.326.3.3
그는 주(週) 25시간만 회사에서 근무한다고 했다.

그는	그/NP+는/JX
주(週)	주/NNG+(/SS+週/SH+)/SS
25시간만	25/SN+시간/NNB+만/JX
회사에서	회사/NNG+에서/JKB
근무한다고	근무/NNG+하/XSV+ㄴ다고/EC
