# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.264
metadata : {}


# id : NWRW1800000040.264.1.1
‘아이 엄마’ 편지 공개 뒤 검찰 분위기 보니 “나올 얘기 다 나와…차분히 지켜볼 때”

‘아이	‘/SS+아이/NNG
엄마’	엄마/NNG+’/SS
편지	편지/NNG
공개	공개/NNG
뒤	뒤/NNG
검찰	검찰/NNG
분위기	분위기/NNG
보니	보/VV+니/EC
“나올	“/SS+나오/VV+ㄹ/ETM
얘기	얘기/NNG
다	다/MAG
나와…차분히	나오/VV+아/EF+…/SE+차분히/MAG
지켜볼	지켜보/VV+ㄹ/ETM
때”	때/NNG+”/SS


# id : NWRW1800000040.264.2.1
“나올 얘기 다 나와…차분히 지켜볼 때”

“나올	“/SS+나오/VV+ㄹ/ETM
얘기	얘기/NNG
다	다/MAG
나와…차분히	나오/VV+아/EF+…/SE+차분히/MAG
지켜볼	지켜보/VV+ㄹ/ETM
때”	때/NNG+”/SS


# id : NWRW1800000040.264.3.1
채동욱(54) 검찰총장의 ‘혼외 아들 의혹’과 관련해 아이의 어머니라고 스스로 밝힌 여성의 편지(<한겨레> 11일치 2면)가 공개되면서 검찰 안에서는 의혹이 한풀 꺾였다는 평가가 많다.

채동욱(54)	채동욱/NNP+(/SS+54/SN+)/SS
검찰총장의	검찰/NNG+총장/NNG+의/JKG
‘혼외	‘/SS+혼외/NNG
아들	아들/NNG
의혹’과	의혹/NNG+’/SS+과/JKB
관련해	관련/NNG+하/XSV+아/EC
아이의	아이/NNG+의/JKG
어머니라고	어머니/NNG+이/VCP+라고/EC
스스로	스스로/MAG
밝힌	밝히/VV+ㄴ/ETM
여성의	여성/NNG+의/JKG
편지(<한겨레>	편지/NNG+(/SS+</SS+한겨레/NNP+>/SS
11일치	11/SN+일/NNB+치/NNB
2면)가	2/SN+면/NNG+)/SS+가/JKS
공개되면서	공개/NNG+되/XSV+면서/EC
검찰	검찰/NNG
안에서는	안/NNG+에서/JKB+는/JX
의혹이	의혹/NNG+이/JKS
한풀	한풀/MAG
꺾였다는	꺾이/VV+었/EP+다는/ETM
평가가	평가/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000040.264.3.2
검찰은 ‘이제 차분하게 가야 할 때’라면서도 사태가 어디로 흘러갈지 촉각을 세우고 있다.

검찰은	검찰/NNG+은/JX
‘이제	‘/SS+이제/MAG
차분하게	차분하/VA+게/EC
가야	가/VV+아야/EC
할	하/VX+ㄹ/ETM
때’라면서도	때/NNG+’/SS+이/VCP+라면서/EC+도/JX
사태가	사태/NNG+가/JKS
어디로	어디/NP+로/JKB
흘러갈지	흘러가/VV+ㄹ지/EC
촉각을	촉각/NNG+을/JKO
세우고	세우/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.264.4.1
검찰은 11일에도 이어진 <조선일보> 보도에 일절 대응하지 않았다.

검찰은	검찰/NNG+은/JX
11일에도	11/SN+일/NNB+에/JKB+도/JX
이어진	이어지/VV+ㄴ/ETM
<조선일보>	</SS+조선일보/NNP+>/SS
보도에	보도/NNG+에/JKB
일절	일절/MAG
대응하지	대응/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.264.4.2
정정보도 청구를 했으니 결과를 기다리겠다는 얘기다.

정정보도	정정/NNG+보도/NNG
청구를	청구/NNG+를/JKO
했으니	하/VV+았/EP+으니/EC
결과를	결과/NNG+를/JKO
기다리겠다는	기다리/VV+겠/EP+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.264.4.3
검찰 관계자는 “사실무근이라는 의견을 여러차례 밝혔고 관련 법 절차가 진행중이므로 공식 입장이 없다”고 말했다.

검찰	검찰/NNG
관계자는	관계자/NNG+는/JX
“사실무근이라는	“/SS+사실무근/NNG+이/VCP+라는/ETM
의견을	의견/NNG+을/JKO
여러차례	여러/MMN+차례/NNG
밝혔고	밝히/VV+었/EP+고/EC
관련	관련/NNG
법	법/NNG
절차가	절차/NNG+가/JKS
진행중이므로	진행/NNG+중/NNB+이/VCP+므로/EC
공식	공식/NNG
입장이	입장/NNG+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.264.4.4
채 총장은 지난 9일 조선일보사에 정정보도를 청구했고, 12일까지 요구가 받아들여지지 않으면 언론중재위원회에 조정을 신청하거나, 이를 건너뛰고 정정보도 청구 소송을 법원에 제기할 수 있다.

채	채/NNP
총장은	총장/NNG+은/JX
지난	지나/VV+ㄴ/ETM
9일	9/SN+일/NNB
조선일보사에	조선일보사/NNP+에/JKB
정정보도를	정정/NNG+보도/NNG+를/JKO
청구했고,	청구/NNG+하/XSV+았/EP+고/EC+,/SP
12일까지	12/SN+일/NNB+까지/JX
요구가	요구/NNG+가/JKS
받아들여지지	받아들이/VV+어/EC+지/VX+지/EC
않으면	않/VX+으면/EC
언론중재위원회에	언론/NNG+중재/NNG+위원회/NNG+에/JKB
조정을	조정/NNG+을/JKO
신청하거나,	신청/NNG+하/XSV+거나/EC+,/SP
이를	이/NP+를/JKO
건너뛰고	건너뛰/VV+고/EC
정정보도	정정/NNG+보도/NNG
청구	청구/NNG
소송을	소송/NNG+을/JKO
법원에	법원/NNG+에/JKB
제기할	제기/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000040.264.4.5
검찰은 절차대로 일을 진행하겠다는 방침이다.

검찰은	검찰/NNG+은/JX
절차대로	절차/NNG+대로/JX
일을	일/NNG+을/JKO
진행하겠다는	진행/NNG+하/XSV+겠/EP+다는/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.264.5.1
서울에 근무하는 한 검사는 “(편지 전문과 신문 보도를 보고) 상식적 수준에서 판단했다.

서울에	서울/NNP+에/JKB
근무하는	근무/NNG+하/XSV+는/ETM
한	한/MMN
검사는	검사/NNG+는/JX
“(편지	“/SS+(/SS+편지/NNG
전문과	전문/NNG+과/JC
신문	신문/NNG
보도를	보도/NNG+를/JKO
보고)	보/VV+고/EC+)/SS
상식적	상식/NNG+적/XSN
수준에서	수준/NNG+에서/JKB
판단했다.	판단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.264.5.2
주변에서도 납득을 하고 마음을 놓는 분위기다.

주변에서도	주변/NNG+에서/JKB+도/JX
납득을	납득/NNG+을/JKO
하고	하/VV+고/EC
마음을	마음/NNG+을/JKO
놓는	놓/VV+는/ETM
분위기다.	분위기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.264.5.3
다들 법률가들인데, 집단지성이 있다”고 말했다.

다들	다/MAG+들/XSN
법률가들인데,	법률가/NNG+들/XSN+이/VCP+ㄴ데/EC+,/SP
집단지성이	집단/NNG+지성/NNG+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.264.5.4
아이의 어머니라고 밝힌 여성의 편지가 공개되면서 상황이 채 총장한테 유리하게 되지 않겠느냐는 견해다.

아이의	아이/NNG+의/JKG
어머니라고	어머니/NNG+이/VCP+라고/EC
밝힌	밝히/VV+ㄴ/ETM
여성의	여성/NNG+의/JKG
편지가	편지/NNG+가/JKS
공개되면서	공개/NNG+되/XSV+면서/EC
상황이	상황/NNG+이/JKS
채	채/NNP
