# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.372
metadata : {}


# id : NWRW1800000046.372.1.1
[나눔, 통일의 시작입니다] 교회 권사·사업가·통일단체도 참여

[나눔,	[/SS+나누/VV+ㅁ/ETN+,/SP
통일의	통일/NNG+의/JKG
시작입니다]	시작/NNG+이/VCP+ㅂ니다/EF+]/SS
교회	교회/NNG
권사·사업가·통일단체도	권사/NNG+·/SP+사업가/NNG+·/SP+통일/NNG+단체/NNG+도/JX
참여	참여/NNG


# id : NWRW1800000046.372.2.1
"손이 떨려서 제대로 써지려나….

"손이	"/SS+손/NNG+이/JKS
떨려서	떨리/VV+어서/EC
제대로	제대로/MAG
써지려나….	쓰/VV+어/EC+지/VX+려나/EF+…/SE+./SF


# id : NWRW1800000046.372.2.2
여기에 사인을 하라구?"

여기에	여기/NP+에/JKB
사인을	사인/NNG+을/JKO
하라구?"	하/VV+라구/EF+?/SF+"/SS


# id : NWRW1800000046.372.3.1
지난 17일 서울 광화문 통일과 나눔 재단 사무실에서 김성식(90)옹은 통일나눔펀드 기부약정서를 작성하기 위해 떨리는 손으로 펜을 잡았다.

지난	지나/VV+ㄴ/ETM
17일	17/SN+일/NNB
서울	서울/NNP
광화문	광화문/NNP
통일과	통일/NNG+과/JC
나눔	나누/VV+ㅁ/ETN
재단	재단/NNG
사무실에서	사무실/NNG+에서/JKB
김성식(90)옹은	김성식/NNP+(/SS+90/SN+)/SS+옹/NNB+은/JX
통일나눔펀드	통일/NNG+나눔/NNG+펀드/NNG
기부약정서를	기부/NNG+약정서/NNG+를/JKO
작성하기	작성/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
떨리는	떨리/VV+는/ETM
손으로	손/NNG+으로/JKB
펜을	펜/NNG+을/JKO
잡았다.	잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.372.3.2
왼손에는 1000만원짜리 수표 봉투가 들려 있었다.

왼손에는	왼손/NNG+에/JKB+는/JX
1000만원짜리	1000/SN+만/NR+원/NNB+짜리/XSN
수표	수표/NNG
봉투가	봉투/NNG+가/JKS
들려	들리/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.372.3.3
이승만박사기념사업회 고문인 김옹은 이날 새벽 부산집을 떠나 홀로 KTX를 타고 상경했다.

이승만박사기념사업회	이승만박사기념사업회/NNP
고문인	고문/NNG+이/VCP+ㄴ/ETM
김옹은	김/NNP+옹/NNB+은/JX
이날	이날/NNG
새벽	새벽/NNG
부산집을	부산/NNP+집/NNG+을/JKO
떠나	떠나/VV+아/EC
홀로	홀로/MAG
KTX를	KTX/SL+를/JKO
타고	타/VV+고/EC
상경했다.	상경/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.372.3.4
김옹은 "통일 단체가 그간 여러 개 있었지만 이번에 좌우·민관을 포함한 믿음직한 재단이 생겼으니 너끈히 통일이 될 것 같다"고 했다.

김옹은	김/NNP+옹/NNB+은/JX
"통일	"/SS+통일/NNG
단체가	단체/NNG+가/JKS
그간	그/NP+간/XSN
여러	여러/MMN
개	개/NNB
있었지만	있/VA+었/EP+지만/EC
이번에	이번/NNG+에/JKB
좌우·민관을	좌우/NNG+·/SP+민관/NNG+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
믿음직한	믿음직하/VA+ㄴ/ETM
재단이	재단/NNG+이/JKS
생겼으니	생기/VV+었/EP+으니/EC
너끈히	너끈히/MAG
통일이	통일/NNG+이/JKS
될	되/VV+ㄹ/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.372.4.1
서울 구로구의 한 오피스텔에서 경비로 일하는 한행태(71)씨도 한 달 월급에 가까운 100만원을 기부하기로 했다.

서울	서울/NNP
구로구의	구로구/NNP+의/JKG
한	한/MMN
오피스텔에서	오피스텔/NNG+에서/JKB
경비로	경비/NNG+로/JKB
일하는	일/NNG+하/XSV+는/ETM
한행태(71)씨도	한행태/NNP+(/SS+71/SN+)/SS+씨/NNB+도/JX
달	달/NNB
월급에	월급/NNG+에/JKB
가까운	가깝/VA+ㄴ/ETM
100만원을	100/SN+만/NR+원/NNB+을/JKO
기부하기로	기부/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.372.4.2
한씨는 "이제껏 나와 가족들을 위해 돈 버느라 바빠 남을 위한 기부는 한 번도 해보지 못했다"며 "우리 민족 모두를 위해 돈쓰는 보람을 알아가려 한다"고 했다.

한씨는	한/NNP+씨/NNB+는/JX
"이제껏	"/SS+이제껏/MAG
나와	나/NP+와/JC
가족들을	가족/NNG+들/XSN+을/JKO
위해	위하/VV+아/EC
돈	돈/NNG
버느라	벌/VV+느라/EC
바빠	바쁘/VA+아/EC
남을	남/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
기부는	기부/NNG+는/JX
한	한/MMN
번도	번/NNB+도/JX
해보지	하/VV+아/EC+보/VX+지/EC
못했다"며	못하/VX+았/EP+다/EF+"/SS+며/EC
"우리	"/SS+우리/NP
민족	민족/NNG
모두를	모두/NNG+를/JKO
돈쓰는	돈/NNG+쓰/VV+는/ETM
보람을	보람/NNG+을/JKO
알아가려	알/VV+아/EC+가/VX+려/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.372.4.3
영락교회의 임관희(72) 권사는 통일과 나눔 재단 계좌로 1000만원을 입금했다.

영락교회의	영락교회/NNP+의/JKG
임관희(72)	임관희/NNP+(/SS+72/SN+)/SS
권사는	권사/NNG+는/JX
통일과	통일/NNG+과/JC
나눔	나누/VV+ㅁ/ETN
재단	재단/NNG
계좌로	계좌/NNG+로/JKB
1000만원을	1000/SN+만/NR+원/NNB+을/JKO
입금했다.	입금/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.372.4.4
임씨는 "평소 통일과 북한 동포를 위해 기도를 많이 해왔는데 마침 집을 처분하는 과정에서 여윳돈이 생겨 기부하기로 결심했다"고 말했다.

임씨는	임/NNP+씨/NNB+는/JX
"평소	"/SS+평소/NNG
통일과	통일/NNG+과/JC
북한	북한/NNP
동포를	동포/NNG+를/JKO
위해	위하/VV+아/EC
기도를	기도/NNG+를/JKO
많이	많이/MAG
해왔는데	하/VV+아/EC+오/VX+았/EP+는데/EC
마침	마침/MAG
집을	집/NNG+을/JKO
처분하는	처분/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
여윳돈이	여윳돈/NNG+이/JKS
생겨	생기/VV+어/EC
기부하기로	기부/NNG+하/XSV+기/ETN+로/JKB
결심했다"고	결심/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.372.4.5
임씨는 이와 별도로 매달 1만원씩 평생 기부하는 약정서도 썼다.

임씨는	임/NNP+씨/NNB+는/JX
