# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.65
metadata : {}


# id : NWRW1800000044.65.1.1
아베, 한·중에 “조건없이 정상회담 해야”

아베,	아베/NNP+,/SP
한·중에	한·중/NNP+에/JKB
“조건없이	“/SS+조건/NNG+없이/MAG
정상회담	정상/NNG+회담/NNG
해야”	하/VV+아야/EC+”/SS


# id : NWRW1800000044.65.2.1
[한겨레] 이세신궁 참배뒤 새해회견

[한겨레]	[/SS+한겨레/NNP+]/SS
이세신궁	이세신궁/NNP
참배뒤	참배/NNG+뒤/NNG
새해회견	새해/NNG+회견/NNG


# id : NWRW1800000044.65.3.1
박대통령은 “사전준비 있어야”

박대통령은	박/NNP+대통령/NNG+은/JX
“사전준비	“/SS+사전/NNG+준비/NNG
있어야”	있/VA+어야/EC+”/SS


# id : NWRW1800000044.65.4.1
중 “대화 희망은 허위” 거부 밝혀

중	중/NNP
“대화	“/SS+대화/NNG
희망은	희망/NNG+은/JX
허위”	허위/NNG+”/SS
거부	거부/NNG
밝혀	밝히/VV+어/EF


# id : NWRW1800000044.65.5.1
아베 신조 일본 총리가 한-일 관계가 어려울수록 “양국 정상들이 전제조건 없이 흉금을 터놓고 말해야 한다”고 말했다.

아베	아베/NNP
신조	신조/NNP
일본	일본/NNP
총리가	총리/NNG+가/JKS
한-일	한-일/NNP
관계가	관계/NNG+가/JKS
어려울수록	어렵/VA+ㄹ수록/EC
“양국	“/SS+양국/NNG
정상들이	정상/NNG+들/XSN+이/JKS
전제조건	전제/NNG+조건/NNG
없이	없이/MAG
흉금을	흉금/NNG+을/JKO
터놓고	트/VV+어/EC+놓/VX+고/EC
말해야	말/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.65.5.2
