# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.310
metadata : {}


# id : NWRW1800000029.310.1.1
[횡설수설/정성희]베이비 부머의 정년 연장

[횡설수설/정성희]베이비	[/SS+횡설수설/NNG+//SP+정성희/NNP+]/SS+베이비/NNG
부머의	부머/NNG+의/JKG
정년	정년/NNG
연장	연장/NNG


# id : NWRW1800000029.310.2.1
미국 통계청은 베이비 부머를 ‘합계출산율 3.0 이상인 세대’로 규정한다.

미국	미국/NNP
통계청은	통계청/NNG+은/JX
베이비	베이비/NNG
부머를	부머/NNG+를/JKO
‘합계출산율	‘/SS+합계/NNG+출산/NNG+율/XSN
3.0	3/SN+./SP+0/SN
이상인	이상/NNG+이/VCP+ㄴ/ETM
세대’로	세대/NNG+’/SS+로/JKB
규정한다.	규정/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.310.2.2
합계출산율이란 가임 여성 한 명이 평균적으로 낳는 아이의 수를 말한다.

합계출산율이란	합계/NNG+출산/NNG+율/XSN+이란/JX
가임	가임/NNG
여성	여성/NNG
한	한/MMN
명이	명/NNB+이/JKS
평균적으로	평균/NNG+적/XSN+으로/JKB
낳는	낳/VV+는/ETM
아이의	아이/NNG+의/JKG
수를	수/NNG+를/JKO
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.310.2.3
한 부부가 3명 이상의 아이를 낳았던 시기에 태어난 세대를 말한다.

한	한/MMN
부부가	부부/NNG+가/JKS
3명	3/SN+명/NNB
이상의	이상/NNG+의/JKG
아이를	아이/NNG+를/JKO
낳았던	낳/VV+았/EP+던/ETM
시기에	시기/NNG+에/JKB
태어난	태어나/VV+ㄴ/ETM
세대를	세대/NNG+를/JKO
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.310.2.4
이 기준에 따르면 미국은 제2차 세계대전 직후 태어난 1946∼1964년생이, 일본은 1947∼1949년에 태어난 단카이(團塊)세대가 베이비붐 세대다.

이	이/MMD
기준에	기준/NNG+에/JKB
따르면	따르/VV+면/EC
미국은	미국/NNP+은/JX
제2차	제/XPN+2/SN+차/NNB
세계대전	세계/NNG+대전/NNG
직후	직후/NNG
태어난	태어나/VV+ㄴ/ETM
1946∼1964년생이,	1946/SN+∼/SO+1964/SN+년/NNB+생/XSN+이/JKS+,/SP
일본은	일본/NNP+은/JX
1947∼1949년에	1947/SN+∼/SO+1949/SN+년/NNB+에/JKB
단카이(團塊)세대가	단카이/NNG+(/SS+團塊/SH+)/SS+세대/NNG+가/JKS
베이비붐	베이비붐/NNG
세대다.	세대/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.310.2.5
우리는 1955년부터 1963년 사이에 태어난 세대다.

우리는	우리/NP+는/JX
1955년부터	1955/SN+년/NNB+부터/JX
1963년	1963/SN+년/NNB
사이에	사이/NNG+에/JKB
태어난	태어나/VV+ㄴ/ETM
세대다.	세대/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.310.2.6
한국 전체 인구의 14.6%를 차지하며 약 712만 명에 이른다.

한국	한국/NNP
전체	전체/NNG
인구의	인구/NNG+의/JKG
