# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.154
metadata : {}


# id : NWRW1800000038.154.1.1
전자발찌 30대, 이웃 성폭행… 주민들은 착용 여부 몰라

전자발찌	전자/NNG+발찌/NNG
30대,	30/SN+대/NNB+,/SP
이웃	이웃/NNG
성폭행…	성폭행/NNG+…/SE
주민들은	주민/NNG+들/XSN+은/JX
착용	착용/NNG
여부	여부/NNG
몰라	모르/VV+아/EF


# id : NWRW1800000038.154.2.1
살인 전과로 전자발찌를 차고 출소한 30대 남성이 술에 취해 같은 다세대주택에 사는 중국인 유학생을 성폭행한 혐의로 경찰에 붙잡혔다.

살인	살인/NNG
전과로	전과/NNG+로/JKB
전자발찌를	전자/NNG+발찌/NNG+를/JKO
차고	차/VV+고/EC
출소한	출소/NNG+하/XSV+ㄴ/ETM
30대	30/SN+대/NNB
남성이	남성/NNG+이/JKS
술에	술/NNG+에/JKB
취해	취하/VV+아/EC
같은	같/VA+은/ETM
다세대주택에	다세대/NNG+주택/NNG+에/JKB
사는	살/VV+는/ETM
중국인	중국인/NNG
유학생을	유학/NNG+생/XSN+을/JKO
성폭행한	성폭행/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
경찰에	경찰/NNG+에/JKB
붙잡혔다.	붙잡히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.154.2.2
서울 광진경찰서는 지난 8일 오후 10시 30분쯤 서울 광진구 화양동의 한 다세대주택에서 술에 취해 같은 주택 아래층에 사는 중국인 유학생 A씨(26)를 성폭행한 혐의로 김모(32)씨를 구속했다고 밝혔다.

서울	서울/NNP
광진경찰서는	광진경찰서/NNP+는/JX
지난	지나/VV+ㄴ/ETM
8일	8/SN+일/NNB
오후	오후/NNG
10시	10/SN+시/NNB
30분쯤	30/SN+분/NNB+쯤/XSN
광진구	광진구/NNP
화양동의	화양동/NNP+의/JKG
한	한/MMN
다세대주택에서	다세대/NNG+주택/NNG+에서/JKB
술에	술/NNG+에/JKB
취해	취하/VV+아/EC
같은	같/VA+은/ETM
주택	주택/NNG
아래층에	아래층/NNG+에/JKB
사는	살/VV+는/ETM
중국인	중국인/NNG
유학생	유학/NNG+생/XSN
A씨(26)를	A/SL+씨/NNB+(/SS+26/SN+)/SS+를/JKO
성폭행한	성폭행/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
김모(32)씨를	김/NNP+모/NP+(/SS+32/SN+)/SS+씨/NNB+를/JKO
구속했다고	구속/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.154.3.1
경찰에 따르면 김씨는 A씨가 집주인에게 "보일러가 고장 났으니 고쳐달라"고 요청한 인터폰을 대신 받고, 주인인 척 A씨에게 "문을 열어달라"고 말해 집에 들어갔다.

경찰에	경찰/NNG+에/JKB
따르면	따르/VV+면/EC
김씨는	김/NNP+씨/NNB+는/JX
A씨가	A/SL+씨/NNB+가/JKS
집주인에게	집주인/NNG+에게/JKB
"보일러가	"/SS+보일러/NNG+가/JKS
고장	고장/NNG
났으니	나/VV+았/EP+으니/EC
고쳐달라"고	고치/VV+어/EC+달/VX+라/EF+"/SS+고/JKQ
요청한	요청/NNG+하/XSV+ㄴ/ETM
인터폰을	인터폰/NNG+을/JKO
대신	대신/NNG
받고,	받/VV+고/EC+,/SP
주인인	주인/NNG+이/VCP+ㄴ/ETM
척	척/NNB
A씨에게	A/SL+씨/NNB+에게/JKB
"문을	"/SS+문/NNG+을/JKO
열어달라"고	열/VV+어/EC+달/VX+라/EF+"/SS+고/JKQ
말해	말/NNG+하/XSV+아/EC
집에	집/NNG+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.154.3.2
이 주택은 인터폰이 하나로 연결돼 있어, 다른 사람 인터폰을 대신 받을 수 있게 돼 있다.

이	이/MMD
주택은	주택/NNG+은/JX
인터폰이	인터폰/NNG+이/JKS
하나로	하나/NR+로/JKB
연결돼	연결/NNG+되/XSV+어/EC
있어,	있/VX+어/EC+,/SP
다른	다른/MMD
사람	사람/NNG
인터폰을	인터폰/NNG+을/JKO
대신	대신/NNG
받을	받/VV+을/ETM
수	수/NNB
있게	있/VA+게/EC
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.154.3.3
범행 당시 집주인은 집에 없었다.

범행	범행/NNG
당시	당시/NNG
집주인은	집주인/NNG+은/JX
집에	집/NNG+에/JKB
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000038.154.3.4
경찰은 약 1시간 뒤쯤, 성폭행을 당했다는 A씨의 전화를 받고 출동해 현장에서 김씨를 검거했다.

경찰은	경찰/NNG+은/JX
약	약/MMA
1시간	1/SN+시간/NNB
뒤쯤,	뒤/NNG+쯤/XSN+,/SP
성폭행을	성폭행/NNG+을/JKO
당했다는	당하/VV+았/EP+다는/ETM
A씨의	A/SL+씨/NNB+의/JKG
전화를	전화/NNG+를/JKO
받고	받/VV+고/EC
출동해	출동/NNG+하/XSV+아/EC
현장에서	현장/NNG+에서/JKB
김씨를	김/NNP+씨/NNB+를/JKO
검거했다.	검거/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.154.4.1
경찰 조사 결과 피해 유학생과 집주인 등은 이 남성이 살인 전과로 전자발찌를 차고 있는 사실을 전혀 몰랐다.

경찰	경찰/NNG
조사	조사/NNG
결과	결과/NNG
피해	피해/NNG
유학생과	유학/NNG+생/XSN+과/JC
집주인	집주인/NNG
등은	등/NNB+은/JX
이	이/MMD
남성이	남성/NNG+이/JKS
살인	살인/NNG
전과로	전과/NNG+로/JKB
전자발찌를	전자/NNG+발찌/NNG+를/JKO
차고	차/VV+고/EC
있는	있/VX+는/ETM
사실을	사실/NNG+을/JKO
전혀	전혀/MAG
몰랐다.	모르/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.154.5.1
현행법에 따르면 법원은 강간이나 강제 추행 등 혐의로 유죄판결을 받은 성범죄자에 대해 성명·주민등록번호·실거주지 등 신상 정보 등록 및 공개를 명령할 수 있지만, 김씨는 성폭행 전과가 없어 신상 정보 공개 대상이 아니었다.

현행법에	현행법/NNG+에/JKB
따르면	따르/VV+면/EC
법원은	법원/NNG+은/JX
강간이나	강간/NNG+이나/JC
강제	강제/NNG
추행	추행/NNG
등	등/NNB
혐의로	혐의/NNG+로/JKB
유죄판결을	유죄/NNG+판결/NNG+을/JKO
받은	받/VV+은/ETM
성범죄자에	성범죄자/NNG+에/JKB
대해	대하/VV+아/EC
성명·주민등록번호·실거주지	성명/NNG+·/SP+주민/NNG+등록/NNG+번호/NNG+·/SP+실거주지/NNG
신상	신상/NNG
정보	정보/NNG
등록	등록/NNG
및	및/MAG
공개를	공개/NNG+를/JKO
명령할	명령/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있지만,	있/VA+지만/EC+,/SP
김씨는	김/NNP+씨/NNB+는/JX
성폭행	성폭행/NNG
전과가	전과/NNG+가/JKS
없어	없/VA+어/EC
공개	공개/NNG
대상이	대상/NNG+이/JKC
아니었다.	아니/VCN+었/EP+다/EF+./SF


# id : NWRW1800000038.154.6.1
김씨는 지난해 8월 한 여성을 살해한 혐의로 10년형을 선고받고 복역하다 만기 출소를 10개월 남기고 가석방으로 출소했다.

김씨는	김/NNP+씨/NNB+는/JX
지난해	지난해/NNG
8월	8/SN+월/NNB
한	한/MMN
여성을	여성/NNG+을/JKO
살해한	살해/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
10년형을	10/SN+년/NNB+형/NNG+을/JKO
선고받고	선고/NNG+받/XSV+고/EC
복역하다	복역/NNG+하/XSV+다/EC
만기	만기/NNG
출소를	출소/NNG+를/JKO
10개월	10/SN+개월/NNB
남기고	남기/VV+고/EC
가석방으로	가/XPN+석방/NNG+으로/JKB
출소했다.	출소/NNG+하/XSV+았/EP+다/EF+./SF


