# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.40
metadata : {}


# id : NWRW1800000022.40.1.1
민주 "이달곤 내정자 이중 소득공제 의혹"

민주	민주/NNP
"이달곤	"/SS+이달곤/NNP
내정자	내정자/NNG
이중	이중/NNG
소득공제	소득/NNG+공제/NNG
의혹"	의혹/NNG+"/SS


# id : NWRW1800000022.40.2.1
민주당 김유정 대변인은 4일 "이달곤 행정안전부 장관 내정자와 부인이 2006년, 2007년 배우자 및 부양가족 소득공제를 이중으로 받은 자료가 있다"며 "이는 고위공직자가 될 수 없는 결격사유에 해당한다"고 말했다.

민주당	민주당/NNP
김유정	김유정/NNP
대변인은	대변인/NNG+은/JX
4일	4/SN+일/NNB
"이달곤	"/SS+이달곤/NNP
행정안전부	행정/NNG+안전부/NNG
장관	장관/NNG
내정자와	내정자/NNG+와/JC
부인이	부인/NNG+이/JKS
2006년,	2006/SN+년/NNB+,/SP
2007년	2007/SN+년/NNB
배우자	배우자/NNG
및	및/MAG
부양가족	부양가족/NNG
소득공제를	소득/NNG+공제/NNG+를/JKO
이중으로	이중/NNG+으로/JKB
받은	받/VV+은/ETM
자료가	자료/NNG+가/JKS
있다"며	있/VA+다/EF+"/SS+며/EC
"이는	"/SS+이/NP+는/JX
고위공직자가	고위/NNG+공직자/NNG+가/JKS
될	되/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
결격사유에	결격/NNG+사유/NNG+에/JKB
해당한다"고	해당/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.40.3.1
김 대변인은 "남주홍 전 통일부장관 내정자도 자녀교육비를 부인과 이중으로 공제받아 낙마한 적이 있다"고도 했다.

김	김/NNP
대변인은	대변인/NNG+은/JX
"남주홍	"/SS+남주홍/NNP
전	전/MMD
통일부장관	통일부/NNG+장관/NNG
내정자도	내정자/NNG+도/JX
자녀교육비를	자녀/NNG+교육비/NNG+를/JKO
부인과	부인/NNG+과/JKB
이중으로	이중/NNG+으로/JKB
공제받아	공제/NNG+받/XSV+아/EC
낙마한	낙마/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
있다"고도	있/VA+다/EF+"/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.40.4.1
민주당측은 이 내정자의 부인이 대학교수로 소득이 있는데도, 본인과 배우자측 양쪽에서 모두 500만원의 부양가족 소득공제를 받았다고 주장했다.

민주당측은	민주당/NNP+측/NNB+은/JX
이	이/NNP
내정자의	내정자/NNG+의/JKG
부인이	부인/NNG+이/JKS
대학교수로	대학교수/NNG+로/JKB
소득이	소득/NNG+이/JKS
있는데도,	있/VA+는데/EC+도/JX+,/SP
본인과	본인/NNG+과/JC
배우자측	배우자/NNG+측/NNB
양쪽에서	양쪽/NNG+에서/JKB
모두	모두/MAG
500만원의	500/SN+만/NR+원/NNB+의/JKG
부양가족	부양가족/NNG
소득공제를	소득/NNG+공제/NNG+를/JKO
받았다고	받/VV+았/EP+다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.40.5.1
이에 대해 이 내정자는 "소득공제 서류를 직접 작성하지 않아 제대로 하지 못한 것 같은데, 어쨌든 내 불찰"이라고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
이	이/NNP
내정자는	내정자/NNG+는/JX
"소득공제	"/SS+소득/NNG+공제/NNG
서류를	서류/NNG+를/JKO
직접	직접/MAG
작성하지	작성/NNG+하/XSV+지/EC
않아	않/VX+아/EC
제대로	제대로/MAG
하지	하/VV+지/EC
못한	못하/VX+ㄴ/ETM
것	것/NNB
같은데,	같/VA+은데/EC+,/SP
어쨌든	어쨌든/MAG
내	나/NP+의/JKG
불찰"이라고	불찰/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.40.6.1
행안부는 설명자료에서 "이중공제분 152만원에 대해 오늘 납부했다"고 밝혔다.

행안부는	행안부/NNG+는/JX
설명자료에서	설명/NNG+자료/NNG+에서/JKB
"이중공제분	"/SS+이중/NNG+공제/NNG+분/XSN
152만원에	152/SN+만/NR+원/NNB+에/JKB
대해	대하/VV+아/EC
오늘	오늘/NNG
납부했다"고	납부/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


