# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.17
metadata : {}


# id : NWRW1800000025.17.1.1
[수도권]일산 옛 출판단지터 10년 만에 햇빛

[수도권]일산	[/SS+수도/NNG+권/XSN+]/SS+일산/NNP
옛	옛/MMA
출판단지터	출판/NNG+단지/NNG+터/NNG
10년	10/SN+년/NNB
만에	만/NNB+에/JKB
햇빛	햇빛/NNG


# id : NWRW1800000025.17.2.1
10년 넘게 빈터로 방치돼 있던 경기 고양시 일산신도시 내 옛 출판문화단지 용지가 개발된다.

10년	10/SN+년/NNB
넘게	넘/VV+게/EC
빈터로	빈터/NNG+로/JKB
방치돼	방치/NNG+되/XSV+어/EC
있던	있/VX+던/ETM
경기	경기/NNP
고양시	고양시/NNP
일산신도시	일산신도시/NNP
내	내/NNB
옛	옛/MMA
출판문화단지	출판문화/NNG+단지/NNG
용지가	용지/NNG+가/JKS
개발된다.	개발/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.17.2.2
경기 고양시 일산동구 백석동 1237 일대 11만1013m²(3만3600여 평)에 주상복합 건물과 산업시설, 학교 등이 들어설 예정이다.

경기	경기/NNP
고양시	고양시/NNP
일산동구	일산동구/NNP
백석동	백석동/NNP
1237	1237/SN
일대	일대/NNG
11만1013m²(3만3600여	11/SN+만/NR+1013/SN+m²/SW+(/SS+3/SN+만/NR+3600/SN+여/XSN
평)에	평/NNB+)/SS+에/JKB
주상복합	주상/NNG+복합/NNG
건물과	건물/NNG+과/JC
산업시설,	산업/NNG+시설/NNG+,/SP
학교	학교/NNG
등이	등/NNB+이/JKS
들어설	들어서/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.17.3.1
19일 고양시에 따르면 전체 용지의 59.9%인 6만6533m²(2만161평)가 주상복합용으로 개발된다.

19일	19/SN+일/NNB
고양시에	고양시/NNP+에/JKB
따르면	따르/VV+면/EC
전체	전체/NNG
용지의	용지/NNG+의/JKG
59.9%인	59/SN+./SP+9/SN+%/SW+이/VCP+ㄴ/ETM
6만6533m²(2만161평)가	6/SN+만/NR+6533/SN+m²/SW+(/SS+2/SN+만/NR+161/SN+평/NNB+)/SS+가/JKS
주상복합용으로	주상/NNG+복합/NNG+용/XSN+으로/JKB
개발된다.	개발/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.17.3.2
산업용지는 13.4%인 1만4904m²에 들어설 예정이다.

산업용지는	산업용지/NNG+는/JX
13.4%인	13/SN+./SP+4/SN+%/SW+이/VCP+ㄴ/ETM
1만4904m²에	1/SN+만/NR+4904/SN+m²/SW+에/JKB
들어설	들어서/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.17.3.3
학교와 공공시설은 1만3224m²로 11.9%를 차지한다.

학교와	학교/NNG+와/JC
공공시설은	공공시설/NNG+은/JX
1만3224m²로	1/SN+만/NR+3224/SN+m²/SW+로/JKB
11.9%를	11/SN+./SP+9/SN+%/SW+를/JKO
차지한다.	차지/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.17.3.4
개발업체 측은 전체 용지의 32.7%인 4만4480m²(1만3478평)를 도로, 공원, 산업용지 등으로 쓸 수 있도록 고양시에 기부할 계획이다.

개발업체	개발업체/NNG
측은	측/NNB+은/JX
전체	전체/NNG
용지의	용지/NNG+의/JKG
32.7%인	32/SN+./SP+7/SN+%/SW+이/VCP+ㄴ/ETM
4만4480m²(1만3478평)를	4/SN+만/NR+4480/SN+m²/SW+(/SS+1/SN+만/NR+3478/SN+평/NNB+)/SS+를/JKO
도로,	도로/NNG+,/SP
공원,	공원/NNG+,/SP
산업용지	산업용지/NNG
등으로	등/NNB+으로/JKB
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
고양시에	고양시/NNP+에/JKB
기부할	기부/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.17.4.1
고양시 관계자는 “이 같은 개발 내용을 이달에 공고할 예정”이라며 “첨단 업종 유치를 위한 산업단지가 마련돼 자족형 개발이 가능할 것”이라고 말했다.

고양시	고양시/NNP
관계자는	관계자/NNG+는/JX
“이	“/SS+이/NP
같은	같/VA+은/ETM
개발	개발/NNG
내용을	내용/NNG+을/JKO
이달에	이달/NNG+에/JKB
공고할	공고/NNG+하/XSV+ㄹ/ETM
예정”이라며	예정/NNG+”/SS+이/VCP+라며/EC
“첨단	“/SS+첨단/NNG
업종	업종/NNG
유치를	유치/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
산업단지가	산업/NNG+단지/NNG+가/JKS
마련돼	마련/NNG+되/XSV+어/EC
자족형	자족/NNG+형/XSN
개발이	개발/NNG+이/JKS
가능할	가능/NNG+하/XSA+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.17.5.1
신도시 조성 당시에는 출판문화단지가 들어설 예정이었으나 이 단지가 파주시에 자리 잡자 용도를 변경해 주상복합 건물을 지을 수 있게 해달라는 토지 소유 업체와 이를 허용하지 않았던 고양시가 장기간 갈등을 빚어왔다.

신도시	신/XPN+도시/NNG
조성	조성/NNG
당시에는	당시/NNG+에/JKB+는/JX
출판문화단지가	출판문화/NNG+단지/NNG+가/JKS
들어설	들어서/VV+ㄹ/ETM
예정이었으나	예정/NNG+이/VCP+었/EP+으나/EC
이	이/MMD
단지가	단지/NNG+가/JKS
파주시에	파주시/NNP+에/JKB
자리	자리/NNG
잡자	잡/VV+자/EC
용도를	용도/NNG+를/JKO
변경해	변경/NNG+하/XSV+아/EC
주상복합	주상/NNG+복합/NNG
