# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.369
metadata : {}


# id : NWRW1800000030.369.1.1
[수도권] "여기가 바로…" 서울서 되살아난 '역사의 현장'

[수도권]	[/SS+수도/NNG+권/XSN+]/SS
"여기가	"/SS+여기/NP+가/JKS
바로…"	바로/MAG+…/SE+"/SS
서울서	서울/NNP+서/JKB
되살아난	되살아나/VV+ㄴ/ETM
'역사의	'/SS+역사/NNG+의/JKG
현장'	현장/NNG+'/SS


# id : NWRW1800000030.369.2.1
•장면·박정희·이상범… 근현대사 인물들의 가옥 복원 활발

•장면·박정희·이상범…	•/SW+장면/NNP+·/SP+박정희/NNP+·/SP+이상범/NNP+…/SE
근현대사	근현대사/NNG
인물들의	인물/NNG+들/XSN+의/JKG
가옥	가옥/NNG
복원	복원/NNG
활발	활발/XR


# id : NWRW1800000030.369.3.1
4·19 혁명을 기념해 다음 달 19일에는 장면 전 총리의 집이 복원돼 일반에게 공개된다.

4·19	4/SN+·/SP+19/SN
혁명을	혁명/NNG+을/JKO
기념해	기념/NNG+하/XSV+아/EC
다음	다음/NNG
달	달/NNG
19일에는	19/SN+일/NNB+에/JKB+는/JX
장면	장면/NNP
전	전/MMD
총리의	총리/NNG+의/JKG
집이	집/NNG+이/JKS
복원돼	복원/NNG+되/XSV+어/EC
일반에게	일반/NNG+에게/JKB
공개된다.	공개/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.369.3.2
장면 총리는 1960년 4·19 혁명 이후 정부수반을 지낸 인물이어서 개방 시기를 맞췄다.

장면	장면/NNP
총리는	총리/NNG+는/JX
1960년	1960/SN+년/NNB
4·19	4/SN+·/SP+19/SN
혁명	혁명/NNG
이후	이후/NNG
정부수반을	정부/NNG+수반/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
인물이어서	인물/NNG+이/VCP+어서/EC
개방	개방/NNG
시기를	시기/NNG+를/JKO
맞췄다.	맞추/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.369.3.3
오는 12월에는 박정희 전 대통령이 살면서 5·16을 모의했던 신당동 가옥도 보수공사를 마치고 모습을 드러낸다.

오는	오/VV+는/ETM
12월에는	12/SN+월/NNB+에/JKB+는/JX
박정희	박정희/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
살면서	살/VV+면서/EC
5·16을	5/SN+·/SP+16/SN+을/JKO
모의했던	모의/NNG+하/XSV+았/EP+던/ETM
신당동	신당동/NNP
가옥도	가옥/NNG+도/JX
보수공사를	보수/NNG+공사/NNG+를/JKO
마치고	마치/VV+고/EC
모습을	모습/NNG+을/JKO
드러낸다.	드러내/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.369.4.1
