# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.397
metadata : {}


# id : NWRW1800000046.397.1.1
[나눔, 통일의 시작입니다] 금오회 회원들 500만원 보내오고… 수성인재육성장학재단도 100만원

[나눔,	[/SS+나누/VV+ㅁ/ETN+,/SP
통일의	통일/NNG+의/JKG
시작입니다]	시작/NNG+이/VCP+ㅂ니다/EF+]/SS
금오회	금오회/NNP
회원들	회원/NNG+들/XSN
500만원	500/SN+만/NR+원/NNB
보내오고…	보내오/VV+고/EC+…/SE
수성인재육성장학재단도	수성인재육성장학재단/NNP+도/JX
100만원	100/SN+만/NR+원/NNB


# id : NWRW1800000046.397.2.1
매일신문 통한 기부 줄이어

매일신문	매일신문/NNP
통한	통하/VV+ㄴ/ETM
기부	기부/NNG
줄이어	줄/NNG+잇/VV+어/EF


# id : NWRW1800000046.397.3.1
대구·경북 지역 유력 일간지 매일신문(사장 여창환 신부)이 통일과 나눔 재단과 MOU(업무협약)를 체결한 이후 대구·경북의 개인 및 단체의 통일나눔펀드 참여가 잇따르고 있다.

대구·경북	대구/NNP+·/SP+경북/NNP
지역	지역/NNG
유력	유력/NNG
일간지	일간지/NNG
매일신문(사장	매일신문/NNP+(/SS+사장/NNG
여창환	여창환/NNP
신부)이	신부/NNG+)/SS+이/JKS
통일과	통일/NNG+과/JC
나눔	나누/VV+ㅁ/ETN
재단과	재단/NNG+과/JKB
MOU(업무협약)를	MOU/SL+(/SS+업무/NNG+협약/NNG+)/SS+를/JKO
체결한	체결/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
대구·경북의	대구/NNP+·/SP+경북/NNP+의/JKG
개인	개인/NNG
및	및/MAG
단체의	단체/NNG+의/JKG
통일나눔펀드	통일/NNG+나눔/NNG+펀드/NNG
참여가	참여/NNG+가/JKS
잇따르고	잇따르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.397.3.2
매일신문은 29일까지 매일신문을 통해 통일과 나눔 재단에 기부한 개인 및 단체가 12곳이라고 밝혔다.

매일신문은	매일신문/NNP+은/JX
29일까지	29/SN+일/NNB+까지/JX
매일신문을	매일신문/NNP+을/JKO
통해	통하/VV+아/EC
통일과	통일/NNG+과/JC
나눔	나누/VV+ㅁ/ETN
재단에	재단/NNG+에/JKB
기부한	기부/NNG+하/XSV+ㄴ/ETM
개인	개인/NNG
및	및/MAG
단체가	단체/NNG+가/JKS
12곳이라고	12/SN+곳/NNG+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.397.4.1
한국예절아카데미 이사로 청소년과 일반인을 대상으로 예절 강의를 하는 손재현(68)씨는 "통일은 7000만 겨레의 염원"이라며 100만원을 기부했고, 대구시의회 의장을 지낸 김화자(71) 세명건축 대표도 "통일 준비를 위한 공감대 형성에 마중물이 됐으면 좋겠다"며 100만원을 보내왔다.

한국예절아카데미	한국예절아카데미/NNP
이사로	이사/NNG+로/JKB
청소년과	청소년/NNG+과/JC
일반인을	일반인/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
예절	예절/NNG
강의를	강의/NNG+를/JKO
하는	하/VV+는/ETM
손재현(68)씨는	손재현/NNP+(/SS+68/SN+)/SS+씨/NNB+는/JX
"통일은	"/SS+통일/NNG+은/JX
7000만	7000/SN+만/NR
겨레의	겨레/NNG+의/JKG
염원"이라며	염원/NNG+"/SS+이/VCP+라며/EC
100만원을	100/SN+만/NR+원/NNB+을/JKO
기부했고,	기부/NNG+하/XSV+았/EP+고/EC+,/SP
대구시의회	대구시의회/NNP
의장을	의장/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
김화자(71)	김화자/NNP+(/SS+71/SN+)/SS
세명건축	세명건축/NNP
대표도	대표/NNG+도/JX
"통일	"/SS+통일/NNG
준비를	준비/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
공감대	공감대/NNG
형성에	형성/NNG+에/JKB
마중물이	마중물/NNG+이/JKC
됐으면	되/VV+었/EP+으면/EC
좋겠다"며	좋/VA+겠/EP+다/EF+"/SS+며/EC
보내왔다.	보내오/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.397.4.2
최종석(59) 반고개 새마을금고 이사장도 "통일은 그냥 소원이 아니라 이제 현실이 돼야 한다. 작은 금액이지만 통일에 보탬이 되길 바라는 마음에서 기부를 결정했다"며 100만원을, 윤영도(82) 전 한국건축 지산장학회 이사장도 "6·25 참전 유공자로 누구보다 남북문제에 관심이 많다. 큰 금액은 아니지만, 통일의 염원을 담아 함께하기로 했다"며 100만원을 보탰다.

최종석(59)	최종석/NNP+(/SS+59/SN+)/SS
반고개	반고개/NNP
새마을금고	새마을금고/NNP
이사장도	이사장/NNG+도/JX
"통일은	"/SS+통일/NNG+은/JX
그냥	그냥/MAG
소원이	소원/NNG+이/JKC
아니라	아니/VCN+라/EC
이제	이제/MAG
현실이	현실/NNG+이/JKC
돼야	되/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF
작은	작/VA+은/ETM
금액이지만	금액/NNG+이/VCP+지만/EC
통일에	통일/NNG+에/JKB
보탬이	보탬/NNG+이/JKC
되길	되/VV+기/ETN+ㄹ/JKO
바라는	바라/VV+는/ETM
마음에서	마음/NNG+에서/JKB
기부를	기부/NNG+를/JKO
결정했다"며	결정/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
100만원을,	100/SN+만/NR+원/NNB+을/JKO+,/SP
윤영도(82)	윤영도/NNP+(/SS+82/SN+)/SS
전	전/MMD
한국건축	한국/NNP+건축/NNG
지산장학회	지산장학회/NNP
"6·25	"/SS+6/SN+·/SP+25/SN
참전	참전/NNG
유공자로	유공자/NNG+로/JKB
누구보다	누구/NP+보다/JKB
남북문제에	남북문제/NNG+에/JKB
관심이	관심/NNG+이/JKS
많다.	많/VA+다/EF+./SF
큰	크/VA+ㄴ/ETM
금액은	금액/NNG+은/JX
아니지만,	아니/VCN+지만/EC+,/SP
통일의	통일/NNG+의/JKG
염원을	염원/NNG+을/JKO
담아	담/VV+아/EC
함께하기로	함께/MAG+하/XSV+기/ETN+로/JKB
했다"며	하/VV+았/EP+다/EF+"/SS+며/EC
100만원을	100/SN+만/NR+원/NNB+을/JKO
보탰다.	보태/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.397.5.1
평안북도 의주군 출신으로 1948년 북한에 가족을 두고 홀로 남으로 내려왔다가 실향민이 된 박하영(86)씨는 "남북한이 통일을 이루는 데 조금이라도 보탬이 됐으면 한다"며 200만원을 전해왔다.

평안북도	평안북도/NNP
의주군	의주군/NNP
출신으로	출신/NNG+으로/JKB
1948년	1948/SN+년/NNB
북한에	북한/NNP+에/JKB
가족을	가족/NNG+을/JKO
두고	두/VV+고/EC
홀로	홀로/MAG
남으로	남/NNP+으로/JKB
내려왔다가	내려오/VV+았/EP+다가/EC
실향민이	실향민/NNG+이/JKC
된	되/VV+ㄴ/ETM
박하영(86)씨는	박하영/NNP+(/SS+86/SN+)/SS+씨/NNB+는/JX
"남북한이	"/SS+남북한/NNP+이/JKS
