# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.291
metadata : {}


# id : NWRW1800000036.291.1.1
에스케이, 또 하나의 ‘떡잎’ 발견

에스케이,	에스케이/NNP+,/SP
또	또/MAG
하나의	하나/NR+의/JKG
‘떡잎’	‘/SS+떡잎/NNG+’/SS
발견	발견/NNG


# id : NWRW1800000036.291.2.1
[한겨레] 새내기 가드 권용웅

[한겨레]	[/SS+한겨레/NNP+]/SS
새내기	새내기/NNG
가드	가드/NNG
권용웅	권용웅/NNP


# id : NWRW1800000036.291.3.1
프로농구 에스케이(SK)가 용띠 해에 또 한명의 용띠 희망이 생겼다.

프로농구	프로/NNG+농구/NNG
에스케이(SK)가	에스케이/NNP+(/SS+SK/SL+)/SS+가/JKS
용띠	용띠/NNG
해에	해/NNG+에/JKB
또	또/MAG
한명의	한/MMN+명/NNB+의/JKG
희망이	희망/NNG+이/JKS
생겼다.	생기/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.291.4.1
에스케이는 6강 플레이오프 진출이 좌절됐지만 변기훈(23), 김선형(24)에 이어 권용웅(24·사진)이 대성할 가능성을 보이고 있다.

에스케이는	에스케이/NNP+는/JX
6강	6/SN+강/NNB
플레이오프	플레이오프/NNG
진출이	진출/NNG+이/JKS
좌절됐지만	좌절/NNG+되/XSV+었/EP+지만/EC
변기훈(23),	변기훈/NNP+(/SS+23/SN+)/SS+,/SP
김선형(24)에	김선형/NNP+(/SS+24/SN+)/SS+에/JKB
이어	잇/VV+어/EC
권용웅(24·사진)이	권용웅/NNP+(/SS+24/SN+·/SP+사진/NNG+)/SS+이/JKS
대성할	대성/NNG+하/XSV+ㄹ/ETM
가능성을	가능/NNG+성/XSN+을/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.291.4.2
김선형과 권용웅은 1988년생이고, 변기훈도 1989년 1월생이라 모두 용띠다.

김선형과	김선형/NNP+과/JC
권용웅은	권용웅/NNP+은/JX
1988년생이고,	1988/SN+년/NNB+생/XSN+이/VCP+고/EC+,/SP
변기훈도	변기훈/NNP+도/JX
1989년	1989/SN+년/NNB
1월생이라	1/SN+월/NNB+생/XSN+이/VCP+라/EC
모두	모두/MAG
용띠다.	용띠/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.291.4.3
공교롭게 키도 1m86으로 같다.

공교롭게	공교롭/VA+게/EC
키도	키/NNG+도/JX
1m86으로	1/SN+m/SW+86/SN+으로/JKB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000036.291.5.1
동기들보다 1년 먼저 프로에 입단한 변기훈은 이미 지난 시즌부터 슈팅 실력을 인정받았고, 김선형도 이번 시즌 오세근(25·KGC인삼공사)과 신인왕을 겨룰 정도로 ‘될 성 부른 떡잎’이다.

동기들보다	동기/NNG+들/XSN+보다/JKB
1년	1/SN+년/NNB
먼저	먼저/MAG
프로에	프로/NNG+에/JKB
입단한	입단/NNG+하/XSV+ㄴ/ETM
변기훈은	변기훈/NNP+은/JX
이미	이미/MAG
지난	지나/VV+ㄴ/ETM
시즌부터	시즌/NNG+부터/JX
슈팅	슈팅/NNG
실력을	실력/NNG+을/JKO
인정받았고,	인정/NNG+받/XSV+았/EP+고/EC+,/SP
김선형도	김선형/NNP+도/JX
이번	이번/NNG
시즌	시즌/NNG
오세근(25·KGC인삼공사)과	오세근/NNP+(/SS+25/SN+·/SP+KGC인삼공사/NNP+)/SS+과/JC
신인왕을	신인왕/NNG+을/JKO
겨룰	겨루/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
‘될	‘/SS+되/VV+ㄹ/ETM
성	성/NNB
부른	부르/VV+ㄴ/ETM
떡잎’이다.	떡잎/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000036.291.5.2
그러나 권용웅은 팬들에게 잘 알려지지 않은 무명 선수.

그러나	그러나/MAJ
권용웅은	권용웅/NNP+은/JX
팬들에게	팬/NNG+들/XSN+에게/JKB
잘	잘/MAG
알려지지	알려지/VV+지/EC
않은	않/VX+은/ETM
무명	무명/NNG
선수.	선수/NNG+./SF


# id : NWRW1800000036.291.5.3
안양고와 연세대를 졸업하고 지난해 신인 드래프트에서 2라운드 전체 19순위로 에스케이 유니폼을 입었다.

안양고와	안양고/NNP+와/JC
연세대를	연세대/NNP+를/JKO
졸업하고	졸업/NNG+하/XSV+고/EC
지난해	지난해/NNG
신인	신인/NNG
드래프트에서	드래프트/NNG+에서/JKB
2라운드	2/SN+라운드/NNG
전체	전체/NNG
19순위로	19/SN+순위/NNG+로/JKB
에스케이	에스케이/NNP
유니폼을	유니폼/NNG+을/JKO
입었다.	입/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.291.5.4
그러던 권용웅이 지난 19일 삼성과의 경기를 통해 비로소 이름을 알렸다.

그러던	그러/VV+던/ETM
권용웅이	권용웅/NNP+이/JKS
지난	지나/VV+ㄴ/ETM
19일	19/SN+일/NNB
삼성과의	삼성/NNP+과/JKB+의/JKG
경기를	경기/NNG+를/JKO
통해	통하/VV+아/EC
비로소	비로소/MAG
이름을	이름/NNG+을/JKO
알렸다.	알리/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.291.6.1
그는 이날 34분53초 동안 코트를 누비며 팀 내 최다인 20득점에 3튄공잡기 5도움주기 2가로채기로 펄펄 날았다.

그는	그/NP+는/JX
이날	이날/NNG
34분53초	34/SN+분/NNB+53/SN+초/NNB
동안	동안/NNG
코트를	코트/NNG+를/JKO
누비며	누비/VV+며/EC
팀	팀/NNG
내	내/NNB
최다인	최다/NNG+이/VCP+ㄴ/ETM
20득점에	20/SN+득점/NNG+에/JKB
3튄공잡기	3/SN+튀/VV+ㄴ/ETM+공/NNG+잡/VV+기/ETN
5도움주기	5/SN+도움/NNG+주/VV+기/ETN
2가로채기로	2/SN+가로채기/NNG+로/JKB
펄펄	펄펄/MAG
날았다.	날/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.291.7.1
이날 에스케이가 알렉산더 존슨이 빠졌는데도 연장 끝에 91-87로 이길 수 있었던 것은 권용웅의 깜짝 활약 덕분이다.

이날	이날/NNG
에스케이가	에스케이/NNP+가/JKS
알렉산더	알렉산더/NNP
존슨이	존슨/NNP+이/JKS
빠졌는데도	빠지/VV+었/EP+는데/EC+도/JX
연장	연장/NNG
끝에	끝/NNG+에/JKB
91-87로	91/SN+-/SO+87/SN+로/JKB
이길	이기/VV+ㄹ/ETM
수	수/NNB
있었던	있/VA+었/EP+던/ETM
것은	것/NNB+은/JX
권용웅의	권용웅/NNP+의/JKG
깜짝	깜짝/MAG
활약	활약/NNG
덕분이다.	덕분/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.291.7.2
그는 특히 삼성 김승현과의 맞대결에서 전혀 주눅 들지 않았고, 연장에선 김승현을 앞에 두고 과감한 페이드어웨이슛으로 역전골을 성공시키기도 했다.

그는	그/NP+는/JX
특히	특히/MAG
삼성	삼성/NNP
김승현과의	김승현/NNP+과/JKB+의/JKG
맞대결에서	맞대결/NNG+에서/JKB
전혀	전혀/MAG
주눅	주눅/NNG
들지	들/VV+지/EC
않았고,	않/VX+았/EP+고/EC+,/SP
연장에선	연장/NNG+에서/JKB+ㄴ/JX
김승현을	김승현/NNP+을/JKO
앞에	앞/NNG+에/JKB
두고	두/VV+고/EC
과감한	과감하/VA+ㄴ/ETM
페이드어웨이슛으로	페이드어웨이슛/NNG+으로/JKB
역전골을	역전/NNG+골/NNG+을/JKO
성공시키기도	성공/NNG+시키/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.291.8.1
문경은 감독대행은 “2군 감독 때부터 눈여겨본 선수”라며 “가드인데도 포스트업이 좋고 특히 대담한 플레이가 맘에 든다”고 칭찬을 아끼지 않았다.

문경은	문경은/NNP
감독대행은	감독/NNG+대행/NNG+은/JX
“2군	“/SS+2/SN+군/NNG
감독	감독/NNG
때부터	때/NNG+부터/JX
눈여겨본	눈여겨보/VV+ㄴ/ETM
선수”라며	선수/NNG+”/SS+이/VCP+라며/EC
“가드인데도	“/SS+가드/NNG+이/VCP+ㄴ데/EC+도/JX
포스트업이	포스트업/NNG+이/JKS
좋고	좋/VA+고/EC
특히	특히/MAG
대담한	대담/NNG+하/XSA+ㄴ/ETM
플레이가	플레이/NNG+가/JKS
맘에	맘/NNG+에/JKB
든다”고	들/VV+ㄴ다/EF+”/SS+고/JKQ
칭찬을	칭찬/NNG+을/JKO
아끼지	아끼/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


