# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.47
metadata : {}


# id : NWRW1800000024.47.1.1
엘지 휴대전화 ‘1억대 고비’ 넘어설까

엘지	엘지/NNP
휴대전화	휴대/NNG+전화/NNG
‘1억대	‘/SS+1/SN+억/NR+대/XSN
고비’	고비/NNG+’/SS
넘어설까	넘어서/VV+ㄹ까/EF


# id : NWRW1800000024.47.2.1
엘지전자가 휴대전화 ‘1억대 징크스’를 깰 수 있을까.

엘지전자가	엘지전자/NNP+가/JKS
휴대전화	휴대/NNG+전화/NNG
‘1억대	‘/SS+1/SN+억/NR+대/XSN
징크스’를	징크스/NNG+’/SS+를/JKO
깰	깨/VV+ㄹ/ETM
수	수/NNB
있을까.	있/VA+을까/EF+./SF


# id : NWRW1800000024.47.3.1
지난 3일(현지시각) 모토롤라가 지난해 휴대전화를 1억10만대 판매했다는 실적을 발표해, 1억70만대를 팔아치운 엘지전자가 처음으로 휴대전화 세계 3위를 확정지었다.

지난	지나/VV+ㄴ/ETM
3일(현지시각)	3/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
모토롤라가	모토롤라/NNP+가/JKS
지난해	지난해/NNG
휴대전화를	휴대/NNG+전화/NNG+를/JKO
1억10만대	1/SN+억/NR+10/SN+만/NR+대/NNB
판매했다는	판매/NNG+하/XSV+았/EP+다는/ETM
실적을	실적/NNG+을/JKO
발표해,	발표/NNG+하/XSV+아/EC+,/SP
1억70만대를	1/SN+억/NR+70/SN+만/NR+대/NNB+를/JKO
팔아치운	팔/VV+아/EC+치우/VX+ㄴ/ETM
엘지전자가	엘지전자/NNP+가/JKS
처음으로	처음/NNG+으로/JKB
휴대전화	휴대/NNG+전화/NNG
세계	세계/NNG
3위를	3/SN+위/NNB+를/JKO
확정지었다.	확정/NNG+짓/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.47.3.2
2006년 상반기만 해도 영업적자를 기록했던 걸 돌아보면 무서운 기세다.

2006년	2006/SN+년/NNB
상반기만	상반기/NNG+만/JX
해도	하/VV+아도/EC
영업적자를	영업/NNG+적자/NNG+를/JKO
기록했던	기록/NNG+하/XSV+았/EP+던/ETM
걸	거/NNB+ㄹ/JKO
돌아보면	돌아보/VV+면/EC
무서운	무섭/VA+ㄴ/ETM
기세다.	기세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.47.3.3
하지만 1억대가 상징하는 ‘규모의 경제’를 갖추기가 쉽지 않은데다 휴대전화 시장의 역성장까지 예상되는 상황이라 갈 길이 순탄치는 않다.

하지만	하지만/MAJ
1억대가	1/SN+억/NR+대/XSN+가/JKS
상징하는	상징/NNG+하/XSV+는/ETM
‘규모의	‘/SS+규모/NNG+의/JKG
경제’를	경제/NNG+’/SS+를/JKO
갖추기가	갖추/VV+기/ETN+가/JKS
쉽지	쉽/VA+지/EC
않은데다	않/VX+은/ETM+데/NNB+다/JX
휴대전화	휴대/NNG+전화/NNG
시장의	시장/NNG+의/JKG
역성장까지	역성장/NNG+까지/JX
예상되는	예상/NNG+되/XSV+는/ETM
상황이라	상황/NNG+이/VCP+라/EC
갈	가/VV+ㄹ/ETM
길이	길/NNG+이/JKS
순탄치는	순탄하/VA+지/EC+는/JX
않다.	않/VX+다/EF+./SF


# id : NWRW1800000024.47.4.1
1억대의 ‘덫’은 이미 여러 업체의 발목을 잡은 바 있다.

