# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.228
metadata : {}


# id : NWRW1800000045.228.1.1
이정민, 3타차 뒤집고 3승

이정민,	이정민/NNP+,/SP
3타차	3/SN+타/NNG+차/NNG
뒤집고	뒤집/VV+고/EC
3승	3/SN+승/NNB


# id : NWRW1800000045.228.2.1
롯데칸타타 연장서 박성현 눌러… 상금 랭킹-대상포인트 선두로

롯데칸타타	롯데칸타타/NNP
연장서	연장/NNG+서/JKB
박성현	박성현/NNP
눌러…	누르/VV+어/EC+…/SE
상금	상금/NNG
랭킹-대상포인트	랭킹/NNG+-/SO+대상/NNG+포인트/NNG
선두로	선두/NNG+로/JKB


# id : NWRW1800000045.228.3.1
한국여자프로골프(KLPGA)투어에 ‘이정민 시대’가 활짝 열렸다.

한국여자프로골프(KLPGA)투어에	한국/NNP+여자/NNG+프로/NNG+골프/NNG+(/SS+KLPGA/SL+)/SS+투어/NNG+에/JKB
‘이정민	‘/SS+이정민/NNP
시대’가	시대/NNG+’/SS+가/JKS
활짝	활짝/MAG
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.228.4.1
이정민(23·비씨카드·사진)은 7일 제주 서귀포시 롯데스카이힐 제주CC 스카이 오션코스(파72·6134야드)에서 끝난 롯데칸타타여자오픈에서 연장전 끝에 우승하며 올 시즌 가장 먼저 3승 고지에 올랐다.

이정민(23·비씨카드·사진)은	이정민/NNP+(/SS+23/SN+·/SP+비씨카드/NNP+·/SP+사진/NNG+)/SS+은/JX
7일	7/SN+일/NNB
제주	제주/NNP
서귀포시	서귀포시/NNP
롯데스카이힐	롯데스카이힐/NNP
제주CC	제주/NNP+CC/SL
스카이	스카이/NNG
오션코스(파72·6134야드)에서	오션/NNG+코스/NNG+(/SS+파/NNG+72/SN+·/SP+6134/SN+야드/NNB+)/SS+에서/JKB
끝난	끝나/VV+ㄴ/ETM
롯데칸타타여자오픈에서	롯데칸타타/NNP+여자/NNG+오픈/NNG+에서/JKB
연장전	연장전/NNG
끝에	끝/NNG+에/JKB
우승하며	우승/NNG+하/XSV+며/EC
올	올/NNG
