# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.42
metadata : {}


# id : NWRW1800000028.42.1.1
대구 정교사 자격연수 /엉터리 성적 ‘망신살’

대구	대구/NNP
정교사	정교사/NNG
자격연수	자격/NNG+연수/NNG
/엉터리	//SP+엉터리/NNG
성적	성적/NNG
‘망신살’	‘/SS+망신살/NNG+’/SS


# id : NWRW1800000028.42.2.1
대구시교육청 산하 대구시교육연수원이 실시한 자격 연수에 참가한 교사들의 성적이 모두 뒤바뀌는 소동이 빚어졌다.

대구시교육청	대구시교육청/NNP
산하	산하/NNG
대구시교육연수원이	대구시교육연수원/NNP+이/JKS
실시한	실시/NNG+하/XSV+ㄴ/ETM
자격	자격/NNG
연수에	연수/NNG+에/JKB
참가한	참가/NNG+하/XSV+ㄴ/ETM
교사들의	교사/NNG+들/XSN+의/JKG
성적이	성적/NNG+이/JKS
모두	모두/MAG
뒤바뀌는	뒤바뀌/VV+는/ETM
소동이	소동/NNG+이/JKS
빚어졌다.	빚어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.42.3.1
교육연수원은 지난달 29일 ‘동계 초등 1급 정교사 자격연수’에 참가한 교사 160명의 성적이 잘못 입력됐다며 수료식 이튿날 성적을 고쳐 다시 통보했다.

교육연수원은	교육/NNG+연수원/NNG+은/JX
지난달	지난달/NNG
29일	29/SN+일/NNB
‘동계	‘/SS+동계/NNG
초등	초등/NNG
1급	1/SN+급/NNG
정교사	정교사/NNG
자격연수’에	자격/NNG+연수/NNG+’/SS+에/JKB
참가한	참가/NNG+하/XSV+ㄴ/ETM
교사	교사/NNG
160명의	160/SN+명/NNB+의/JKG
성적이	성적/NNG+이/JKS
잘못	잘못/MAG
입력됐다며	입력/NNG+되/XSV+었/EP+다며/EC
수료식	수료식/NNG
이튿날	이튿날/NNG
성적을	성적/NNG+을/JKO
고쳐	고치/VV+어/EC
다시	다시/MAG
통보했다.	통보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.42.3.2
이 연수에 참가한 교사들은 지난달 28일 자격연수 182시간을 마치고 수료식에서 수료장과 함께 개인별 연수 성적을 통보받았다.

이	이/MMD
연수에	연수/NNG+에/JKB
참가한	참가/NNG+하/XSV+ㄴ/ETM
교사들은	교사/NNG+들/XSN+은/JX
지난달	지난달/NNG
28일	28/SN+일/NNB
자격연수	자격/NNG+연수/NNG
182시간을	182/SN+시간/NNB+을/JKO
마치고	마치/VV+고/EC
수료식에서	수료식/NNG+에서/JKB
수료장과	수료장/NNG+과/JKB
함께	함께/MAG
개인별	개인/NNG+별/XSN
연수	연수/NNG
성적을	성적/NNG+을/JKO
통보받았다.	통보/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.42.3.3
이 연수 성적을 상대평가해 우수 교사들은 상장까지 받았으나, 성적이 뒤바뀌면서 상장도 반납하는 소동이 벌어졌다.

이	이/MMD
연수	연수/NNG
성적을	성적/NNG+을/JKO
상대평가해	상대/NNG+평가/NNG+하/XSV+아/EC
우수	우수/NNG
교사들은	교사/NNG+들/XSN+은/JX
상장까지	상장/NNG+까지/JX
받았으나,	받/VV+았/EP+으나/EC+,/SP
성적이	성적/NNG+이/JKS
뒤바뀌면서	뒤바뀌/VV+면서/EC
상장도	상장/NNG+도/JX
반납하는	반납/NNG+하/XSV+는/ETM
소동이	소동/NNG+이/JKS
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.42.4.1
교육연수원 쪽의 해명을 들어보면, 방학 때마다 연수 성적을 산정할 때 자체 종합시스템으로부터 새 프로그램을 생성해 사용하는데, 이번에 프로그램을 생성하는 과정에서 오류가 생겨 점수 변환이 잘못됐다는 것이다.

교육연수원	교육/NNG+연수원/NNG
쪽의	쪽/NNB+의/JKG
해명을	해명/NNG+을/JKO
들어보면,	듣/VV+어/EC+보/VX+면/EC+,/SP
방학	방학/NNG
때마다	때/NNG+마다/JX
연수	연수/NNG
성적을	성적/NNG+을/JKO
산정할	산정/NNG+하/XSV+ㄹ/ETM
때	때/NNG
자체	자체/NNG
종합시스템으로부터	종합/NNG+시스템/NNG+으로부터/JKB
새	새/MMA
프로그램을	프로그램/NNG+을/JKO
생성해	생성/NNG+하/XSV+아/EC
사용하는데,	사용/NNG+하/XSV+는데/EC+,/SP
이번에	이번/NNG+에/JKB
생성하는	생성/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
오류가	오류/NNG+가/JKS
생겨	생기/VV+어/EC
점수	점수/NNG
변환이	변환/NNG+이/JKS
잘못됐다는	잘못/MAG+되/XSV+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.42.4.2
이런 문제점은 수료식 뒤 최종 정리를 하면서 발견해 곧바로 바로잡았다는 것이 연수원 쪽의 설명이다.

이런	이런/MMD
문제점은	문제점/NNG+은/JX
수료식	수료식/NNG
뒤	뒤/NNG
최종	최종/NNG
정리를	정리/NNG+를/JKO
하면서	하/VV+면서/EC
발견해	발견/NNG+하/XSV+아/EC
곧바로	곧바로/MAG
바로잡았다는	바로잡/VV+았/EP+다는/ETM
것이	것/NNB+이/JKS
연수원	연수원/NNG
쪽의	쪽/NNB+의/JKG
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.42.5.1
연수에 참가한 ㄱ교사는 “수료식 때 공식적으로 통보받은 성적이 완전히 잘못됐다고 하니, 새로 통보받은 성적은 정확하게 산정이 됐는지 의문이 든다”며 “연수 성적이 앞으로 승진심사 때도 반영되기 때문에 기존 점수와 비교해서 어떤 과정을 거쳐 새 점수가 나왔는지 평가 항목별로 공개를 해야 한다”고 주장했다.

연수에	연수/NNG+에/JKB
참가한	참가/NNG+하/XSV+ㄴ/ETM
ㄱ교사는	ㄱ/NNG+교사/NNG+는/JX
“수료식	“/SS+수료식/NNG
때	때/NNG
공식적으로	공식/NNG+적/XSN+으로/JKB
통보받은	통보/NNG+받/XSV+은/ETM
성적이	성적/NNG+이/JKS
완전히	완전히/MAG
잘못됐다고	잘못/MAG+되/XSV+었/EP+다고/EC
하니,	하/VV+니/EC+,/SP
새로	새로/MAG
성적은	성적/NNG+은/JX
정확하게	정확/NNG+하/XSA+게/EC
산정이	산정/NNG+이/JKS
됐는지	되/VV+었/EP+는지/EC
의문이	의문/NNG+이/JKS
든다”며	들/VV+ㄴ다/EF+”/SS+며/EC
“연수	“/SS+연수/NNG
앞으로	앞/NNG+으로/JKB
승진심사	승진/NNG+심사/NNG
때도	때/NNG+도/JX
반영되기	반영/NNG+되/XSV+기/ETN
때문에	때문/NNB+에/JKB
기존	기존/NNG
점수와	점수/NNG+와/JKB
비교해서	비교/NNG+하/XSV+아서/EC
어떤	어떤/MMD
과정을	과정/NNG+을/JKO
거쳐	거치/VV+어/EC
새	새/MMA
점수가	점수/NNG+가/JKS
나왔는지	나오/VV+았/EP+는지/EC
평가	평가/NNG
