# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.272
metadata : {}


# id : NWRW1800000038.272.1.1
마지막날 뒤집기… 장하나, 2014시즌 첫 승

마지막날	마지막/NNG+날/NNG
뒤집기…	뒤집기/NNG+…/SE
장하나,	장하나/NNP+,/SP
2014시즌	2014/SN+시즌/NNG
첫	첫/MMN
승	승/NNG


# id : NWRW1800000038.272.2.1
KLPGA 현대차오픈 우승 "2013시즌 3승·3관왕 넘어… 올시즌엔 4승·4관왕 도전"

KLPGA	KLPGA/SL
현대차오픈	현대차/NNP+오픈/NNG
우승	우승/NNG
"2013시즌	"/SS+2013/SN+시즌/NNG
3승·3관왕	3/SN+승/NNB+·/SP+3관왕/NNG
넘어…	넘/VV+어/EF+…/SE
올시즌엔	올/NNG+시즌/NNG+에/JKB+ㄴ/JX
4승·4관왕	4/SN+승/NNB+·/SP+4관왕/NNG
도전"	도전/NNG+"/SS


# id : NWRW1800000038.272.3.1
한국여자프로골프(KLPGA) 투어의 2013년은 '장하나의 해'가 됐다.

한국여자프로골프(KLPGA)	한국/NNP+여자/NNG+프로/NNG+골프/NNG+(/SS+KLPGA/SL+)/SS
투어의	투어/NNG+의/JKG
2013년은	2013/SN+년/NNB+은/JX
'장하나의	'/SS+장하나/NNP+의/JKG
해'가	해/NNG+'/SS+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.272.3.2
2013시즌 상금왕, 대상, 공동 다승왕을 차지하며 '여왕'으로 등극한 장하나(21·사진)가 올해 마지막으로 열린 대회 우승까지 휩쓸었다.

2013시즌	2013/SN+시즌/NNG
상금왕,	상금왕/NNG+,/SP
대상,	대상/NNG+,/SP
공동	공동/NNG
다승왕을	다승왕/NNG+을/JKO
차지하며	차지/NNG+하/XSV+며/EC
'여왕'으로	'/SS+여왕/NNG+'/SS+으로/JKB
등극한	등극/NNG+하/XSV+ㄴ/ETM
장하나(21·사진)가	장하나/NNP+(/SS+21/SN+·/SP+사진/NNG+)/SS+가/JKS
올해	올해/NNG
마지막으로	마지막/NNG+으로/JKB
열린	열리/VV+ㄴ/ETM
대회	대회/NNG
우승까지	우승/NNG+까지/JX
휩쓸었다.	휩쓸/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.272.4.1
15일 중국 광저우의 사자호골프장(파72·6277야드)에서 끝난 현대차 중국여자오픈(총상금 40만달러) 3라운드에서 장하나는 버디 3개, 보기 2개, 더블보기 1개로 1타를 잃어 최종 합계 3언더파 213타를 기록했다.

15일	15/SN+일/NNB
중국	중국/NNP
광저우의	광저우/NNP+의/JKG
사자호골프장(파72·6277야드)에서	사자호골프장/NNP+(/SS+파/NNG+72/SN+·/SP+6277/SN+야드/NNB+)/SS+에서/JKB
