# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.20
metadata : {}


# id : NWRW1800000033.20.1.1
영업익 4482억 ‘깜짝’… LG전자 ‘부활의 노래’

영업익	영업익/NNG
4482억	4482/SN+억/NR
‘깜짝’…	‘/SS+깜짝/MAG+’/SS+…/SE
LG전자	LG전자/NNP
‘부활의	‘/SS+부활/NNG+의/JKG
노래’	노래/NNG+’/SS


# id : NWRW1800000033.20.2.1
스마트TV 앞세운 HE부문서 매출 절반… 효자 역할

스마트TV	스마트/NNG+TV/SL
앞세운	앞세우/VV+ㄴ/ETM
HE부문서	HE/SL+부문/NNG+서/JKB
매출	매출/NNG
절반…	절반/NNG+…/SE
효자	효자/NNG
역할	역할/NNG


# id : NWRW1800000033.20.3.1
모바일부문도 스마트폰 판매 호조… 2분기 연속흑자

모바일부문도	모바일/NNG+부문/NNG+도/JX
스마트폰	스마트폰/NNG
판매	판매/NNG
호조…	호조/NNG+…/SE
2분기	2/SN+분기/NNG
연속흑자	연속/NNG+흑자/NNG


# id : NWRW1800000033.20.4.1
LG전자가 TV와 생활가전의 선전(善戰)으로 1분기(1∼3월) ‘깜짝 실적’을 발표했다.

LG전자가	LG전자/NNP+가/JKS
TV와	TV/SL+와/JC
생활가전의	생활/NNG+가전/NNG+의/JKG
선전(善戰)으로	선전/NNG+(/SS+善戰/SH+)/SS+으로/JKB
1분기(1∼3월)	1/SN+분기/NNG+(/SS+1/SN+∼/SO+3/SN+월/NNB+)/SS
‘깜짝	‘/SS+깜짝/MAG
실적’을	실적/NNG+’/SS+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.20.5.1
LG전자는 1분기 매출액은 12조2279억 원, 영업이익은 4482억 원을 나타냈다고 25일 밝혔다.

LG전자는	LG전자/NNP+는/JX
1분기	1/SN+분기/NNG
매출액은	매출액/NNG+은/JX
12조2279억	12/SN+조/NR+2279/SN+억/NR
원,	원/NNB+,/SP
영업이익은	영업/NNG+이익/NNG+은/JX
4482억	4482/SN+억/NR
원을	원/NNB+을/JKO
나타냈다고	나타내/VV+었/EP+다고/EC
25일	25/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.20.5.2
매출은 지난해 같은 기간보다 7% 줄었지만 영업이익은 243% 증가했다.

매출은	매출/NNG+은/JX
지난해	지난해/NNG
같은	같/VA+은/ETM
기간보다	기간/NNG+보다/JKB
7%	7/SN+%/SW
줄었지만	줄/VV+었/EP+지만/EC
영업이익은	영업/NNG+이익/NNG+은/JX
243%	243/SN+%/SW
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.20.5.3
지난해 4분기(10∼12월)와 비교해도 매출은 11.4% 감소했지만 영업이익은 1843% 늘었다.

지난해	지난해/NNG
4분기(10∼12월)와	4/SN+분기/NNG+(/SS+10/SN+∼/SO+12/SN+월/NNB+)/SS+와/JKB
비교해도	비교/NNG+하/XSV+아도/EC
매출은	매출/NNG+은/JX
11.4%	11/SN+./SP+4/SN+%/SW
감소했지만	감소/NNG+하/XSV+았/EP+지만/EC
영업이익은	영업/NNG+이익/NNG+은/JX
