# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.330
metadata : {}


# id : NWRW1800000041.330.1.1
徐는 박정희生家, 金은 현충원으로

徐는	徐/SH+는/JX
박정희生家,	박정희/NNP+生家/SH+,/SP
金은	金/SH+은/JX
현충원으로	현충원/NNP+으로/JKB


# id : NWRW1800000041.330.2.1
새누리 全大 후보등록 공식 레이스… 서청원-김무성이 찾은 곳은 徐 “박근혜대통령과 의리 지킬 것”… 金 “보수혁신으로 정치적폐 청산”

새누리	새누리/NNP
全大	全大/SH
후보등록	후보/NNG+등록/NNG
공식	공식/NNG
레이스…	레이스/NNG+…/SE
서청원-김무성이	서청원/NNP+-/SO+김무성/NNP+이/JKS
찾은	찾/VV+은/ETM
곳은	곳/NNG+은/JX
徐	徐/SH
“박근혜대통령과	“/SS+박근혜/NNP+대통령/NNG+과/JKB
의리	의리/NNG
지킬	지키/VV+ㄹ/ETM
것”…	것/NNB+”/SS+…/SE
金	金/SH
“보수혁신으로	“/SS+보수/NNG+혁신/NNG+으로/JKB
정치적폐	정치/NNG+적폐/NNG
청산”	청산/NNG+”/SS


# id : NWRW1800000041.330.3.1
새누리당의 7·14전당대회에 나선 당권 주자들이 3일 후보 등록과 함께 열전 레이스에 돌입했다.

새누리당의	새누리당/NNP+의/JKG
7·14전당대회에	7/SN+·/SP+14/SN+전당/NNG+대회/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
당권	당권/NNG
주자들이	주자/NNG+들/XSN+이/JKS
3일	3/SN+일/NNB
후보	후보/NNG
등록과	등록/NNG+과/JKB
함께	함께/MAG
열전	열전/NNG
레이스에	레이스/NNG+에/JKB
돌입했다.	돌입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.330.3.2
최고위원 5명(여성 1명 포함)을 뽑는 이번 전당대회엔 양강 구도를 이루는 기호 8번 서청원 의원과 기호 2번 김무성 의원을 비롯해 이인제 홍문종 김을동 김태호 김영우 김상민 의원, 박창달 전 의원 등 9명이 출사표를 냈다.

최고위원	최고/NNG+위원/NNG
5명(여성	5/SN+명/NNB+(/SS+여성/NNG
1명	1/SN+명/NNB
포함)을	포함/NNG+)/SS+을/JKO
뽑는	뽑/VV+는/ETM
이번	이번/NNG
전당대회엔	전당/NNG+대회/NNG+에/JKB+ㄴ/JX
양강	양/MMN+강/NNB
구도를	구도/NNG+를/JKO
