# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.58
metadata : {}


# id : NWRW1800000024.58.1.1
중앙은행 ‘금융 거시감독권’ 되찾을까

중앙은행	중앙은행/NNG
‘금융	‘/SS+금융/NNG
거시감독권’	거시/NNG+감독/NNG+권/XSN+’/SS
되찾을까	되찾/VV+을까/EF


# id : NWRW1800000024.58.2.1
경기침체가 가속화하면서 한은법 개정 논의가 급물살을 타고 있다.

경기침체가	경기/NNG+침체/NNG+가/JKS
가속화하면서	가속/NNG+화/XSN+하/XSV+면서/EC
한은법	한은법/NNG
개정	개정/NNG
논의가	논의/NNG+가/JKS
급물살을	급물살/NNG+을/JKO
타고	타/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.58.2.2
중앙은행의 역할과 기능을 강화해 적극적으로 위기에 대처할 수 있도록 하자는 것이다.

중앙은행의	중앙은행/NNG+의/JKG
역할과	역할/NNG+과/JC
기능을	기능/NNG+을/JKO
강화해	강화/NNG+하/XSV+아/EC
적극적으로	적극/NNG+적/XSN+으로/JKB
위기에	위기/NNG+에/JKB
대처할	대처/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하자는	하/VX+자는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.58.3.1
■ 한은법 개정 논의 급물살 민주당 의원들은 지난해 말부터 여러 차례 한은법 개정을 요구해 왔다.

■	■/SW
한은법	한은법/NNG
개정	개정/NNG
논의	논의/NNG
급물살	급물살/NNG
민주당	민주당/NNP
의원들은	의원/NNG+들/XSN+은/JX
지난해	지난해/NNG
말부터	말/NNB+부터/JX
여러	여러/MMN
차례	차례/NNG
개정을	개정/NNG+을/JKO
요구해	요구/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.58.3.2
민주당 쪽 개정안만 6개에 이른다.

민주당	민주당/NNP
쪽	쪽/NNB
개정안만	개정안/NNG+만/JX
6개에	6/SN+개/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.58.3.3
한은법 개정은 한나라당의 소극적 태도로 진전을 보지 못하다가 한나라당 소속 김성식 의원 대표 발의의 개정안이 지난 11일 국회에 제출돼 개정 논의가 본격화하고 있다.

한은법	한은법/NNG
개정은	개정/NNG+은/JX
한나라당의	한나라당/NNP+의/JKG
소극적	소극/NNG+적/XSN
태도로	태도/NNG+로/JKB
진전을	진전/NNG+을/JKO
보지	보/VV+지/EC
못하다가	못하/VX+다가/EC
한나라당	한나라당/NNP
소속	소속/NNG
김성식	김성식/NNP
의원	의원/NNG
대표	대표/NNG
발의의	발의/NNG+의/JKG
개정안이	개정안/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
11일	11/SN+일/NNB
국회에	국회/NNG+에/JKB
제출돼	제출/NNG+되/XSV+어/EC
개정	개정/NNG
논의가	논의/NNG+가/JKS
본격화하고	본격/NNG+화/XSN+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.58.4.1
한은법 개정 요구가 나온 것은, 기존의 금융감독체계가 금융위기를 막는 데 별다른 역할을 하지 못했고, 위기 해결을 위해 중앙은행의 구실이 절대적으로 중요하다는 판단 때문이다.

한은법	한은법/NNG
개정	개정/NNG
요구가	요구/NNG+가/JKS
나온	나오/VV+ㄴ/ETM
것은,	것/NNB+은/JX+,/SP
기존의	기존/NNG+의/JKG
금융감독체계가	금융/NNG+감독/NNG+체계/NNG+가/JKS
금융위기를	금융/NNG+위기/NNG+를/JKO
막는	막/VV+는/ETM
데	데/NNB
별다른	별다르/VA+ㄴ/ETM
역할을	역할/NNG+을/JKO
