# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.200
metadata : {}


# id : NWRW1800000040.200.1.1
김종훈 미래장관 후보 ‘이중국적’ 상태

김종훈	김종훈/NNP
미래장관	미래/NNG+장관/NNG
후보	후보/NNG
‘이중국적’	‘/SS+이중/NNG+국적/NNG+’/SS
상태	상태/NNG


# id : NWRW1800000040.200.2.1
지명 사흘전에야 한국국적 회복

지명	지명/NNG
사흘전에야	사흘/NNG+전/NNG+에/JKB+야/JX
한국국적	한국/NNP+국적/NNG
회복	회복/NNG


# id : NWRW1800000040.200.3.1
미국 국적 아직 정리안돼

미국	미국/NNP
국적	국적/NNG
아직	아직/MAG
정리안돼	정리/NNG+안/MAG+되/XSV+어/EF


# id : NWRW1800000040.200.4.1
가족들은 국적회복 미신청

가족들은	가족/NNG+들/XSN+은/JX
국적회복	국적/NNG+회복/NNG
미신청	미/XPN+신청/NNG


# id : NWRW1800000040.200.5.1
15살 때 미국에 이민 간 뒤 미군 장교로 복무하는 등 미국인으로 살아온 김종훈(53) 알카텔-루슨트 벨연구소 사장이 미래창조과학부 장관 후보자로 지명돼 논란이 일고 있다.

15살	15/SN+살/NNB
때	때/NNG
미국에	미국/NNP+에/JKB
이민	이민/NNG
간	가/VV+ㄴ/ETM
뒤	뒤/NNG
미군	미군/NNG
장교로	장교/NNG+로/JKB
복무하는	복무/NNG+하/XSV+는/ETM
등	등/NNB
미국인으로	미국인/NNG+으로/JKB
살아온	살아오/VV+ㄴ/ETM
김종훈(53)	김종훈/NNP+(/SS+53/SN+)/SS
알카텔-루슨트	알카텔/NNP+-/SO+루슨트/NNP
벨연구소	벨연구소/NNP
사장이	사장/NNG+이/JKS
미래창조과학부	미래/NNG+창조/NNG+과학부/NNG
장관	장관/NNG
후보자로	후보자/NNG+로/JKB
지명돼	지명/NNG+되/XSV+어/EC
논란이	논란/NNG+이/JKS
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.200.5.2
김 후보자는 장관 후보자로 지명되기 불과 사흘 전 급히 한국 국적을 회복했으며, 현재 이중국적 상태인 것으로 확인됐다.

김	김/NNP
후보자는	후보자/NNG+는/JX
장관	장관/NNG
후보자로	후보자/NNG+로/JKB
지명되기	지명/NNG+되/XSV+기/ETN
불과	불과/MAG
사흘	사흘/NNG
전	전/NNG
급히	급히/MAG
한국	한국/NNP
국적을	국적/NNG+을/JKO
회복했으며,	회복/NNG+하/XSV+았/EP+으며/EC+,/SP
현재	현재/MAG
이중국적	이중/NNG+국적/NNG
상태인	상태/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.200.5.3
김 후보자 가족은 국적 회복 신청을 하지 않았다.

김	김/NNP
후보자	후보자/NNG
가족은	가족/NNG+은/JX
국적	국적/NNG
회복	회복/NNG
신청을	신청/NNG+을/JKO
하지	하/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.200.6.1
법무부 국적난민과 관계자는 17일 <한겨레>와의 통화에서 “김 후보자가 설 연휴 직전인 8일 국적 회복을 신청했고 14일 허가가 났다.

법무부	법무부/NNG
국적난민과	국적/NNG+난민과/NNG
관계자는	관계자/NNG+는/JX
17일	17/SN+일/NNB
<한겨레>와의	</SS+한겨레/NNP+>/SS+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“김	“/SS+김/NNP
후보자가	후보자/NNG+가/JKS
설	설/NNG
연휴	연휴/NNG
직전인	직전/NNG+이/VCP+ㄴ/ETM
8일	8/SN+일/NNB
국적	국적/NNG
회복을	회복/NNG+을/JKO
신청했고	신청/NNG+하/XSV+았/EP+고/EC
14일	14/SN+일/NNB
허가가	허가/NNG+가/JKS
났다.	나/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.200.6.2
이번주 중으로 관보에 고시될 것”이라고 밝혔다.

이번주	이번/NNG+주/NNG
중으로	중/NNB+으로/JKB
관보에	관보/NNG+에/JKB
고시될	고시/NNG+되/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.200.6.3
허가 절차는 통상 3개월 정도 걸리는데, 김 후보자의 경우 설 연휴를 제외하면 신청과 허가 당일을 포함해도 나흘 만에 절차가 마무리됐다.

허가	허가/NNG
절차는	절차/NNG+는/JX
통상	통상/MAG
3개월	3/SN+개월/NNB
정도	정도/NNG
걸리는데,	걸리/VV+는데/EC+,/SP
김	김/NNP
후보자의	후보자/NNG+의/JKG
경우	경우/NNG
설	설/NNG
연휴를	연휴/NNG+를/JKO
제외하면	제외/NNG+하/XSV+면/EC
신청과	신청/NNG+과/JC
당일을	당일/NNG+을/JKO
포함해도	포함/NNG+하/XSV+아도/EC
나흘	나흘/NNG
만에	만/NNB+에/JKB
절차가	절차/NNG+가/JKS
마무리됐다.	마무리/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.200.6.4
이 관계자는 “현행법상 김 후보자는 1년 안에 미국 국적을 포기해야 한다.

이	이/MMD
관계자는	관계자/NNG+는/JX
“현행법상	“/SS+현행법/NNG+상/XSN
김	김/NNP
후보자는	후보자/NNG+는/JX
1년	1/SN+년/NNB
안에	안/NNG+에/JKB
미국	미국/NNP
국적을	국적/NNG+을/JKO
포기해야	포기/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000040.200.6.5
김 후보자의 가족은 국적 회복 신청을 하지 않았다”고 말했다.

김	김/NNP
후보자의	후보자/NNG+의/JKG
가족은	가족/NNG+은/JX
국적	국적/NNG
회복	회복/NNG
신청을	신청/NNG+을/JKO
하지	하/VV+지/EC
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.200.7.1
현행법은 외국 국적 소유자도 공무원이 될 수 있도록 허용하고 있지만, 최근까지도 외국인이었던 사람이 국정 전반을 논의하고 주요 정책을 결정하는 국무위원이 되는 게 적절한지 논란거리다.

현행법은	현행법/NNG+은/JX
외국	외국/NNG
국적	국적/NNG
소유자도	소유자/NNG+도/JX
공무원이	공무원/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
허용하고	허용/NNG+하/XSV+고/EC
있지만,	있/VX+지만/EC+,/SP
