# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.338
metadata : {}


# id : NWRW1800000038.338.1.1
82세 中시민 "北에 돈 얼마 주는지 우리도 알 권리 있어" 정보공개 신청

82세	82/SN+세/NNB
中시민	中/SH+시민/NNG
"北에	"/SS+北/SH+에/JKB
돈	돈/NNG
얼마	얼마/NNG
주는지	주/VV+는지/EF
우리도	우리/NP+도/JX
알	알/VV+ㄹ/ETM
권리	권리/NNG
있어"	있/VA+어/EF+"/SS
정보공개	정보/NNG+공개/NNG
신청	신청/NNG


# id : NWRW1800000038.338.2.1
본지 전화 인터뷰, "원조하니 로켓 쏘고 핵실험 北에 준 물자와 자금 밝혀라"

본지	본지/NNG
전화	전화/NNG
인터뷰,	인터뷰/NNG+,/SP
"원조하니	"/SS+원조/NNG+하/XSV+니/EC
로켓	로켓/NNG
쏘고	쏘/VV+고/EC
핵실험	핵/NNG+실험/NNG
北에	北/SH+에/JKB
준	주/VV+ㄴ/ETM
물자와	물자/NNG+와/JC
자금	자금/NNG
밝혀라"	밝히/VV+어라/EF+"/SS


# id : NWRW1800000038.338.3.1
북한이 장거리 로켓을 발사한 다음 날인 작년 12월 13일, 중국 베이징에 거주하는 80대 여성이 중국 재정부와 국무원에 '2011~2012년 중국 정부가 북한에 원조한 물자, 자금과 총액을 알려달라'고 정보공개 요청을 했다.

북한이	북한/NNP+이/JKS
장거리	장거리/NNG
로켓을	로켓/NNG+을/JKO
발사한	발사/NNG+하/XSV+ㄴ/ETM
다음	다음/NNG
날인	날/NNG+이/VCP+ㄴ/ETM
작년	작년/NNG
12월	12/SN+월/NNB
13일,	13/SN+일/NNB+,/SP
중국	중국/NNP
베이징에	베이징/NNP+에/JKB
거주하는	거주/NNG+하/XSV+는/ETM
80대	80/SN+대/NNB
여성이	여성/NNG+이/JKS
재정부와	재정부/NNG+와/JC
국무원에	국무원/NNG+에/JKB
'2011~2012년	'/SS+2011/SN+~/SO+2012/SN+년/NNB
정부가	정부/NNG+가/JKS
북한에	북한/NNP+에/JKB
원조한	원조/NNG+하/XSV+ㄴ/ETM
물자,	물자/NNG+,/SP
자금과	자금/NNG+과/JC
총액을	총액/NNG+을/JKO
알려달라'고	알리/VV+어/EC+달/VX+라/EF+'/SS+고/JKQ
정보공개	정보/NNG+공개/NNG
요청을	요청/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.338.3.2
중국에선 보기 드문 일이라고 한다.

중국에선	중국/NNP+에서/JKB+ㄴ/JX
보기	보/VV+기/ETN
드문	드물/VA+ㄴ/ETM
일이라고	일/NNG+이/VCP+라고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.338.3.3
그 주인공은 왕슈잉(王秀英·82)씨다.

그	그/MMD
주인공은	주인공/NNG+은/JX
왕슈잉(王秀英·82)씨다.	왕슈잉/NNP+(/SS+王秀英/SH+·/SP+82/SN+)/SS+씨/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.338.4.1
21일 청력이 좋지 않은 어머니를 대신해 본지 인터뷰에 응한 딸 왕펑셴(王鳳仙·53)씨는 "최저 생계 선에서 허덕이는 중국인이 너무나 많은데, 정부가 북한을 도와서 김정은 일가를 잘살게 해주는 것이 이해가 안 간다"며 "모든 중국인은 정부가 도대체 북한에 얼마나 원조를 하고 있는지 알 권리가 있다"고 했다.

21일	21/SN+일/NNB
