# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.99
metadata : {}


# id : NWRW1800000025.99.1.1
‘秋 방망이’ 시즌 첫 홈런포

‘秋	‘/SS+秋/SH
방망이’	방망이/NNG+’/SS
시즌	시즌/NNG
첫	첫/MMN
홈런포	홈런포/NNG


# id : NWRW1800000025.99.2.1
3경기 연속 무안타로 침묵하던 추신수(28·클리블랜드)가 시즌 첫 홈런포를 가동했다.

3경기	3/SN+경기/NNG
연속	연속/NNG
무안타로	무/XPN+안타/NNG+로/JKB
침묵하던	침묵/NNG+하/XSV+던/ETM
추신수(28·클리블랜드)가	추신수/NNP+(/SS+28/SN+·/SP+클리블랜드/NNP+)/SS+가/JKS
시즌	시즌/NNG
첫	첫/MMN
홈런포를	홈런포/NNG+를/JKO
가동했다.	가동/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.99.2.2
추신수는 12일 열린 미국 프로야구 디트로이트와의 방문경기에 3번 우익수로 출전해 7회 솔로 홈런으로 시즌 첫 홈런과 타점을 기록했다.

추신수는	추신수/NNP+는/JX
12일	12/SN+일/NNB
열린	열리/VV+ㄴ/ETM
미국	미국/NNP
프로야구	프로/NNG+야구/NNG
디트로이트와의	디트로이트/NNP+와/JKB+의/JKG
방문경기에	방문/NNG+경기/NNG+에/JKB
3번	3/SN+번/NNB
우익수로	우익수/NNG+로/JKB
출전해	출전/NNG+하/XSV+아/EC
7회	7/SN+회/NNB
솔로	솔로/NNG
홈런으로	홈런/NNG+으로/JKB
시즌	시즌/NNG
첫	첫/MMN
홈런과	홈런/NNG+과/JC
타점을	타점/NNG+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.99.3.1
추신수는 네 번째 타석인 7회초 1사 주자 없는 상황에서 상대 투수 에디 보나인의 시속 129km 바깥쪽 낮은 체인지업을 밀어 쳐 왼쪽 담장을 넘겼다.

추신수는	추신수/NNP+는/JX
네	네/MMN
번째	번/NNB+째/XSN
타석인	타석/NNG+이/VCP+ㄴ/ETM
7회초	7/SN+회/NNB+초/NNB
1사	1/SN+사/NNG
주자	주자/NNG
없는	없/VA+는/ETM
상황에서	상황/NNG+에서/JKB
상대	상대/NNG
투수	투수/NNG
에디	에디/NNP
보나인의	보나인/NNP+의/JKG
시속	시속/NNG
129km	129/SN+km/SW
바깥쪽	바깥쪽/NNG
낮은	낮/VA+은/ETM
체인지업을	체인지업/NNG+을/JKO
밀어	밀/VV+어/EC
쳐	치/VV+어/EC
왼쪽	왼쪽/NNG
담장을	담장/NNG+을/JKO
넘겼다.	넘기/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.99.3.2
개막 후 6경기 만에 나온 홈런이자 8일 시카고 화이트삭스전 이후 4경기만의 안타.

개막	개막/NNG
후	후/NNG
6경기	6/SN+경기/NNG
만에	만/NNB+에/JKB
나온	나오/VV+ㄴ/ETM
홈런이자	홈런/NNG+이/VCP+자/EC
8일	8/SN+일/NNB
시카고	시카고/NNP
화이트삭스전	화이트삭스전/NNG
이후	이후/NNG
4경기만의	4/SN+경기/NNG+만/JX+의/JKG
안타.	안타/NNG+./SF


# id : NWRW1800000025.99.3.3
추신수는 풀타임 메이저리거 첫해였던 지난해에는 4경기 만에 첫 홈런을 신고한 뒤 20개의 홈런을 날렸다.

추신수는	추신수/NNP+는/JX
풀타임	풀타임/NNG
메이저리거	메이저리거/NNG
첫해였던	첫해/NNG+이/VCP+었/EP+던/ETM
지난해에는	지난해/NNG+에/JKB+는/JX
4경기	4/SN+경기/NNG
만에	만/NNB+에/JKB
첫	첫/MMN
홈런을	홈런/NNG+을/JKO
신고한	신고/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
20개의	20/SN+개/NNB+의/JKG
날렸다.	날리/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.99.3.4
1회 볼넷으로 출루한 뒤 루이스 발부에나의 만루 홈런으로 홈을 밟은 추신수는 3타수 1안타, 1타점, 2득점을 기록했다.

1회	1/SN+회/NNB
볼넷으로	볼넷/NNG+으로/JKB
출루한	출루/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
루이스	루이스/NNP
발부에나의	발부에나/NNP+의/JKG
만루	만루/NNG
홈런으로	홈런/NNG+으로/JKB
홈을	홈/NNG+을/JKO
밟은	밟/VV+은/ETM
추신수는	추신수/NNP+는/JX
3타수	3/SN+타수/NNG
1안타,	1/SN+안타/NNG+,/SP
1타점,	1/SN+타점/NNG+,/SP
2득점을	2/SN+득점/NNG+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.99.3.5
타율은 0.111에서 0.143(21타수 3안타)으로 조금 올랐다.

타율은	타율/NNG+은/JX
0.111에서	0/SN+./SP+111/SN+에서/JKB
0.143(21타수	0/SN+./SP+143/SN+(/SS+21/SN+타수/NNG
3안타)으로	3/SN+안타/NNG+)/SS+으로/JKB
조금	조금/MAG
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.99.4.1
경기 후 클리블랜드 매니 액타 감독은 “추신수의 삼진 비율을 걱정하기에는 아직 경기 수가 너무 적다.

경기	경기/NNG
후	후/NNG
클리블랜드	클리블랜드/NNP
매니	매니/NNP
액타	액타/NNP
감독은	감독/NNG+은/JX
“추신수의	“/SS+추신수/NNP+의/JKG
삼진	삼진/NNG
