# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.390
metadata : {}


# id : NWRW1800000053.390.1.1
“김정은, 참수작전 두려워 측근車로 새벽 이동”

“김정은,	“/SS+김정은/NNP+,/SP
참수작전	참수/NNG+작전/NNG
두려워	두렵/VA+어/EC
측근車로	측근/NNG+車/SH+로/JKB
새벽	새벽/NNG
이동”	이동/NNG+”/SS


# id : NWRW1800000053.390.2.1
日 언론 “金 외부일정 올해 30% 줄어… 군사업적 관련 일정은 10%P 늘어”

日	日/SH
언론	언론/NNG
“金	“/SS+金/SH
외부일정	외부/NNG+일정/NNG
올해	올해/NNG
30%	30/SN+%/SW
줄어…	줄/VV+어/EF+…/SE
군사업적	군사/NNG+업적/NNG
관련	관련/NNG
일정은	일정/NNG+은/JX
10%P	10/SN+%P/SW
늘어”	늘/VV+어/EF+”/SS


# id : NWRW1800000053.390.3.1
김정은 북한 노동당 위원장이 올해 외부 일정을 예년에 비해 30%가량 줄였다고 니혼게이자이신문이 북한 전문 매체인 라디오프레스(RP)를 인용해 28일 보도했다.

김정은	김정은/NNP
북한	북한/NNP
노동당	노동당/NNP
위원장이	위원장/NNG+이/JKS
올해	올해/NNG
외부	외부/NNG
일정을	일정/NNG+을/JKO
예년에	예년/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
30%가량	30/SN+%/SW+가량/XSN
줄였다고	줄이/VV+었/EP+다고/EC
니혼게이자이신문이	니혼게이자이신문/NNP+이/JKS
전문	전문/NNG
매체인	매체/NNG+이/VCP+ㄴ/ETM
라디오프레스(RP)를	라디오프레스/NNP+(/SS+RP/SL+)/SS+를/JKO
인용해	인용/NNG+하/XSV+아/EC
28일	28/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.390.3.2
한미 연합 ‘북한 수뇌부 참수작전’에 신경을 쓰느라 외부 일정을 줄이고 새벽에 측근 차를 타고 이동한다고 한다.

한미	한미/NNP
연합	연합/NNG
‘북한	‘/SS+북한/NNP
수뇌부	수뇌부/NNG
참수작전’에	참수/NNG+작전/NNG+’/SS+에/JKB
신경을	신경/NNG+을/JKO
쓰느라	쓰/VV+느라/EC
외부	외부/NNG
일정을	일정/NNG+을/JKO
줄이고	줄이/VV+고/EC
새벽에	새벽/NNG+에/JKB
측근	측근/NNG
차를	차/NNG+를/JKO
타고	타/VV+고/EC
이동한다고	이동/NNG+하/XSV+ㄴ다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.390.4.1
신문에 따르면 북한 미디어의 김 위원장 동정 보도 건수는 27일까지 102건으로 2016년(141건), 2015년(155건)에 비해 30%가량 줄었다.

신문에	신문/NNG+에/JKB
따르면	따르/VV+면/EC
북한	북한/NNP
미디어의	미디어/NNG+의/JKG
김	김/NNP
위원장	위원장/NNG
동정	동정/NNG
보도	보도/NNG
건수는	건수/NNG+는/JX
27일까지	27/SN+일/NNB+까지/JX
102건으로	102/SN+건/NNB+으로/JKB
