# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.80
metadata : {}


# id : NWRW1800000041.80.1.1
[뛰자! 한국기업]금호석유화학, ‘S-SBR’ 핵심제품 육성… 세계 일등 20개 만들기

[뛰자!	[/SS+뛰/VV+자/EF+!/SF
한국기업]금호석유화학,	한국/NNP+기업/NNG+]/SS+금호석유화학/NNP+,/SP
‘S-SBR’	‘/SS+S/SL+-/SO+SBR/SL+’/SS
핵심제품	핵심/NNG+제품/NNG
육성…	육성/NNG+…/SE
세계	세계/NNG
일등	일등/NNG
20개	20/SN+개/NNB
만들기	만들/VV+기/ETN


# id : NWRW1800000041.80.2.1
1970년 설립된 금호석유화학은 국내 최초로 합성고무 생산을 시작해 현재 세계 1위의 합성고무 생산능력을 보유하고 있는 글로벌 석유화학 기업으로 합성고무 합성수지 정밀화학 전자소재 에너지발전 건자재 탄소나노튜브 등 미래소재를 주요 사업으로 하고 있다.

1970년	1970/SN+년/NNB
설립된	설립/NNG+되/XSV+ㄴ/ETM
금호석유화학은	금호석유화학/NNP+은/JX
국내	국내/NNG
최초로	최초/NNG+로/JKB
합성고무	합성/NNG+고무/NNG
생산을	생산/NNG+을/JKO
시작해	시작/NNG+하/XSV+아/EC
현재	현재/MAG
세계	세계/NNG
1위의	1/SN+위/NNB+의/JKG
생산능력을	생산/NNG+능력/NNG+을/JKO
보유하고	보유/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
글로벌	글로벌/NNG
석유화학	석유/NNG+화학/NNG
기업으로	기업/NNG+으로/JKB
합성수지	합성수지/NNG
정밀화학	정밀/NNG+화학/NNG
전자소재	전자/NNG+소재/NNG
에너지발전	에너지/NNG+발전/NNG
건자재	건자재/NNG
탄소나노튜브	탄소/NNG+나노/NNG+튜브/NNG
등	등/NNB
미래소재를	미래/NNG+소재/NNG+를/JKO
주요	주요/NNG
사업으로	사업/NNG+으로/JKB
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.80.3.1
금호석유화학은 계열사와 함께 2020년까지 세계일등제품 20개를 보유한 매출 20조 원 규모의 ‘글로벌 리딩 화학그룹’으로 거듭난다는 비전(Vision 2020)을 추진하고 있다.

금호석유화학은	금호석유화학/NNP+은/JX
계열사와	계열사/NNG+와/JKB
함께	함께/MAG
2020년까지	2020/SN+년/NNB+까지/JX
세계일등제품	세계/NNG+일등/NNG+제품/NNG
20개를	20/SN+개/NNB+를/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
매출	매출/NNG
20조	20/SN+조/NR
원	원/NNB
규모의	규모/NNG+의/JKG
‘글로벌	‘/SS+글로벌/NNG
리딩	리딩/NNG
화학그룹’으로	화학/NNG+그룹/NNG+’/SS+으로/JKB
거듭난다는	거듭나/VV+ㄴ다는/ETM
비전(Vision	비전/NNG+(/SS+Vision/SL
2020)을	2020/SN+)/SS+을/JKO
추진하고	추진/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.80.3.2
계열사로는 금호피앤비화학, 금호폴리켐, 금호미쓰이화학, 금호개발상사, 금호티앤엘, 코리아에너지발전소가 있다.

계열사로는	계열사/NNG+로/JKB+는/JX
금호피앤비화학,	금호피앤비화학/NNP+,/SP
금호폴리켐,	금호폴리켐/NNP+,/SP
금호미쓰이화학,	금호미쓰이화학/NNP+,/SP
금호개발상사,	금호개발상사/NNP+,/SP
금호티앤엘,	금호티앤엘/NNP+,/SP
코리아에너지발전소가	코리아에너지발전소/NNP+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.80.4.1
