# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.48
metadata : {}


# id : NWRW1800000038.48.1.1
모스크서 총쏘며 저항하던 시위대 진압… 이집트 주말 173명 사망

모스크서	모스크/NNG+서/JKB
총쏘며	총/NNG+쏘/VV+며/EC
저항하던	저항/NNG+하/XSV+던/ETM
시위대	시위대/NNG
진압…	진압/NNG+…/SE
이집트	이집트/NNP
주말	주말/NNG
173명	173/SN+명/NNB
사망	사망/NNG


# id : NWRW1800000038.48.2.1
군부, 무슬림형제단을 테러단체로 언급하기 시작… 주요 인사들 대대적 검거

군부,	군부/NNG+,/SP
무슬림형제단을	무슬림형제단/NNP+을/JKO
테러단체로	테러/NNG+단체/NNG+로/JKB
언급하기	언급/NNG+하/XSV+기/ETN
시작…	시작/NNG+…/SE
주요	주요/NNG
인사들	인사/NNG+들/XSN
대대적	대대적/MMA
검거	검거/NNG


# id : NWRW1800000038.48.3.1
이집트 군부에 의해 축출된 무함마드 무르시 전 대통령 지지자들과 군경 간 무력 충돌이 확산하고 있다.

이집트	이집트/NNP
군부에	군부/NNG+에/JKB
의해	의하/VV+아/EC
축출된	축출/NNG+되/XSV+ㄴ/ETM
무함마드	무함마드/NNP
무르시	무르시/NNP
전	전/MMD
대통령	대통령/NNG
지지자들과	지지자/NNG+들/XSN+과/JC
군경	군경/NNG
간	간/NNB
무력	무력/NNG
충돌이	충돌/NNG+이/JKS
확산하고	확산/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.48.3.2
군부는 17일(이하 현지 시각) 무르시 지지 세력의 핵(核)인 무슬림형제단을 '테러 단체'라고 언급하며 주요 인사부터 단원까지 샅샅이 수색해 체포하기 시작했다.

군부는	군부/NNG+는/JX
17일(이하	17/SN+일/NNB+(/SS+이하/NNG
현지	현지/NNG
시각)	시각/NNG+)/SS
무르시	무르시/NNP
지지	지지/NNG
세력의	세력/NNG+의/JKG
핵(核)인	핵/NNG+(/SS+核/SH+)/SS+이/VCP+ㄴ/ETM
무슬림형제단을	무슬림형제단/NNP+을/JKO
'테러	'/SS+테러/NNG
단체'라고	단체/NNG+'/SS+라고/JKQ
언급하며	언급/NNG+하/XSV+며/EC
주요	주요/NNG
인사부터	인사/NNG+부터/JX
단원까지	단원/NNG+까지/JX
샅샅이	샅샅이/MAG
수색해	수색/NNG+하/XSV+아/EC
체포하기	체포/NNG+하/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.48.3.3
이에 맞서 무르시 지지자들은 "합법적 선거로 대통령에 오른 무르시를 쿠데타로 끌어내리고 시위대를 학살한 군부를 용서할 수 없다"며 추가 봉기를 예고했다.

이에	이/NP+에/JKB
맞서	맞서/VV+어/EC
무르시	무르시/NNP
지지자들은	지지자/NNG+들/XSN+은/JX
"합법적	"/SS+합법/NNG+적/XSN
선거로	선거/NNG+로/JKB
대통령에	대통령/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
무르시를	무르시/NNP+를/JKO
쿠데타로	쿠데타/NNG+로/JKB
끌어내리고	끌어내리/VV+고/EC
시위대를	시위대/NNG+를/JKO
학살한	학살/NNG+하/XSV+ㄴ/ETM
군부를	군부/NNG+를/JKO
용서할	용서/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다"며	없/VA+다/EF+"/SS+며/EC
추가	추가/NNG
봉기를	봉기/NNG+를/JKO
예고했다.	예고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.48.3.4
일부 과격 성향의 무르시 지지자들은 학교·교회 등 수십여 곳에 불을 지르며 반발하는 중이라고 AP통신이 18일 보도했다.

일부	일부/NNG
과격	과격/NNG
성향의	성향/NNG+의/JKG
무르시	무르시/NNP
지지자들은	지지자/NNG+들/XSN+은/JX
학교·교회	학교/NNG+·/SP+교회/NNG
등	등/NNB
수십여	수십/NR+여/XSN
곳에	곳/NNG+에/JKB
불을	불/NNG+을/JKO
지르며	지르/VV+며/EC
반발하는	반발/NNG+하/XSV+는/ETM
중이라고	중/NNB+이/VCP+라고/EC
AP통신이	AP통신/NNP+이/JKS
18일	18/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.48.4.1
군부가 주도하는 과도정부는 17일 "(국제 테러조직) 알카에다 최고지도자 아이만 알자와히리의 친동생 무함마드 알자와히리(60)를 수도 카이로의 기자 지역에서 긴급 체포했다"면서 "그가 무르시 지지 시위에 관여하고 폭력 행위를 선동했다는 첩보를 입수했다"고 밝혔다.

군부가	군부/NNG+가/JKS
주도하는	주도/NNG+하/XSV+는/ETM
과도정부는	과도/NNG+정부/NNG+는/JX
17일	17/SN+일/NNB
"(국제	"/SS+(/SS+국제/NNG
테러조직)	테러/NNG+조직/NNG+)/SS
알카에다	알카에다/NNP
