# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.171
metadata : {}


# id : NWRW1800000054.171.1.1
[사건 블랙박스] 응급환자 놔두고… 구급차가 보복운전

[사건	[/SS+사건/NNG
블랙박스]	블랙박스/NNG+]/SS
응급환자	응급/NNG+환자/NNG
놔두고…	놔두/VV+고/EC+…/SE
구급차가	구급차/NNG+가/JKS
보복운전	보복/NNG+운전/NNG


# id : NWRW1800000054.171.2.1
택시와 시비 붙어 욕설·진로방해… 전화로 "환자 태우러 못 간다"

택시와	택시/NNG+와/JKB
시비	시비/NNG
붙어	붙/VV+어/EC
욕설·진로방해…	욕설/NNG+·/SP+진로/NNG+방해/NNG+…/SE
전화로	전화/NNG+로/JKB
"환자	"/SS+환자/NNG
태우러	태우/VV+러/EC
못	못/MAG
간다"	가/VV+ㄴ다/EF+"/SS


# id : NWRW1800000054.171.3.1
지난 9일 밤 11시 50분쯤 서울 노원구 태릉입구역 사거리.

지난	지나/VV+ㄴ/ETM
9일	9/SN+일/NNB
밤	밤/NNG
11시	11/SN+시/NNB
50분쯤	50/SN+분/NNB+쯤/XSN
서울	서울/NNP
노원구	노원구/NNP
태릉입구역	태릉입구역/NNP
사거리.	사거리/NNG+./SF


# id : NWRW1800000054.171.3.2
좌회전 신호를 기다리던 택시기사 김모(63)씨 앞으로 구급차 한 대가 경적을 울리며 급히 끼어들었다.

좌회전	좌회전/NNG
신호를	신호/NNG+를/JKO
기다리던	기다리/VV+던/ETM
택시기사	택시/NNG+기사/NNG
김모(63)씨	김/NNP+모/NP+(/SS+63/SN+)/SS+씨/NNB
앞으로	앞/NNG+으로/JKB
구급차	구급차/NNG
한	한/MMN
대가	대/NNB+가/JKS
경적을	경적/NNG+을/JKO
울리며	울리/VV+며/EC
급히	급히/MAG
끼어들었다.	끼어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.171.3.3
하마터면 사고를 당할 뻔했던 김씨는 상향등을 2차례 켰다.

하마터면	하마터면/MAG
사고를	사고/NNG+를/JKO
당할	당하/VV+ㄹ/ETM
뻔했던	뻔/NNB+하/XSA+았/EP+던/ETM
김씨는	김/NNP+씨/NNB+는/JX
상향등을	상향등/NNG+을/JKO
