# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.158
metadata : {}


# id : NWRW1800000041.158.1.1
숯가루 물감으로 빚은 먹빛 캔버스… 오징어먹물과 어우러진 블랙의 맛

숯가루	숯가루/NNG
물감으로	물감/NNG+으로/JKB
빚은	빚/VV+은/ETM
먹빛	먹빛/NNG
캔버스…	캔버스/NNG+…/SE
오징어먹물과	오징어/NNG+먹물/NNG+과/JKB
어우러진	어우러지/VV+ㄴ/ETM
블랙의	블랙/NNG+의/JKG
맛	맛/NNG


# id : NWRW1800000041.158.2.1
[미술관 옆 식도락]③갤러리현대 이배展 두가헌 먹물소스 전복 전채

[미술관	[/SS+미술관/NNG
옆	옆/NNG
식도락]③갤러리현대	식도락/NNG+]/SS+③/SW+갤러리현대/NNP
이배展	이배/NNP+展/SH
두가헌	두가헌/NNP
먹물소스	먹물/NNG+소스/NNG
전복	전복/NNG
전채	전채/NNG


# id : NWRW1800000041.158.3.1
하나는 우뚝 솟았고 다른 하나는 직수굿이 앉았다.

하나는	하나/NR+는/JX
우뚝	우뚝/MAG
솟았고	솟/VV+았/EP+고/EC
다른	다른/MMD
직수굿이	직수굿이/MAG
앉았다.	앉/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.158.3.2
서울 종로구 삼청로 갤러리현대 뒤편 레스토랑 두가헌(斗街軒·매우 아름다운 집) 뜰에 마주 선 수령 약 300년, 120년의 은행나무 모습이다.

서울	서울/NNP
종로구	종로구/NNP
삼청로	삼청로/NNP
갤러리현대	갤러리현대/NNP
뒤편	뒤편/NNG
레스토랑	레스토랑/NNG
두가헌(斗街軒·매우	두가헌/NNP+(/SS+斗街軒/SH+·/SP+매우/MAG
아름다운	아름답/VA+ㄴ/ETM
집)	집/NNG+)/SS
뜰에	뜰/NNG+에/JKB
마주	마주/MAG
선	서/VV+ㄴ/ETM
수령	수령/NNG
약	약/MMA
300년,	300/SN+년/NNB+,/SP
