# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.27
metadata : {}


# id : NWRW1800000033.27.1.1
날개 꺾인 金… ‘안전자산’ 위상 흔들려

날개	날개/NNG
꺾인	꺾이/VV+ㄴ/ETM
金…	金/SH+…/SE
‘안전자산’	‘/SS+안전/NNG+자산/NNG+’/SS
위상	위상/NNG
흔들려	흔들리/VV+어/EF


# id : NWRW1800000033.27.2.1
가장 안전한 자산으로 손꼽히던 금의 위상이 흔들리고 있다.

가장	가장/MAG
안전한	안전/NNG+하/XSA+ㄴ/ETM
자산으로	자산/NNG+으로/JKB
손꼽히던	손꼽히/VV+던/ETM
금의	금/NNG+의/JKG
위상이	위상/NNG+이/JKS
흔들리고	흔들리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.27.2.2
최근 유럽 재정위기 여파로 글로벌 경기가 요동치고 있는 가운데서도 오히려 금값이 크게 떨어지며 안전자산이라는 이름값을 하지 못하고 있다.

최근	최근/MAG
유럽	유럽/NNP
재정위기	재정/NNG+위기/NNG
여파로	여파/NNG+로/JKB
글로벌	글로벌/NNG
경기가	경기/NNG+가/JKS
요동치고	요동치/VV+고/EC
있는	있/VX+는/ETM
가운데서도	가운데/NNG+서/JKB+도/JX
오히려	오히려/MAG
금값이	금값/NNG+이/JKS
크게	크/VA+게/EC
떨어지며	떨어지/VV+며/EC
안전자산이라는	안전/NNG+자산/NNG+이/VCP+라는/ETM
이름값을	이름값/NNG+을/JKO
하지	하/VV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.27.3.1
29일(현지 시간) 미국 뉴욕상품거래소에서 8월 인도분 금은 이전 거래일보다 20.20달러(1.3%) 떨어진 31.1g(1온스)당 1551.00달러로 장을 마쳤다.

29일(현지	29/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
미국	미국/NNP
뉴욕상품거래소에서	뉴욕상품거래소/NNP+에서/JKB
8월	8/SN+월/NNB
인도분	인도/NNG+분/XSN
금은	금/NNG+은/JX
이전	이전/NNG
거래일보다	거래일/NNG+보다/JKB
20.20달러(1.3%)	20/SN+./SP+20/SN+달러/NNB+(/SS+1/SN+./SP+3/SN+%/SW+)/SS
떨어진	떨어지/VV+ㄴ/ETM
31.1g(1온스)당	31/SN+./SP+1/SN+g/SW+(/SS+1/SN+온스/NNB+)/SS+당/XSN
1551.00달러로	1551/SN+./SP+00/SN+달러/NNB+로/JKB
장을	장/NNG+을/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.27.3.2
지난해 9월 초 온스당 1920달러까지 치솟은 지 9개월 만에 20% 가까이 떨어졌고 이번 달 들어서만 약 7% 급락했다.

지난해	지난해/NNG
9월	9/SN+월/NNB
초	초/NNB
온스당	온스/NNB+당/XSN
1920달러까지	1920/SN+달러/NNB+까지/JX
치솟은	치솟/VV+은/ETM
지	지/NNB
9개월	9/SN+개월/NNB
만에	만/NNB+에/JKB
20%	20/SN+%/SW
가까이	가까이/MAG
떨어졌고	떨어지/VV+었/EP+고/EC
이번	이번/NNG
달	달/NNG
들어서만	들어서/VV+어/EC+만/JX
약	약/MMA
7%	7/SN+%/SW
급락했다.	급락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.27.3.3
전문가들은 금값이 고전을 면치 못하는 것은 투자자들이 안전자산으로 금보다 미국 또는 독일 국채를 선호하기 때문이라고 분석했다.

전문가들은	전문가/NNG+들/XSN+은/JX
금값이	금값/NNG+이/JKS
고전을	고전/NNG+을/JKO
면치	면하/VV+지/EC
못하는	못하/VX+는/ETM
것은	것/NNB+은/JX
투자자들이	투자자/NNG+들/XSN+이/JKS
안전자산으로	안전/NNG+자산/NNG+으로/JKB
금보다	금/NNG+보다/JKB
미국	미국/NNP
또는	또는/MAG
독일	독일/NNP
국채를	국채/NNG+를/JKO
선호하기	선호/NNG+하/XSV+기/ETN
때문이라고	때문/NNB+이/VCP+라고/EC
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.27.3.4
더불어 미국 국채를 사려는 투자자가 많아지면서 달러화 가치가 높아지는 점도 금값 하락에 영향을 주고 있다.

더불어	더불/VV+어/EC
미국	미국/NNP
국채를	국채/NNG+를/JKO
사려는	사/VV+려는/ETM
투자자가	투자자/NNG+가/JKS
많아지면서	많아지/VV+면서/EC
달러화	달러화/NNG
가치가	가치/NNG+가/JKS
높아지는	높아지/VV+는/ETM
점도	점/NNG+도/JX
금값	금값/NNG
하락에	하락/NNG+에/JKB
영향을	영향/NNG+을/JKO
주고	주/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.27.3.5
달러 이외의 다른 통화를 가진 투자자들은 금을 사기 위해 달러로 환전해야 한다.

달러	달러/NNG
이외의	이외/NNG+의/JKG
다른	다른/MMD
통화를	통화/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
투자자들은	투자자/NNG+들/XSN+은/JX
금을	금/NNG+을/JKO
사기	사/VV+기/ETN
위해	위하/VV+아/EC
달러로	달러/NNG+로/JKB
환전해야	환전/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.27.3.6
달러화 가치가 오르면 금 매입비용도 비싸져 금에 대한 투자심리를 위축시킨다.

달러화	달러화/NNG
가치가	가치/NNG+가/JKS
오르면	오르/VV+면/EC
금	금/NNG
매입비용도	매입/NNG+비용/NNG+도/JX
비싸져	비싸/VA+아/EC+지/VX+어/EC
금에	금/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
투자심리를	투자/NNG+심리/NNG+를/JKO
위축시킨다.	위축/NNG+시키/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.27.4.1
세계금위원회(WGC)에 따르면 올해 1분기에 세계 금 수요는 5% 줄었다.

세계금위원회(WGC)에	세계금위원회/NNP+(/SS+WGC/SL+)/SS+에/JKB
따르면	따르/VV+면/EC
올해	올해/NNG
1분기에	1/SN+분기/NNG+에/JKB
세계	세계/NNG
금	금/NNG
수요는	수요/NNG+는/JX
5%	5/SN+%/SW
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.27.4.2
금 공급은 계속되는데 수요가 줄면서 수급불균형에 의한 금값 하락세가 이어지는 것이다.

금	금/NNG
공급은	공급/NNG+은/JX
계속되는데	계속/NNG+되/XSV+는데/EC
수요가	수요/NNG+가/JKS
줄면서	줄/VV+면서/EC
수급불균형에	수급/NNG+불/XPN+균형/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
금값	금값/NNG
하락세가	하락세/NNG+가/JKS
이어지는	이어지/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.27.4.3
반면 금이 안전자산으로서 지위를 계속 이어나갈 것이라는 의견도 적지 않다.

반면	반면/NNG
금이	금/NNG+이/JKS
안전자산으로서	안전/NNG+자산/NNG+으로서/JKB
지위를	지위/NNG+를/JKO
계속	계속/MAG
이어나갈	잇/VV+어/EC+나가/VX+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
의견도	의견/NNG+도/JX
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000033.27.4.4
각국의 중앙은행들이 올해 꾸준하게 금 보유량을 늘리고 있는 데다 유럽 재정위기 해결책의 하나로 시장에 유동성이 공급되면 다시 금값이 상승할 수 있다는 분석이다.

각국의	각국/NNG+의/JKG
중앙은행들이	중앙은행/NNG+들/XSN+이/JKS
올해	올해/NNG
꾸준하게	꾸준하/VA+게/EC
금	금/NNG
보유량을	보유량/NNG+을/JKO
늘리고	늘리/VV+고/EC
있는	있/VX+는/ETM
데다	데/NNB+다/JX
유럽	유럽/NNP
재정위기	재정/NNG+위기/NNG
해결책의	해결책/NNG+의/JKG
하나로	하나/NR+로/JKB
시장에	시장/NNG+에/JKB
유동성이	유동/NNG+성/XSN+이/JKS
공급되면	공급/NNG+되/XSV+면/EC
다시	다시/MAG
금값이	금값/NNG+이/JKS
상승할	상승/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
분석이다.	분석/NNG+이/VCP+다/EF+./SF


