# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.189
metadata : {}


# id : NWRW1800000045.189.1.1
조영제, 경남기업 채권銀에 영향력 행사 정황

조영제,	조영제/NNP+,/SP
경남기업	경남기업/NNP
채권銀에	채권/NNG+銀/SH+에/JKB
영향력	영향력/NNG
행사	행사/NNG
정황	정황/NNG


# id : NWRW1800000045.189.2.1
“워크아웃 이전 수백억 대출 개입”… 檢, 여신담당 진술 확보 수사확대 김진수 前부원장보 사전영장 청구

“워크아웃	“/SS+워크아웃/NNG
이전	이전/NNG
수백억	수백억/NR
대출	대출/NNG
개입”…	개입/NNG+”/SS+…/SE
檢,	檢/SH+,/SP
여신담당	여신/NNG+담당/NNG
진술	진술/NNG
확보	확보/NNG
수사확대	수사/NNG+확대/NNG
김진수	김진수/NNP
前부원장보	前/SH+부원장보/NNG
사전영장	사전/NNG+영장/NNG
청구	청구/NNG


# id : NWRW1800000045.189.3.1
경남기업 워크아웃 특혜 의혹을 수사 중인 검찰이 조영제 전 금융감독원 부원장(58)이 경남기업 채권은행에 영향력을 행사했다는 정황을 잡고 수사 중인 것으로 알려졌다.

경남기업	경남기업/NNP
워크아웃	워크아웃/NNG
특혜	특혜/NNG
의혹을	의혹/NNG+을/JKO
수사	수사/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
검찰이	검찰/NNG+이/JKS
조영제	조영제/NNG
전	전/MMD
금융감독원	금융/NNG+감독원/NNG
부원장(58)이	부원장/NNG+(/SS+58/SN+)/SS+이/JKS
채권은행에	채권/NNG+은행/NNG+에/JKB
영향력을	영향력/NNG+을/JKO
행사했다는	행사/NNG+하/XSV+았/EP+다는/ETM
정황을	정황/NNG+을/JKO
잡고	잡/VV+고/EC
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.189.3.2
검찰은 2013년 경남기업의 3차 워크아웃 이전에도 금감원이 경남기업에 수백억 원의 자금 지원을 해주도록 채권은행에 영향력을 행사한 단서를 잡고 수사를 확대하고 있다.

검찰은	검찰/NNG+은/JX
2013년	2013/SN+년/NNB
경남기업의	경남기업/NNP+의/JKG
3차	3/SN+차/NNB
워크아웃	워크아웃/NNG
이전에도	이전/NNG+에/JKB+도/JX
금감원이	금감원/NNG+이/JKS
경남기업에	경남기업/NNP+에/JKB
