# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.122
metadata : {}


# id : NWRW1800000049.122.1.1
[문화好통]기계로 베꼈든 손으로 베꼈든 진품은 아니다

[문화好통]기계로	[/SS+문화好통/NNG+]/SS+기계/NNG+로/JKB
베꼈든	베끼/VV+었/EP+든/EC
손으로	손/NNG+으로/JKB
진품은	진품/NNG+은/JX
아니다	아니/VCN+다/EF


# id : NWRW1800000049.122.2.1
“몇 해 전 대구에서 찾아온 한 컬렉터가 원작 이미지를 복제한 인쇄물 아트상품을 수십 점 구입해 갔다.

“몇	“/SS+몇/NR
해	해/NNB
전	전/NNG
대구에서	대구/NNP+에서/JKB
찾아온	찾아오/VV+ㄴ/ETM
한	한/MMN
컬렉터가	컬렉터/NNG+가/JKS
원작	원작/NNG
이미지를	이미지/NNG+를/JKO
복제한	복제/NNG+하/XSV+ㄴ/ETM
인쇄물	인쇄물/NNG
아트상품을	아트/NNG+상품/NNG+을/JKO
수십	수십/NR
점	점/NNB
구입해	구입/NNG+하/XSV+아/EC
갔다.	가/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.122.2.2
얼마 뒤 그 지역 화랑에서 ‘저작권자와 협력해 김환기 작품 전시회를 연다’는 보도자료를 냈다.

얼마	얼마/NNG
뒤	뒤/NNG
그	그/MMD
지역	지역/NNG
화랑에서	화랑/NNG+에서/JKB
‘저작권자와	‘/SS+저작권자/NNG+와/JKB
협력해	협력/NNG+하/XSV+아/EC
김환기	김환기/NNP
작품	작품/NNG
전시회를	전시회/NNG+를/JKO
연다’는	열/VV+ㄴ다/EF+’/SS+는/ETM
보도자료를	보도/NNG+자료/NNG+를/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.122.2.3
소식을 접한 뒤 강력히 항의해 정정 자료를 내도록 했지만 무척 씁쓸했다.”

소식을	소식/NNG+을/JKO
접한	접하/VV+ㄴ/ETM
뒤	뒤/NNG
강력히	강력히/MAG
항의해	항의/NNG+하/XSV+아/EC
정정	정정/NNG
자료를	자료/NNG+를/JKO
내도록	내/VV+도록/EC
했지만	하/VX+았/EP+지만/EC
무척	무척/MAG
씁쓸했다.”	씁쓸하/VA+았/EP+다/EF+./SF+”/SS


# id : NWRW1800000049.122.3.1
동아일보가 19일자 ‘판화로 둔갑한 고품질 인쇄물’ 기사를 통해 원본복제 아트상품을 작품인 양 전시하는 일부 미술관의 행태를 보도한 직후 전화를 걸어온 서울 환기미술관 관계자의 말이다.

동아일보가	동아일보/NNP+가/JKS
19일자	19/SN+일/NNB+자/NNG
‘판화로	‘/SS+판화/NNG+로/JKB
둔갑한	둔갑/NNG+하/XSV+ㄴ/ETM
고품질	고/XPN+품질/NNG
인쇄물’	인쇄물/NNG+’/SS
기사를	기사/NNG+를/JKO
통해	통하/VV+아/EC
원본복제	원본/NNG+복제/NNG
아트상품을	아트/NNG+상품/NNG+을/JKO
작품인	작품/NNG+이/VCP+ㄴ/ETM
양	양/NNB
전시하는	전시/NNG+하/XSV+는/ETM
일부	일부/NNG
미술관의	미술관/NNG+의/JKG
행태를	행태/NNG+를/JKO
보도한	보도/NNG+하/XSV+ㄴ/ETM
직후	직후/NNG
전화를	전화/NNG+를/JKO
걸어온	걸어오/VV+ㄴ/ETM
서울	서울/NNP
환기미술관	환기미술관/NNP
관계자의	관계자/NNG+의/JKG
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.122.3.2
그는 “이와 같은 일이 오래전부터 수없이 벌어졌는데 기사로 지적된 것은 처음이다.

그는	그/NP+는/JX
“이와	“/SS+이/NP+와/JKB
같은	같/VA+은/ETM
일이	일/NNG+이/JKS
오래전부터	오래전/NNG+부터/JX
수없이	수없이/MAG
벌어졌는데	벌어지/VV+었/EP+는데/EC
기사로	기사/NNG+로/JKB
지적된	지적/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.122.3.3
공론화시켜 줘서 고맙다”고 말했다.

공론화시켜	공론/NNG+화/XSN+시키/XSV+어/EC
줘서	주/VX+어서/EC
고맙다”고	고맙/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.122.4.1
지난달 미술품 위작 관련 취재를 위해 서울 황학동 풍물시장, 답십리 고미술상가, 인사동길 화랑거리를 돌아다니며 상인들로부터 자주 들은 상품 설명이 바로 ‘판화’였다.

지난달	지난달/NNG
미술품	미술품/NNG
위작	위작/NNG
관련	관련/NNG
취재를	취재/NNG+를/JKO
위해	위하/VV+아/EC
서울	서울/NNP
황학동	황학동/NNP
풍물시장,	풍물/NNG+시장/NNG+,/SP
답십리	답십리/NNP
고미술상가,	고미술/NNG+상가/NNG+,/SP
인사동길	인사동/NNP+길/NNG
화랑거리를	화랑/NNG+거리/NNG+를/JKO
돌아다니며	돌아다니/VV+며/EC
상인들로부터	상인/NNG+들/XSN+로부터/JKB
자주	자주/MAG
들은	듣/VV+은/ETM
상품	상품/NNG
설명이	설명/NNG+이/JKS
바로	바로/MAG
‘판화’였다.	‘/SS+판화/NNG+’/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.122.4.2
상인들은 “이중섭 박수근 김기창의 유명 작품을 원본과 똑같이 재현한 판화다.

상인들은	상인/NNG+들/XSN+은/JX
“이중섭	“/SS+이중섭/NNP
박수근	박수근/NNP
김기창의	김기창/NNP+의/JKG
유명	유명/NNG
작품을	작품/NNG+을/JKO
원본과	원본/NNG+과/JKB
똑같이	똑같이/MAG
재현한	재현/NNG+하/XSV+ㄴ/ETM
판화다.	판화/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.122.4.3
인쇄한 게 아니라 손으로 공들여 작업한 것”이라며 한 점에 수십만 원대의 가격을 불렀다.

인쇄한	인쇄/NNG+하/XSV+ㄴ/ETM
게	거/NNB+이/JKC
아니라	아니/VCN+라/EC
손으로	손/NNG+으로/JKB
공들여	공들이/VV+어/EC
작업한	작업/NNG+하/XSV+ㄴ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
한	한/MMN
점에	점/NNB+에/JKB
수십만	수십만/NR
원대의	원/NNB+대/XSN+의/JKG
가격을	가격/NNG+을/JKO
불렀다.	부르/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.122.5.1
정교한 컴퓨터 오프셋(offset) 인쇄를 석판화와 같은 것으로 여긴 오류다.

정교한	정교하/VA+ㄴ/ETM
컴퓨터	컴퓨터/NNG
오프셋(offset)	오프셋/NNG+(/SS+offset/SL+)/SS
인쇄를	인쇄/NNG+를/JKO
석판화와	석판화/NNG+와/JKB
같은	같/VA+은/ETM
것으로	것/NNB+으로/JKB
여긴	여기/VV+ㄴ/ETM
오류다.	오류/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.122.5.2
인쇄물을 작품처럼 전시한 미술관 관계자나 풍물시장 상인은 그 차이를 몰랐을 수 있다.

인쇄물을	인쇄물/NNG+을/JKO
작품처럼	작품/NNG+처럼/JKB
전시한	전시/NNG+하/XSV+ㄴ/ETM
미술관	미술관/NNG
관계자나	관계자/NNG+나/JC
풍물시장	풍물/NNG+시장/NNG
상인은	상인/NNG+은/JX
그	그/MMD
차이를	차이/NNG+를/JKO
몰랐을	모르/VV+았/EP+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.122.5.3
환기미술관 관계자도 “의도적인 과장 홍보인지 무지의 소치인지 확인하기 쉽지 않다”고 했다.

환기미술관	환기미술관/NNP
관계자도	관계자/NNG+도/JX
“의도적인	“/SS+의도/NNG+적/XSN+이/VCP+ㄴ/ETM
과장	과장/NNG
홍보인지	홍보/NNG+이/VCP+ㄴ지/EC
무지의	무지/NNG+의/JKG
소치인지	소치/NNG+이/VCP+ㄴ지/EC
확인하기	확인/NNG+하/XSV+기/ETN
쉽지	쉽/VA+지/EC
않다”고	않/VX+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.122.6.1
하지만 오프셋 인쇄나 석판화가 무엇인지 알고 모르고는 사실 그리 중요하지 않다.

하지만	하지만/MAJ
오프셋	오프셋/NNG
인쇄나	인쇄/NNG+나/JC
석판화가	석판화/NNG+가/JKS
무엇인지	무엇/NP+이/VCP+ㄴ지/EC
알고	알/VV+고/EC
모르고는	모르/VV+고/EC+는/JX
사실	사실/MAG
그리	그리/MAG
중요하지	중요/NNG+하/XSA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000049.122.6.2
기계로 복제했는지 손으로 베꼈는지도 관계없다.

기계로	기계/NNG+로/JKB
복제했는지	복제/NNG+하/XSV+았/EP+는지/EC
손으로	손/NNG+으로/JKB
베꼈는지도	베끼/VV+었/EP+는지/EF+도/JX
관계없다.	관계없/VA+다/EF+./SF


# id : NWRW1800000049.122.6.3
원본을 똑같이 따라 만든 결과물은 무엇이든 ‘예술 작품’이 아니다.

원본을	원본/NNG+을/JKO
똑같이	똑같이/MAG
따라	따르/VV+아/EC
만든	만들/VV+ㄴ/ETM
결과물은	결과물/NNG+은/JX
무엇이든	무엇/NP+이든/JX
‘예술	‘/SS+예술/NNG
작품’이	작품/NNG+’/SS+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000049.122.7.1
‘이중섭이 1954년경 그린 원본을 복제한 인쇄물’이라는 설명 대신 ‘이중섭, AP(artist proof), 석판화, 2014년’이라는 그럴싸한 설명을 내건 전시물을 이중섭이 마주한다면 무슨 생각을 할까.

‘이중섭이	‘/SS+이중섭/NNP+이/JKS
1954년경	1954/SN+년/NNB+경/XSN
그린	그리/VV+ㄴ/ETM
원본을	원본/NNG+을/JKO
복제한	복제/NNG+하/XSV+ㄴ/ETM
인쇄물’이라는	인쇄물/NNG+’/SS+이/VCP+라는/ETM
설명	설명/NNG
대신	대신/NNG
‘이중섭,	‘/SS+이중섭/NNP+,/SP
AP(artist	AP/SL+(/SS+artist/SL
proof),	proof/SL+)/SS+,/SP
석판화,	석판화/NNG+,/SP
2014년’이라는	2014/SN+년/NNB+’/SS+이/VCP+라는/ETM
그럴싸한	그럴싸하/VA+ㄴ/ETM
설명을	설명/NNG+을/JKO
내건	내걸/VV+ㄴ/ETM
전시물을	전시물/NNG+을/JKO
이중섭이	이중섭/NNP+이/JKS
마주한다면	마주/MAG+하/XSV+ㄴ다면/EC
무슨	무슨/MMD
생각을	생각/NNG+을/JKO
할까.	하/VV+ㄹ까/EF+./SF


# id : NWRW1800000049.122.7.2
인쇄물을 만든 이가 액자 하단에 연필로 적은 ‘제작번호’를 ‘진품증명’으로 소개하는 설명을 이중섭이 듣는다면?

인쇄물을	인쇄물/NNG+을/JKO
만든	만들/VV+ㄴ/ETM
이가	이/NNB+가/JKS
액자	액자/NNG
하단에	하단/NNG+에/JKB
연필로	연필/NNG+로/JKB
적은	적/VV+은/ETM
‘제작번호’를	‘/SS+제작/NNG+번호/NNG+’/SS+를/JKO
‘진품증명’으로	‘/SS+진품/NNG+증명/NNG+’/SS+으로/JKB
소개하는	소개/NNG+하/XSV+는/ETM
설명을	설명/NNG+을/JKO
이중섭이	이중섭/NNP+이/JKS
듣는다면?	듣/VV+는다면/EC+?/SF


# id : NWRW1800000049.122.7.3
아무 거리낌 없이 복제물을 진품 그림과 혼동하는 가치관을 내버린 뒤에야, 우리 미술시장의 품격이 한 단계 높아질 수 있을 거다.

아무	아무/MMD
거리낌	거리낌/NNG
없이	없이/MAG
복제물을	복제물/NNG+을/JKO
진품	진품/NNG
그림과	그림/NNG+과/JKB
혼동하는	혼동/NNG+하/XSV+는/ETM
가치관을	가치관/NNG+을/JKO
내버린	내버리/VV+ㄴ/ETM
뒤에야,	뒤/NNG+에/JKB+야/JX+,/SP
우리	우리/NP
미술시장의	미술/NNG+시장/NNG+의/JKG
품격이	품격/NNG+이/JKS
한	한/MMN
단계	단계/NNG
높아질	높아지/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
거다.	거/NNB+이/VCP+다/EF+./SF


