# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.375
metadata : {}


# id : NWRW1800000054.375.1.1
황금연휴, 콜록거리다 끝난 '황사연휴'

황금연휴,	황금연휴/NNG+,/SP
콜록거리다	콜록거리/VV+다/EC
끝난	끝나/VV+ㄴ/ETM
'황사연휴'	'/SS+황사/NNG+연휴/NNG+'/SS


# id : NWRW1800000054.375.2.1
파란 하늘에 숨은 '스텔스 황사'… 이번 미세먼지는 입자가 작아 덜 뿌옇게 보여

파란	파랗/VA+ㄴ/ETM
하늘에	하늘/NNG+에/JKB
숨은	숨/VV+은/ETM
'스텔스	'/SS+스텔스/NNG
황사'…	황사/NNG+'/SS+…/SE
이번	이번/NNG
미세먼지는	미세/NNG+먼지/NNG+는/JX
입자가	입자/NNG+가/JKS
작아	작/VA+아/EC
덜	덜/MAG
뿌옇게	뿌옇/VA+게/EC
보여	보이/VV+어/EF


# id : NWRW1800000054.375.3.1
#1. 지난 5일 어린이날, 아이(6)와 서울 광진구 어린이대공원에 나들이를 다녀온 직장인 지선영(여·40)씨는 "아이가 집에 온 뒤 목 질환에 걸려 사흘째 앓고 있다"면서 "연휴를 망쳤다"고 했다.

#1.	#/SW+1/SN+./SF
지난	지나/VV+ㄴ/ETM
5일	5/SN+일/NNB
어린이날,	어린이날/NNG+,/SP
아이(6)와	아이/NNG+(/SS+6/SN+)/SS+와/JC
서울	서울/NNP
광진구	광진구/NNP
어린이대공원에	어린이대공원/NNP+에/JKB
나들이를	나들이/NNG+를/JKO
다녀온	다녀오/VV+ㄴ/ETM
직장인	직장인/NNG
지선영(여·40)씨는	지선영/NNP+(/SS+여/NNG+·/SP+40/SN+)/SS+씨/NNB+는/JX
"아이가	"/SS+아이/NNG+가/JKS
집에	집/NNG+에/JKB
온	오/VV+ㄴ/ETM
뒤	뒤/NNG
목	목/NNG
질환에	질환/NNG+에/JKB
걸려	걸리/VV+어/EC
사흘째	사흘/NNG+째/XSN
앓고	앓/VV+고/EC
있다"면서	있/VX+다/EF+"/SS+면서/EC
"연휴를	"/SS+연휴/NNG+를/JKO
망쳤다"고	망치/VV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.375.3.2
아이는 콜록콜록 기침하는 수준을 넘어 눈물을 흘리고 목 통증까지 호소했다.

아이는	아이/NNG+는/JX
콜록콜록	콜록콜록/MAG
기침하는	기침/NNG+하/XSV+는/ETM
수준을	수준/NNG+을/JKO
넘어	넘/VV+어/EC
눈물을	눈물/NNG+을/JKO
흘리고	흘리/VV+고/EC
목	목/NNG
통증까지	통증/NNG+까지/JX
호소했다.	호소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.375.4.1
#2. 직장인 김진아(여·29)씨는 지난 6일 서울 잠실구장에서 열린 야구 경기를 예매했지만 결국 취소했다.

#2.	#/SW+2/SN+./SF
직장인	직장인/NNG
김진아(여·29)씨는	김진아/NNP+(/SS+여/NNG+·/SP+29/SN+)/SS+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
6일	6/SN+일/NNB
서울	서울/NNP
잠실구장에서	잠실구장/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
야구	야구/NNG
경기를	경기/NNG+를/JKO
예매했지만	예매/NNG+하/XSV+았/EP+지만/EC
결국	결국/MAG
취소했다.	취소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.375.4.2
미세 먼지 농도가 치솟아 도저히 밖에 나갈 엄두가 나지 않았기 때문이다.

미세	미세/NNG
먼지	먼지/NNG
농도가	농도/NNG+가/JKS
치솟아	치솟/VV+아/EC
도저히	도저히/MAG
밖에	밖/NNG+에/JKB
나갈	나가/VV+ㄹ/ETM
엄두가	엄두/NNG+가/JKS
나지	나/VV+지/EC
않았기	않/VX+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.375.4.3
두산베어스 관계자는 "경기 당일 아침에만 관객 900여 명이 예매를 취소했다"고 밝혔다.

두산베어스	두산베어스/NNP
관계자는	관계자/NNG+는/JX
"경기	"/SS+경기/NNG
당일	당일/NNG
아침에만	아침/NNG+에/JKB+만/JX
관객	관객/NNG
900여	900/SN+여/XSN
명이	명/NNB+이/JKS
예매를	예매/NNG+를/JKO
