# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.318
metadata : {}


# id : NWRW1800000028.318.1.1
‘천안함’ 그레그 전대사·‘차명계좌’ 이인규… /여야, 국감 증인채택 ‘샅바싸움’

‘천안함’	‘/SS+천안함/NNP+’/SS
그레그	그레그/NNP
전대사·‘차명계좌’	전/MMD+대사/NNG+·/SP+‘/SS+차명/NNG+계좌/NNG+’/SS
이인규…	이인규/NNP+…/SE
/여야,	//SP+여야/NNG+,/SP
국감	국감/NNG
증인채택	증인/NNG+채택/NNG
‘샅바싸움’	‘/SS+샅바/NNG+싸움/NNG+’/SS


# id : NWRW1800000028.318.2.1
다음달 4일 시작될 국정감사를 앞두고 국회 상임위원회별로 증인 채택을 둘러싼 여야의 힘겨루기가 시작됐다.

다음달	다음/NNG+달/NNG
4일	4/SN+일/NNB
시작될	시작/NNG+되/XSV+ㄹ/ETM
국정감사를	국정/NNG+감사/NNG+를/JKO
앞두고	앞두/VV+고/EC
국회	국회/NNG
상임위원회별로	상임/NNG+위원회/NNG+별/XSN+로/JKB
증인	증인/NNG
채택을	채택/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
여야의	여야/NNG+의/JKG
힘겨루기가	힘겨루기/NNG+가/JKS
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.318.2.2
야당은 폭발력 있는 ‘거물급’을 증언대 위에 불러 세우려 하지만, 여당은 이를 한사코 막으려 애쓰는 모양새다.

야당은	야당/NNG+은/JX
폭발력	폭발력/NNG
있는	있/VA+는/ETM
‘거물급’을	‘/SS+거물급/NNG+’/SS+을/JKO
증언대	증언대/NNG
위에	위/NNG+에/JKB
불러	부르/VV+어/EC
세우려	세우/VV+려/EC
하지만,	하/VX+지만/EC+,/SP
여당은	여당/NNG+은/JX
이를	이/NP+를/JKO
한사코	한사코/MAG
막으려	막/VV+으려/EC
애쓰는	애쓰/VV+는/ETM
모양새다.	모양새/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.318.3.1
민주당은 천안함 사건 조사 결과에 의문을 제기한 그레그 전 대사를 야당 단독으로라도 부를 태세다.

민주당은	민주당/NNP+은/JX
천안함	천안함/NNP
사건	사건/NNG
조사	조사/NNG
결과에	결과/NNG+에/JKB
의문을	의문/NNG+을/JKO
제기한	제기/NNG+하/XSV+ㄴ/ETM
그레그	그레그/NNP
전	전/MMD
대사를	대사/NNG+를/JKO
야당	야당/NNG
단독으로라도	단독/NNG+으로/JKB+이/VCP+라도/EC
부를	부르/VV+ㄹ/ETM
태세다.	태세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.318.3.2
하지만 김무성 한나라당 원내대표는 “그레그 전 대사를 부르는 것은 비현실적인 얘기”라고 일축했다.

하지만	하지만/MAJ
김무성	김무성/NNP
한나라당	한나라당/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
“그레그	“/SS+그레그/NNP
전	전/MMD
대사를	대사/NNG+를/JKO
부르는	부르/VV+는/ETM
것은	것/NNB+은/JX
비현실적인	비/XPN+현실/NNG+적/XSN+이/VCP+ㄴ/ETM
얘기”라고	얘기/NNG+”/SS+라고/JKQ
일축했다.	일축/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.318.4.1
민간인과 정치인 불법사찰 사건을 다룰 정무위에서도 샅바싸움이 치열하다.

민간인과	민간인/NNG+과/JC
정치인	정치인/NNG
불법사찰	불법/NNG+사찰/NNG
사건을	사건/NNG+을/JKO
다룰	다루/VV+ㄹ/ETM
정무위에서도	정무위/NNG+에서/JKB+도/JX
샅바싸움이	샅바/NNG+싸움/NNG+이/JKS
치열하다.	치열/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000028.318.4.2
이인규 전 총리실 공직윤리지원관과, 검찰 조사에서 무혐의 처분을 받은 이영호 전 청와대 고용노사비서관, ‘배후’로 지목된 박영준 지식경제부 제2차관과 이상득 의원의 증인 채택 여부가 쟁점이다.

이인규	이인규/NNP
전	전/MMD
총리실	총리실/NNG
공직윤리지원관과,	공직/NNG+윤리/NNG+지원관/NNG+과/JC+,/SP
검찰	검찰/NNG
조사에서	조사/NNG+에서/JKB
무혐의	무/XPN+혐의/NNG
처분을	처분/NNG+을/JKO
받은	받/VV+은/ETM
이영호	이영호/NNP
청와대	청와대/NNP
고용노사비서관,	고용/NNG+노사/NNG+비서관/NNG+,/SP
‘배후’로	‘/SS+배후/NNG+’/SS+로/JKB
지목된	지목/NNG+되/XSV+ㄴ/ETM
박영준	박영준/NNP
지식경제부	지식/NNG+경제부/NNG
제2차관과	제/XPN+2/SN+차관/NNG+과/JC
이상득	이상득/NNP
의원의	의원/NNG+의/JKG
증인	증인/NNG
채택	채택/NNG
여부가	여부/NNG+가/JKS
쟁점이다.	쟁점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.318.4.3
법제사법위원회에선 이인규 전 대검 중수부장과 조현오 경찰청장이 증인으로 채택될지가 관심사다.

법제사법위원회에선	법제/NNG+사법/NNG+위원회/NNG+에서/JKB+ㄴ/JX
이인규	이인규/NNP
전	전/MMD
대검	대검/NNG
중수부장과	중수부장/NNG+과/JC
조현오	조현오/NNP
경찰청장이	경찰청장/NNG+이/JKS
증인으로	증인/NNG+으로/JKB
채택될지가	채택/NNG+되/XSV+ㄹ지/EF+가/JKS
관심사다.	관심사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.318.4.4
법사위 소속 여야 의원들도 이 전 중수부장을 증인으로 채택해야 한다는 기류지만 당 지도부의 의향이 변수로 남아 있다.

법사위	법사위/NNG
소속	소속/NNG
