# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.291
metadata : {}


# id : NWRW1800000056.291.1.1
[아침 햇발] 이재용에겐 ‘다행’, 삼성엔 ‘불행’

[아침	[/SS+아침/NNG
햇발]	햇발/NNG+]/SS
이재용에겐	이재용/NNP+에게/JKB+ㄴ/JX
‘다행’,	‘/SS+다행/NNG+’/SS+,/SP
삼성엔	삼성/NNP+에/JKB+ㄴ/JX
‘불행’	‘/SS+불행/NNG+’/SS


# id : NWRW1800000056.291.2.1
이재용 삼성전자 부회장의 할아버지 이병철 삼성그룹 창업주는 ‘5·16 군사 쿠데타’ 소식을 일본 도쿄 제국호텔에서 들었다.

이재용	이재용/NNP
삼성전자	삼성전자/NNP
부회장의	부회장/NNG+의/JKG
할아버지	할아버지/NNG
이병철	이병철/NNP
삼성그룹	삼성그룹/NNP
창업주는	창업주/NNG+는/JX
‘5·16	‘/SS+5/SN+·/SP+16/SN
군사	군사/NNG
쿠데타’	쿠데타/NNG+’/SS
소식을	소식/NNG+을/JKO
일본	일본/NNP
도쿄	도쿄/NNP
제국호텔에서	제국호텔/NNP+에서/JKB
들었다.	듣/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.291.2.2
‘부정축재자 1호’로 지목돼 귀국하면 바로 구속될 처지였던 그는 부정축재 재산 모두를 국가에 헌납하겠다고 발표했다.

‘부정축재자	‘/SS+부정/NNG+축재자/NNG
1호’로	1/SN+호/NNB+’/SS+로/JKB
지목돼	지목/NNG+되/XSV+어/EC
귀국하면	귀국/NNG+하/XSV+면/EC
바로	바로/MAG
구속될	구속/NNG+되/XSV+ㄹ/ETM
처지였던	처지/NNG+이/VCP+었/EP+던/ETM
그는	그/NP+는/JX
부정축재	부정/NNG+축재/NNG
재산	재산/NNG
모두를	모두/NNG+를/JKO
국가에	국가/NNG+에/JKB
헌납하겠다고	헌납/NNG+하/XSV+겠/EP+다고/EC
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.291.2.3
이어 귀국하자마자 박정희 국가재건최고회의 부의장을 만나 협조를 약속하고 구속을 피했다.

이어	이어/MAG
