# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.168
metadata : {}


# id : NWRW1800000038.168.1.1
재판만 5차례… 만삭아내 살해한 의사, 징역 20년

재판만	재판/NNG+만/JX
5차례…	5/SN+차례/NNG+…/SE
만삭아내	만삭/NNG+아내/NNG
살해한	살해/NNG+하/XSV+ㄴ/ETM
의사,	의사/NNG+,/SP
징역	징역/NNG
20년	20/SN+년/NNB


# id : NWRW1800000038.168.2.1
大法, 재상고심서 원심 확정… 목 주변 피부 까지고 멍 자국, 남편이 목 조른 증거로 인정

大法,	大法/SH+,/SP
재상고심서	재/XPN+상고심/NNG+서/JKB
원심	원심/NNG
확정…	확정/NNG+…/SE
목	목/NNG
주변	주변/NNG
피부	피부/NNG
까지고	까지/VV+고/EC
멍	멍/NNG
자국,	자국/NNG+,/SP
남편이	남편/NNG+이/JKS
조른	조르/VV+ㄴ/ETM
증거로	증거/NNG+로/JKB
인정	인정/NNG


# id : NWRW1800000038.168.3.1
대법원이 '만삭 의사부인 사망 사건' 범인은 남편 백모(33·의사)씨라고 확정했다.

대법원이	대/XPN+법원/NNG+이/JKS
'만삭	'/SS+만삭/NNG
의사부인	의사/NNG+부인/NNG
사망	사망/NNG
사건'	사건/NNG+'/SS
범인은	범인/NNG+은/JX
남편	남편/NNG
백모(33·의사)씨라고	백/NNP+모/NP+(/SS+33/SN+·/SP+의사/NNG+)/SS+씨/NNB+이/VCP+라고/EC
확정했다.	확정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.168.3.2
2011년 1월 발생한 이 사건은 유·무죄를 놓고 검찰과 남편 측이 치열한 법정 공방을 벌여 '한국판 OJ 심슨 사건'으로 불리기도 했다.

2011년	2011/SN+년/NNB
1월	1/SN+월/NNB
발생한	발생/NNG+하/XSV+ㄴ/ETM
이	이/MMD
사건은	사건/NNG+은/JX
유·무죄를	유·무죄/NNG+를/JKO
놓고	놓/VV+고/EC
검찰과	검찰/NNG+과/JC
남편	남편/NNG
측이	측/NNB+이/JKS
치열한	치열/NNG+하/XSA+ㄴ/ETM
법정	법정/NNG
공방을	공방/NNG+을/JKO
벌여	벌이/VV+어/EC
'한국판	'/SS+한국판/NNG
OJ	OJ/SL
심슨	심슨/NNP
사건'으로	사건/NNG+'/SS+으로/JKB
불리기도	불리/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.168.4.1
대법원 2부(주심 김소영)는 26일 만삭 아내 박모(당시 29세)씨를 살해한 혐의로 기소된 남편에 대한 재상고심에서 징역 20년을 선고한 원심을 확정했다.

대법원	대/XPN+법원/NNG
2부(주심	2/SN+부/NNB+(/SS+주심/NNG
김소영)는	김소영/NNP+)/SS+는/JX
26일	26/SN+일/NNB
만삭	만삭/NNG
아내	아내/NNG
박모(당시	박/NNP+모/NP+(/SS+당시/NNG
29세)씨를	29/SN+세/NNB+)/SS+씨/NNB+를/JKO
살해한	살해/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
기소된	기소/NNG+되/XSV+ㄴ/ETM
남편에	남편/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
재상고심에서	재/XPN+상고심/NNG+에서/JKB
징역	징역/NNG
20년을	20/SN+년/NNB+을/JKO
선고한	선고/NNG+하/XSV+ㄴ/ETM
원심을	원심/NNG+을/JKO
확정했다.	확정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.168.4.2
대법원이 이 사건에 대한 선고를 내리면서 가장 중요하게 판단한 부분은 △피해자의 사망 원인이 목졸림(액사·扼死)인지 △목을 조른 사람이 누구인지 두 가지다.

대법원이	대/XPN+법원/NNG+이/JKS
이	이/MMD
사건에	사건/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
선고를	선고/NNG+를/JKO
내리면서	내리/VV+면서/EC
가장	가장/MAG
중요하게	중요/NNG+하/XSA+게/EC
판단한	판단/NNG+하/XSV+ㄴ/ETM
부분은	부분/NNG+은/JX
△피해자의	△/SW+피해자/NNG+의/JKG
사망	사망/NNG
원인이	원인/NNG+이/JKS
목졸림(액사·扼死)인지	목/NNG+졸리/VV+ㅁ/ETN+(/SS+액사/NNG+·/SP+扼死/SH+)/SS+이/VCP+ㄴ지/EF
△목을	△/SW+목/NNG+을/JKO
조른	조르/VV+ㄴ/ETM
사람이	사람/NNG+이/JKS
누구인지	누구/NP+이/VCP+ㄴ지/EF
두	두/MMN
가지다.	가지/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.168.5.1
