# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.358
metadata : {}


# id : NWRW1800000022.358.1.1
[브리핑] 갤럽 영업비밀 빼돌린 前연구원 소환 조사

[브리핑]	[/SS+브리핑/NNG+]/SS
갤럽	갤럽/NNP
영업비밀	영업/NNG+비밀/NNG
빼돌린	빼돌리/VV+ㄴ/ETM
前연구원	前/SH+연구원/NNG
소환	소환/NNG
조사	조사/NNG


# id : NWRW1800000022.358.2.1
서울중앙지검 첨단범죄수사1부(부장 한찬식)는 여론조사기관인 한국갤럽의 영업비밀이 외국계 경쟁사로 유출됐다는 첩보를 입수하고 이 회사 전 연구원 최모씨를 소환조사하는 등 본격 수사에 들어갔다.

서울중앙지검	서울중앙지검/NNP
첨단범죄수사1부(부장	첨단/NNG+범죄/NNG+수사/NNG+1/SN+부/NNG+(/SS+부장/NNG
한찬식)는	한찬식/NNP+)/SS+는/JX
여론조사기관인	여론/NNG+조사/NNG+기관/NNG+이/VCP+ㄴ/ETM
한국갤럽의	한국갤럽/NNP+의/JKG
영업비밀이	영업/NNG+비밀/NNG+이/JKS
외국계	외국/NNG+계/XSN
경쟁사로	경쟁사/NNG+로/JKB
유출됐다는	유출/NNG+되/XSV+었/EP+다는/ETM
첩보를	첩보/NNG+를/JKO
입수하고	입수/NNG+하/XSV+고/EC
이	이/MMD
회사	회사/NNG
전	전/MMD
연구원	연구원/NNG
최모씨를	최/NNP+모/NP+씨/NNB+를/JKO
소환조사하는	소환/NNG+조사/NNG+하/XSV+는/ETM
등	등/NNB
본격	본격/NNG
수사에	수사/NNG+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.358.3.1
최씨는 한국갤럽에서 공공부문 여론조사본부 연구원으로 근무하다 지난해 말 다국적 여론조사기관인 N사의 사회공공조사 담당 국장으로 자리를 옮기면서, 한국갤럽에서 관리하던 자료 일체를 빼돌린 것으로 검찰은 보고 있다.

최씨는	최/NNP+씨/NNB+는/JX
한국갤럽에서	한국갤럽/NNP+에서/JKB
공공부문	공공/NNG+부문/NNG
여론조사본부	여론/NNG+조사/NNG+본부/NNG
연구원으로	연구원/NNG+으로/JKB
근무하다	근무/NNG+하/XSV+다/EC
지난해	지난해/NNG
말	말/NNB
다국적	다국적/NNG
여론조사기관인	여론/NNG+조사/NNG+기관/NNG+이/VCP+ㄴ/ETM
N사의	N/SL+사/NNG+의/JKG
사회공공조사	사회/NNG+공공/NNG+조사/NNG
담당	담당/NNG
국장으로	국장/NNG+으로/JKB
자리를	자리/NNG+를/JKO
옮기면서,	옮기/VV+면서/EC+,/SP
관리하던	관리/NNG+하/XSV+던/ETM
자료	자료/NNG
일체를	일체/NNG+를/JKO
빼돌린	빼돌리/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
검찰은	검찰/NNG+은/JX
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.358.4.1
검찰은 이에 따라 지난 8일 N사를 압수수색해 최씨가 보관하던 서류와 컴퓨터 하드디스크 등을 확보한 데 이어, 최씨를 상대로 자료유출 경위 등을 집중 추궁했다.

검찰은	검찰/NNG+은/JX
이에	이/NP+에/JKB
따라	따르/VV+아/EC
지난	지나/VV+ㄴ/ETM
8일	8/SN+일/NNB
N사를	N/SL+사/NNG+를/JKO
압수수색해	압수/NNG+수색/NNG+하/XSV+아/EC
최씨가	최/NNP+씨/NNB+가/JKS
보관하던	보관/NNG+하/XSV+던/ETM
서류와	서류/NNG+와/JC
컴퓨터	컴퓨터/NNG
하드디스크	하드/NNG+디스크/NNG
등을	등/NNB+을/JKO
확보한	확보/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어,	잇/VV+어/EC+,/SP
최씨를	최/NNP+씨/NNB+를/JKO
상대로	상대/NNG+로/JKB
자료유출	자료/NNG+유출/NNG
경위	경위/NNG
집중	집중/NNG
추궁했다.	추궁/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.358.5.1
검찰은 소비자 조사 등 민간부문 여론조사를 전문으로 하던 N사가 최근 공공기관 여론조사로 사업을 확장하는 과정에서 최씨가 가져간 정보를 활용한 것으로 보고 있다.

검찰은	검찰/NNG+은/JX
소비자	소비자/NNG
조사	조사/NNG
등	등/NNB
민간부문	민간/NNG+부문/NNG
여론조사를	여론/NNG+조사/NNG+를/JKO
전문으로	전문/NNG+으로/JKB
하던	하/VV+던/ETM
N사가	N/SL+사/NNG+가/JKS
최근	최근/MAG
공공기관	공공/NNG+기관/NNG
여론조사로	여론/NNG+조사/NNG+로/JKB
사업을	사업/NNG+을/JKO
확장하는	확장/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
최씨가	최/NNP+씨/NNB+가/JKS
가져간	가져가/VV+ㄴ/ETM
정보를	정보/NNG+를/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


