# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.201
metadata : {}


# id : NWRW1800000049.201.1.1
지하주차장서 화물 싣고 내리라니…

지하주차장서	지하/NNG+주차장/NNG+서/JKB
화물	화물/NNG
싣고	싣/VV+고/EC
내리라니…	내리/VV+라니/EC+…/SE


# id : NWRW1800000049.201.2.1
가락시장, 새벽 피크타임 차량 400대 몰리는데 상인들 현대화 건물 이전 거부, 왜?

가락시장,	가락시장/NNP+,/SP
새벽	새벽/NNG
피크타임	피크/NNG+타임/NNG
차량	차량/NNG
400대	400/SN+대/NNB
몰리는데	몰리/VV+는데/EC
상인들	상인/NNG+들/XSN
현대화	현대/NNG+화/XSN
건물	건물/NNG
이전	이전/NNG
거부,	거부/NNG+,/SP
왜?	왜/MAG+?/SF


# id : NWRW1800000049.201.3.1
“새 건물 지하에서는 장사 못 해요.”

“새	“/SS+새/MMA
건물	건물/NNG
지하에서는	지하/NNG+에서/JKB+는/JX
장사	장사/NNG
못	못/MAG
해요.”	하/VV+아요/EF+./SF+”/SS


# id : NWRW1800000049.201.4.1
서울 송파구 가락시장에서 30년째 양파 중간도매업을 하고 있는 임재도 씨(66)는 “새 건물로 왜 안 들어가느냐”는 질문에 손을 내저었다.

서울	서울/NNP
송파구	송파구/NNP
가락시장에서	가락시장/NNP+에서/JKB
30년째	30/SN+년/NNB+째/XSN
양파	양파/NNG
중간도매업을	중간/NNG+도매업/NNG+을/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
임재도	임재도/NNP
씨(66)는	씨/NNB+(/SS+66/SN+)/SS+는/JX
“새	“/SS+새/MMA
건물로	건물/NNG+로/JKB
왜	왜/MAG
안	안/MAG
들어가느냐”는	들어가/VV+느냐/EF+”/SS+는/ETM
질문에	질문/NNG+에/JKB
손을	손/NNG+을/JKO
내저었다.	내젓/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.201.4.2
서울시농수산식품공사는 1985년 세워진 가락시장을 현대화하기 위해 2009년부터 3단계에 걸친 시설 현대화 사업을 추진 중이다.

서울시농수산식품공사는	서울시농수산식품공사/NNP+는/JX
1985년	1985/SN+년/NNB
세워진	세우/VV+어/EC+지/VX+ㄴ/ETM
가락시장을	가락시장/NNP+을/JKO
현대화하기	현대/NNG+화/XSN+하/XSV+기/ETN
위해	위하/VV+아/EC
2009년부터	2009/SN+년/NNB+부터/JX
3단계에	3/SN+단계/NNG+에/JKB
걸친	걸치/VV+ㄴ/ETM
시설	시설/NNG
현대화	현대/NNG+화/XSN
사업을	사업/NNG+을/JKO
추진	추진/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.201.4.3
1단계 사업으로 사업비 2806억 원을 들여 총면적 21만958m² 규모의 가락몰을 올 1월 완공했다.

