# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.178
metadata : {}


# id : NWRW1800000038.178.1.1
현직 검사 책상에서 1000여만원 現金뭉치 발견

현직	현직/NNG
검사	검사/NNG
책상에서	책상/NNG+에서/JKB
1000여만원	1000/SN+여/XSN+만/NR+원/NNB
現金뭉치	現金/SH+뭉치/NNG
발견	발견/NNG


# id : NWRW1800000038.178.2.1
광주고검 보안점검하다가 찾아내… 대검서 감찰 나서

광주고검	광주고검/NNP
보안점검하다가	보안/NNG+점검/NNG+하/XSV+다가/EC
찾아내…	찾아내/VV+어/EC+…/SE
대검서	대검/NNG+서/JKB
감찰	감찰/NNG
나서	나서/VV+어/EF


# id : NWRW1800000038.178.3.1
검찰청에서 일하는 검사의 사무실 책상에서 거액의 돈뭉치가 발견돼 대검 감찰본부(본부장 이준호)가 감찰 중인 것으로 26일 확인됐다.

검찰청에서	검찰청/NNG+에서/JKB
일하는	일/NNG+하/XSV+는/ETM
검사의	검사/NNG+의/JKG
사무실	사무실/NNG
책상에서	책상/NNG+에서/JKB
거액의	거액/NNG+의/JKG
돈뭉치가	돈뭉치/NNG+가/JKS
발견돼	발견/NNG+되/XSV+어/EC
대검	대검/NNG
감찰본부(본부장	감찰/NNG+본부/NNG+(/SS+본부장/NNG
이준호)가	이준호/NNP+)/SS+가/JKS
감찰	감찰/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
26일	26/SN+일/NNB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.178.4.1
검찰에 따르면 최근 광주고검은 A검사가 일하는 검찰청에 대한 '보안점검'을 했다.

검찰에	검찰/NNG+에/JKB
따르면	따르/VV+면/EC
최근	최근/MAG
광주고검은	광주고검/NNP+은/JX
A검사가	A/SL+검사/NNG+가/JKS
일하는	일/NNG+하/XSV+는/ETM
검찰청에	검찰청/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
'보안점검'을	'/SS+보안/NNG+점검/NNG+'/SS+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.178.5.1
보안점검은 검찰청 업무가 잘 이뤄지고 있는지, 공무원으로서 소지하지 말아야 할 물건을 갖고 있지 않는지, 출근은 정확한 시간에 하고 있는지 등에 대해 불시에 하는 조사를 말한다.

보안점검은	보안/NNG+점검/NNG+은/JX
검찰청	검찰청/NNG
업무가	업무/NNG+가/JKS
잘	잘/MAG
이뤄지고	이뤄지/VV+고/EC
있는지,	있/VX+는지/EF+,/SP
공무원으로서	공무원/NNG+으로서/JKB
소지하지	소지/NNG+하/XSV+지/EC
말아야	말/VX+아야/EC
할	하/VX+ㄹ/ETM
물건을	물건/NNG+을/JKO
갖고	갖/VV+고/EC
있지	있/VX+지/EC
않는지,	않/VX+는지/EF+,/SP
출근은	출근/NNG+은/JX
정확한	정확/NNG+하/XSA+ㄴ/ETM
시간에	시간/NNG+에/JKB
하고	하/VV+고/EC
있는지	있/VX+는지/EF
등에	등/NNB+에/JKB
대해	대하/VV+아/EC
불시에	불시/NNG+에/JKB
하는	하/VV+는/ETM
조사를	조사/NNG+를/JKO
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.178.6.1
광주고검은 점검 중 A검사 책상 안에서 서류봉투를 발견했고, 봉투 안에는 현금 5만원권으로 1000여만원 정도가 있었다.

광주고검은	광주고검/NNP+은/JX
점검	점검/NNG
중	중/NNB
A검사	A/SL+검사/NNG
책상	책상/NNG
안에서	안/NNG+에서/JKB
서류봉투를	서류/NNG+봉투/NNG+를/JKO
발견했고,	발견/NNG+하/XSV+았/EP+고/EC+,/SP
