# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.74
metadata : {}


# id : NWRW1800000048.74.1.1
책·꽃 온라인 쇼핑 계속 ‘시들’

책·꽃	책/NNG+·/SP+꽃/NNG
온라인	온라인/NNG
쇼핑	쇼핑/NNG
계속	계속/MAG
‘시들’	‘/SS+시들/XR+’/SS


# id : NWRW1800000048.74.2.1
도서정가제·선물 선호도 변화 영향

도서정가제·선물	도서/NNG+정가/NNG+제/XSN+·/SP+선물/NNG
선호도	선호도/NNG
변화	변화/NNG
영향	영향/NNG


# id : NWRW1800000048.74.3.1
담뱃값 올라 편의점 매출 ‘쑥쑥’

담뱃값	담뱃값/NNG
올라	오르/VV+아/EC
편의점	편의점/NNG
매출	매출/NNG
‘쑥쑥’	‘/SS+쑥쑥/MAG+’/SS


# id : NWRW1800000048.74.4.1
올해 들어 책과 꽃 판매는 계속 줄고, 담뱃값 인상으로 편의점 매출은 고공행진을 하고 있는 것으로 나타났다.

올해	올해/NNG
들어	들/VV+어/EC
책과	책/NNG+과/JC
꽃	꽃/NNG
판매는	판매/NNG+는/JX
계속	계속/MAG
줄고,	줄/VV+고/EC+,/SP
담뱃값	담뱃값/NNG
인상으로	인상/NNG+으로/JKB
편의점	편의점/NNG
매출은	매출/NNG+은/JX
고공행진을	고공/NNG+행진/NNG+을/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.74.5.1
2일 통계청이 발표한 ‘9월 소매 판매 및 온라인 쇼핑 동향’ 자료를 보면, ‘서적 및 문구’ 제품은 4300억이 팔려 지난해 같은 기간(5260억)보다 6.6% 감소했다.

2일	2/SN+일/NNB
통계청이	통계청/NNG+이/JKS
발표한	발표/NNG+하/XSV+ㄴ/ETM
‘9월	‘/SS+9/SN+월/NNB
소매	소매/NNG
판매	판매/NNG
및	및/MAG
온라인	온라인/NNG
쇼핑	쇼핑/NNG
동향’	동향/NNG+’/SS
자료를	자료/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
‘서적	‘/SS+서적/NNG
문구’	문구/NNG+’/SS
제품은	제품/NNG+은/JX
4300억이	4300/SN+억/NR+이/JKS
팔려	팔리/VV+어/EC
지난해	지난해/NNG
같은	같/VA+은/ETM
기간(5260억)보다	기간/NNG+(/SS+5260/SN+억/NR+)/SS+보다/JKB
6.6%	6/SN+./SP+6/SN+%/SW
감소했다.	감소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.74.6.1
책과 꽃 판매 감소는 올해 들어 지속적으로 나타나고 있다.

책과	책/NNG+과/JC
꽃	꽃/NNG
판매	판매/NNG
감소는	감소/NNG+는/JX
올해	올해/NNG
들어	들/VV+어/EC
지속적으로	지속/NNG+적/XSN+으로/JKB
나타나고	나타나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.74.6.2
2월에는 무려 10%나 줄었다.

2월에는	2/SN+월/NNB+에/JKB+는/JX
무려	무려/MAG
10%나	10/SN+%/SW+나/JX
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.74.6.3
온라인을 통한 책 판매가 줄어든 것이 영향을 줬다.

온라인을	온라인/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
책	책/NNG
판매가	판매/NNG+가/JKS
줄어든	줄어들/VV+ㄴ/ETM
것이	것/NNB+이/JKS
영향을	영향/NNG+을/JKO
줬다.	주/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.74.6.4
온라인 쇼핑 거래액을 보면, 책은 올 1분기 -13%, 2분기 -4.5%, 3분기 -12.7%로 판매가 큰 폭으로 감소했다.

온라인	온라인/NNG
쇼핑	쇼핑/NNG
거래액을	거래액/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
책은	책/NNG+은/JX
올	올/NNG
1분기	1/SN+분기/NNG
-13%,	-/SW+13/SN+%/SW+,/SP
2분기	2/SN+분기/NNG
-4.5%,	-/SW+4/SN+./SP+5/SN+%/SW+,/SP
3분기	3/SN+분기/NNG
-12.7%로	-/SW+12/SN+./SP+7/SN+%/SW+로/JKB
판매가	판매/NNG+가/JKS
큰	크/VA+ㄴ/ETM
폭으로	폭/NNG+으로/JKB
감소했다.	감소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.74.6.5
통계청 담당자는 “지난해 11월 도서정가제가 시행된 것이 주된 원인으로 작용한 것 같다”고 말했다.

통계청	통계청/NNG
담당자는	담당자/NNG+는/JX
“지난해	“/SS+지난해/NNG
11월	11/SN+월/NNB
도서정가제가	도서/NNG+정가/NNG+제/XSN+가/JKS
시행된	시행/NNG+되/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
주된	주/NNG+되/XSV+ㄴ/ETM
원인으로	원인/NNG+으로/JKB
작용한	작용/NNG+하/XSV+ㄴ/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.74.6.6
도서정가제는 대형서점에서 책을 대폭 할인해 판매하는 등 과당경쟁을 막기 위해 도입한 제도로 모든 도서를 종류와 관계없이 정가의 10%까지만 할인할 수 있도록 했다.

도서정가제는	도서/NNG+정가/NNG+제/XSN+는/JX
대형서점에서	대형/NNG+서점/NNG+에서/JKB
책을	책/NNG+을/JKO
대폭	대폭/MAG
할인해	할인/NNG+하/XSV+아/EC
판매하는	판매/NNG+하/XSV+는/ETM
등	등/NNB
과당경쟁을	과당/NNG+경쟁/NNG+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
도입한	도입/NNG+하/XSV+ㄴ/ETM
제도로	제도/NNG+로/JKB
모든	모든/MMN
도서를	도서/NNG+를/JKO
종류와	종류/NNG+와/JKB
관계없이	관계없이/MAG
정가의	정가/NNG+의/JKG
10%까지만	10/SN+%/SW+까지/JX+만/JX
할인할	할인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.74.7.1
꽃 판매도 줄어들고 있다.

꽃	꽃/NNG
판매도	판매/NNG+도/JX
줄어들고	줄어들/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.74.7.2
온라인을 통한 꽃 판매는 올해 3분기 61억8700만원으로 지난해 같은 기간(77억4600만원)보다 20.1% 줄었다.

온라인을	온라인/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
꽃	꽃/NNG
판매는	판매/NNG+는/JX
올해	올해/NNG
3분기	3/SN+분기/NNG
61억8700만원으로	61/SN+억/NR+8700/SN+만/NR+원/NNB+으로/JKB
지난해	지난해/NNG
같은	같/VA+은/ETM
기간(77억4600만원)보다	기간/NNG+(/SS+77/SN+억/NR+4600/SN+만/NR+원/NNB+)/SS+보다/JKB
