# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.183
metadata : {}


# id : NWRW1800000028.183.1.1
삼라만상 소리 내는 ‘절창’ 여깄소

삼라만상	삼라만상/NNG
소리	소리/NNG
내는	내/VV+는/ETM
‘절창’	‘/SS+절창/NNG+’/SS
여깄소	여기/NP+있/VA+소/EF


# id : NWRW1800000028.183.2.1
판소리 명창은 목소리로 삼라만상의 소리를 낸다.

판소리	판소리/NNG
명창은	명창/NNG+은/JX
목소리로	목소리/NNG+로/JKB
삼라만상의	삼라만상/NNG+의/JKG
소리를	소리/NNG+를/JKO
낸다.	내/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.183.2.2
오랜 소리 공부로 목이 트여 모든 음을 자유자재로 구사할 수 있는 득음의 경지에 올라야 명창의 반열에 설 수 있다.

오랜	오랜/MMA
소리	소리/NNG
공부로	공부/NNG+로/JKB
목이	목/NNG+이/JKS
트여	트이/VV+어/EC
모든	모든/MMN
음을	음/NNG+을/JKO
자유자재로	자유자재/NNG+로/JKB
구사할	구사/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
득음의	득음/NNG+의/JKG
경지에	경지/NNG+에/JKB
올라야	오르/VV+아야/EC
명창의	명창/NNG+의/JKG
반열에	반열/NNG+에/JKB
설	서/VV+ㄹ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.183.2.3
판소리를 집대성한 신재효는 광대의 네 가지 구비조건을 묘사한 ‘광대가’에서 득음을 “오음(五音)을 분별하고 육률(六律)을 변화하여 오장에서 나는 소리를 농악하여 자아내는 것”이라고 표현했다.

판소리를	판소리/NNG+를/JKO
집대성한	집대성/NNG+하/XSV+ㄴ/ETM
신재효는	신재효/NNP+는/JX
광대의	광대/NNG+의/JKG
네	네/MMN
가지	가지/NNB
구비조건을	구비/NNG+조건/NNG+을/JKO
묘사한	묘사/NNG+하/XSV+ㄴ/ETM
‘광대가’에서	‘/SS+광대가/NNP+’/SS+에서/JKB
득음을	득음/NNG+을/JKO
“오음(五音)을	“/SS+오음/NNG+(/SS+五音/SH+)/SS+을/JKO
분별하고	분별/NNG+하/XSV+고/EC
육률(六律)을	육률/NNG+(/SS+六律/SH+)/SS+을/JKO
변화하여	변화/NNG+하/XSV+아/EC
오장에서	오장/NNG+에서/JKB
나는	나/VV+는/ETM
소리를	소리/NNG+를/JKO
농악하여	농악/NNG+하/XSV+아/EC
자아내는	자아내/VV+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
표현했다.	표현/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.183.3.1
이 득음의 경지는 얼마나 어려운 것일까?

이	이/MMD
득음의	득음/NNG+의/JKG
경지는	경지/NNG+는/JX
얼마나	얼마나/MAG
어려운	어렵/VA+ㄴ/ETM
것일까?	것/NNB+이/VCP+ㄹ까/EF+?/SF


# id : NWRW1800000028.183.3.2
“같은 음정이고 가사이고 장단이라도 유난히도 소리가 특별히 잘 될 때가 있어.

“같은	“/SS+같/VA+은/ETM
음정이고	음정/NNG+이/VCP+고/EC
가사이고	가사/NNG+이/VCP+고/EC
장단이라도	장단/NNG+이/VCP+라도/EC
유난히도	유난히/MAG+도/JX
소리가	소리/NNG+가/JKC
특별히	특별히/MAG
잘	잘/MAG
될	되/VV+ㄹ/ETM
때가	때/NNG+가/JKS
있어.	있/VA+어/EF+./SF


# id : NWRW1800000028.183.3.3
그것을 ‘앵긴다’라고 하는데 저도 모르게 음이 나오고 전체 분위기를 휘어잡게 되지.”

그것을	그것/NP+을/JKO
‘앵긴다’라고	‘/SS+앵기/VV+ㄴ다/EF+’/SS+라고/JKQ
하는데	하/VV+는데/EC
저도	저/NP+도/JX
모르게	모르/VV+게/EC
음이	음/NNG+이/JKS
나오고	나오/VV+고/EC
전체	전체/NNG
분위기를	분위기/NNG+를/JKO
휘어잡게	휘어잡/VV+게/EC
되지.”	되/VV+지/EF+./SF+”/SS


# id : NWRW1800000028.183.3.4
중요무형문화재 제5호 판소리 <심청가> 예능보유자 성창순(77) 명창은 “득음의 경지는 나 자신도 60년 동안 두어 번밖에 없었다”고 털어놓았다.

중요무형문화재	중요/NNG+무형/NNG+문화재/NNG
제5호	제/XPN+5/SN+호/NNB
판소리	판소리/NNG
<심청가>	</SS+심청가/NNP+>/SS
예능보유자	예능/NNG+보유자/NNG
성창순(77)	성창순/NNP+(/SS+77/SN+)/SS
