# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.290
metadata : {}


# id : NWRW1800000026.290.1.1
[Sports 사이언스] 골프에도 아바타가 있다;모든 동작 입체분석, 스윙 문제점 한눈에 잡아내

[Sports	[/SS+Sports/SL
사이언스]	사이언스/NNG+]/SS
골프에도	골프/NNG+에/JKB+도/JX
아바타가	아바타/NNG+가/JKS
있다;모든	있/VA+다/EF+;/SP+모든/MMN
동작	동작/NNG
입체분석,	입체/NNG+분석/NNG+,/SP
스윙	스윙/NNG
문제점	문제점/NNG
한눈에	한눈/NNG+에/JKB
잡아내	잡아내/VV+어/EF


# id : NWRW1800000026.290.2.1
골프 스윙에 걸리는 시간은 2초 안팎이다.

골프	골프/NNG
스윙에	스윙/NNG+에/JKB
걸리는	걸리/VV+는/ETM
시간은	시간/NNG+은/JX
2초	2/SN+초/NNB
안팎이다.	안팎/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.290.2.2
그 짧은 시간에 어떤 동작을 취하느냐에 따라 공이 마음먹은 대로 가기도 하고 좌우로 엄청나게 벗어난다.

그	그/MMD
짧은	짧/VA+은/ETM
시간에	시간/NNG+에/JKB
어떤	어떤/MMD
동작을	동작/NNG+을/JKO
취하느냐에	취하/VV+느냐/EF+에/JKB
따라	따르/VV+아/EC
공이	공/NNG+이/JKS
마음먹은	마음먹/VV+은/ETM
대로	대로/NNB
가기도	가/VV+기/ETN+도/JX
하고	하/VX+고/EC
좌우로	좌우/NNG+로/JKB
엄청나게	엄청나/VA+게/EC
벗어난다.	벗어나/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.290.2.3
'마음 따로, 몸 따로'란 말이 있는데 몸이 말을 듣지 않는 건 골프도 마찬가지다.

'마음	'/SS+마음/NNG
따로,	따로/MAG+,/SP
몸	몸/NNG
따로'란	따로/MAG+'/SS+이/VCP+란/ETM
말이	말/NNG+이/JKS
있는데	있/VA+는데/EC
몸이	몸/NNG+이/JKS
말을	말/NNG+을/JKO
듣지	듣/VV+지/EC
않는	않/VX+는/ETM
건	거/NNB+ㄴ/JX
골프도	골프/NNG+도/JX
마찬가지다.	마찬가지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.290.3.1
어드레스, 백스윙, 다운스윙, 임팩트, 팔로 스루, 피니시까지를 뜯어보며 문제점을 고칠 수 있다면…, 가장 닮고 싶은 프로와 나란히 스윙 연습을 할 수 있다면….

어드레스,	어드레스/NNG+,/SP
백스윙,	백스윙/NNG+,/SP
다운스윙,	다운스윙/NNG+,/SP
임팩트,	임팩트/NNG+,/SP
팔로	팔로/NNG
스루,	스루/NNG+,/SP
피니시까지를	피니시/NNG+까지/JX+를/JKO
뜯어보며	뜯어보/VV+며/EC
문제점을	문제점/NNG+을/JKO
고칠	고치/VV+ㄹ/ETM
수	수/NNB
있다면…,	있/VA+다면/EC+…/SE+,/SP
가장	가장/MAG
닮고	닮/VV+고/EC
싶은	싶/VX+은/ETM
프로와	프로/NNG+와/JKB
나란히	나란히/MAG
스윙	스윙/NNG
연습을	연습/NNG+을/JKO
할	하/VV+ㄹ/ETM
있다면….	있/VA+다면/EC+…/SE+./SF


# id : NWRW1800000026.290.3.2
이런 꿈을 '스윙 아바타'를 통해 이룰 수도 있다.

이런	이런/MMD
꿈을	꿈/NNG+을/JKO
'스윙	'/SS+스윙/NNG
아바타'를	아바타/NNG+'/SS+를/JKO
통해	통하/VV+아/EC
이룰	이루/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.290.4.1
■스윙 아바타 만들기

■스윙	■/SW+스윙/NNG
아바타	아바타/NNG
만들기	만들/VV+기/ETN


# id : NWRW1800000026.290.5.1
영화 '아바타'에선 자기 아바타에 의식을 주입하려 특수 제작 캡슐에 들어간다.

영화	영화/NNG
'아바타'에선	'/SS+아바타/NNP+'/SS+에서/JKB+ㄴ/JX
자기	자기/NP
아바타에	아바타/NNG+에/JKB
의식을	의식/NNG+을/JKO
주입하려	주입/NNG+하/XSV+려/EC
특수	특수/NNG
제작	제작/NNG
캡슐에	캡슐/NNG+에/JKB
들어간다.	들어가/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.290.5.2
골프용품업체 테일러메이드의 스윙 분석 시스템인 '매트'에서는 28개의 센서를 골퍼의 몸에 부착한다.

골프용품업체	골프용품/NNG+업체/NNG
테일러메이드의	테일러메이드/NNP+의/JKG
스윙	스윙/NNG
분석	분석/NNG
시스템인	시스템/NNG+이/VCP+ㄴ/ETM
'매트'에서는	'/SS+매트/NNG+'/SS+에서/JKB+는/JX
28개의	28/SN+개/NNB+의/JKG
센서를	센서/NNG+를/JKO
골퍼의	골퍼/NNG+의/JKG
몸에	몸/NNG+에/JKB
부착한다.	부착/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.290.6.1
컴퓨터 화면엔 자기와 똑같은 신체조건의 가상 3D 이미지가 생성된다.

컴퓨터	컴퓨터/NNG
화면엔	화면/NNG+에/JKB+ㄴ/JX
자기와	자기/NP+와/JKB
똑같은	똑같/VA+은/ETM
신체조건의	신체/NNG+조건/NNG+의/JKG
가상	가상/NNG
3D	3/SN+D/SL
이미지가	이미지/NNG+가/JKS
생성된다.	생성/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.290.6.2
드라이버와 아이언을 7차례 스윙하는 동작이 천장에 달린 6~9대의 카메라에 포착된다.

드라이버와	드라이버/NNG+와/JC
아이언을	아이언/NNG+을/JKO
7차례	7/SN+차례/NNG
스윙하는	스윙/NNG+하/XSV+는/ETM
동작이	동작/NNG+이/JKS
천장에	천장/NNG+에/JKB
달린	달리/VV+ㄴ/ETM
6~9대의	6/SN+~/SO+9/SN+대/NNB+의/JKG
카메라에	카메라/NNG+에/JKB
포착된다.	포착/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.290.6.3
측정의 정밀성을 위해 나이, 키, 클럽 비거리 정보는 사전에 입력한다.

측정의	측정/NNG+의/JKG
정밀성을	정밀/NNG+성/XSN+을/JKO
위해	위하/VV+아/EC
나이,	나이/NNG+,/SP
키,	키/NNG+,/SP
클럽	클럽/NNG
비거리	비거리/NNG
정보는	정보/NNG+는/JX
사전에	사전/NNG+에/JKB
입력한다.	입력/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.290.7.1
이렇게 만든 3차원 '스윙 아바타'를 통해 모든 동작을 입체 분석한다.

이렇게	이렇/VA+게/EC
만든	만들/VV+ㄴ/ETM
3차원	3/SN+차원/NNG
'스윙	'/SS+스윙/NNG
아바타'를	아바타/NNG+'/SS+를/JKO
통해	통하/VV+아/EC
모든	모든/MMN
동작을	동작/NNG+을/JKO
입체	입체/NNG
분석한다.	분석/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.290.7.2
