# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.374
metadata : {}


# id : NWRW1800000054.374.1.1
419:1

419:1	419/SN+:/SP+1/SN


# id : NWRW1800000054.374.2.1
美하원 '초강력 대북제재案' 압도적 찬성으로 통과… 원유 공급금지 첫 포함, 北외화벌이 돈줄도 차단

美하원	美/SH+하원/NNG
'초강력	'/SS+초/XPN+강력/NNG
대북제재案'	대북/NNG+제재/NNG+案/SH+'/SS
압도적	압도/NNG+적/XSN
찬성으로	찬성/NNG+으로/JKB
통과…	통과/NNG+…/SE
원유	원유/NNG
공급금지	공급/NNG+금지/NNG
첫	첫/MMN
포함,	포함/NNG+,/SP
北외화벌이	北/SH+외화벌이/NNG
돈줄도	돈줄/NNG+도/JX
차단	차단/NNG


# id : NWRW1800000054.374.3.1
미국 하원은 4일(현지 시각) 북한에 대한 원유와 석유 제품 수출을 금지하고, 노동력 해외 송출과 어업권 판매 등 김정은 정권으로 들어가는 모든 자금줄을 차단하는 초강력 대북(對北) 제재 법안을 압도적 찬성으로 통과시켰다.

미국	미국/NNP
하원은	하원/NNG+은/JX
4일(현지	4/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
북한에	북한/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
원유와	원유/NNG+와/JC
석유	석유/NNG
제품	제품/NNG
수출을	수출/NNG+을/JKO
금지하고,	금지/NNG+하/XSV+고/EC+,/SP
노동력	노동력/NNG
해외	해외/NNG
송출과	송출/NNG+과/JC
어업권	어업/NNG+권/XSN
판매	판매/NNG
등	등/NNB
김정은	김정은/NNP
정권으로	정권/NNG+으로/JKB
들어가는	들어가/VV+는/ETM
모든	모든/MMN
자금줄을	자금줄/NNG+을/JKO
차단하는	차단/NNG+하/XSV+는/ETM
초강력	초/XPN+강력/NNG
대북(對北)	대북/NNG+(/SS+對北/SH+)/SS
제재	제재/NNG
법안을	법안/NNG+을/JKO
압도적	압도/NNG+적/XSN
찬성으로	찬성/NNG+으로/JKB
통과시켰다.	통과/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.374.3.2
대북 제재의 전권을 도널드 트럼프 행정부에 부여해 '최고 압박과 관여'라는 새 대북 정책을 의회 차원에서 지원하고 나선 것이다.

대북	대북/NNG
제재의	제재/NNG+의/JKG
전권을	전권/NNG+을/JKO
도널드	도널드/NNP
트럼프	트럼프/NNP
행정부에	행정부/NNG+에/JKB
부여해	부여/NNG+하/XSV+아/EC
'최고	'/SS+최고/NNG
압박과	압박/NNG+과/JC
관여'라는	관여/NNG+'/SS+이/VCP+라는/ETM
새	새/MMA
정책을	정책/NNG+을/JKO
의회	의회/NNG
차원에서	차원/NNG+에서/JKB
지원하고	지원/NNG+하/XSV+고/EC
나선	나서/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.374.4.1
미 하원은 이날 에드 로이스 외교위원장(공화)이 대표 발의한 '대북 차단 및 제재 현대화법'을 찬성 419명, 반대 1명으로 의결했다.

미	미/NNP
하원은	하원/NNG+은/JX
이날	이날/NNG
에드	에드/NNP
