# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.387
metadata : {}


# id : NWRW1800000056.387.1.1
[단독] 국정원, ‘박원순 제압 문건’ 공개 때도 ‘시나리오’ 만들어 수사 방해

[단독]	[/SS+단독/NNG+]/SS
국정원,	국정원/NNG+,/SP
‘박원순	‘/SS+박원순/NNP
제압	제압/NNG
문건’	문건/NNG+’/SS
공개	공개/NNG
때도	때/NNG+도/JX
‘시나리오’	‘/SS+시나리오/NNG+’/SS
만들어	만들/VV+어/EC
수사	수사/NNG
방해	방해/NNG


# id : NWRW1800000056.387.2.1
2013년 5월11일 박원순 제압문건 등 13개 문건 유출 확인 뒤

2013년	2013/SN+년/NNB
5월11일	5/SN+월/NNB+11/SN+일/NNB
박원순	박원순/NNP
제압문건	제압/NNG+문건/NNG
등	등/NNB
13개	13/SN+개/NNB
문건	문건/NNG
유출	유출/NNG
확인	확인/NNG
뒤	뒤/NNG


# id : NWRW1800000056.387.3.1
외부 문건 공개 정도에 따라 단계별 ‘거짓 대응 시나리오’ 마련

외부	외부/NNG
문건	문건/NNG
공개	공개/NNG
정도에	정도/NNG+에/JKB
따라	따르/VV+아/EC
단계별	단계/NNG+별/XSN
‘거짓	‘/SS+거짓/NNG
대응	대응/NNG
시나리오’	시나리오/NNG+’/SS
마련	마련/NNG


# id : NWRW1800000056.387.4.1
<한겨레> 첫 보도 이후 언론·검찰에 거짓말…검찰은 무혐의

<한겨레>	</SS+한겨레/NNP+>/SS
첫	첫/MMN
보도	보도/NNG
이후	이후/NNG
언론·검찰에	언론/NNG+·/SP+검찰/NNG+에/JKB
거짓말…검찰은	거짓말/NNG+…/SE+검찰/NNG+은/JX
무혐의	무/XPN+혐의/NNG


# id : NWRW1800000056.387.5.1
국가정보원이 2013년 ‘박원순 서울시장 제압 문건’이 외부에 공개되기 전에, 문건의 유출 사실을 파악하고 ‘거짓 대응 시나리오’를 작성했던 것으로 12일 확인됐다.

국가정보원이	국가/NNG+정보원/NNG+이/JKS
2013년	2013/SN+년/NNB
‘박원순	‘/SS+박원순/NNP
서울시장	서울시장/NNG
제압	제압/NNG
문건’이	문건/NNG+’/SS+이/JKS
외부에	외부/NNG+에/JKB
공개되기	공개/NNG+되/XSV+기/ETN
전에,	전/NNG+에/JKB+,/SP
문건의	문건/NNG+의/JKG
유출	유출/NNG
사실을	사실/NNG+을/JKO
파악하고	파악/NNG+하/XSV+고/EC
‘거짓	‘/SS+거짓/NNG
대응	대응/NNG
시나리오’를	시나리오/NNG+’/SS+를/JKO
작성했던	작성/NNG+하/XSV+았/EP+던/ETM
것으로	것/NNB+으로/JKB
12일	12/SN+일/NNB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.387.5.2
문건을 보도한 언론에는 작성 사실을 부인하고 이어진 수사에도 거짓말로 대응했으며, 이를 그대로 받아들인 검찰도 사건을 각하 처분했다.

문건을	문건/NNG+을/JKO
보도한	보도/NNG+하/XSV+ㄴ/ETM
언론에는	언론/NNG+에/JKB+는/JX
작성	작성/NNG
사실을	사실/NNG+을/JKO
부인하고	부인/NNG+하/XSV+고/EC
이어진	이어지/VV+ㄴ/ETM
수사에도	수사/NNG+에/JKB+도/JX
거짓말로	거짓말/NNG+로/JKB
대응했으며,	대응/NNG+하/XSV+았/EP+으며/EC+,/SP
이를	이/NP+를/JKO
그대로	그대로/MAG
받아들인	받아들이/VV+ㄴ/ETM
검찰도	검찰/NNG+도/JX
사건을	사건/NNG+을/JKO
각하	각하/NNG
처분했다.	처분/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.387.5.3
당시 진행됐던 ‘대선 댓글 개입’ 사건 수사방해와 닮은꼴이다.

당시	당시/NNG
진행됐던	진행/NNG+되/XSV+었/EP+던/ETM
‘대선	‘/SS+대선/NNG
댓글	댓글/NNG
개입’	개입/NNG+’/SS
사건	사건/NNG
수사방해와	수사/NNG+방해/NNG+와/JC
닮은꼴이다.	닮/VV+은/ETM+꼴/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.387.5.4
<한겨레> 취재 결과를 종합하면, 국정원 국익전략실은 2013년 5월11일 ‘서울시장 좌편향 시정운영 실태 및 대응방향’, ‘반값등록금 운동 차단’ 등 국정원 문건 13건이 외부로 유출됐다는 보고서를 작성했다.

<한겨레>	</SS+한겨레/NNP+>/SS
취재	취재/NNG
결과를	결과/NNG+를/JKO
종합하면,	종합/NNG+하/XSV+면/EC+,/SP
국정원	국정원/NNG
국익전략실은	국익/NNG+전략실/NNG+은/JX
2013년	2013/SN+년/NNB
5월11일	5/SN+월/NNB+11/SN+일/NNB
‘서울시장	‘/SS+서울시장/NNG
좌편향	좌편향/NNG
시정운영	시정/NNG+운영/NNG
실태	실태/NNG
및	및/MAG
대응방향’,	대응/NNG+방향/NNG+’/SS+,/SP
‘반값등록금	‘/SS+반값/NNG+등록금/NNG
운동	운동/NNG
차단’	차단/NNG+’/SS
등	등/NNB
문건	문건/NNG
13건이	13/SN+건/NNB+이/JKS
외부로	외부/NNG+로/JKB
유출됐다는	유출/NNG+되/XSV+었/EP+다는/ETM
보고서를	보고서/NNG+를/JKO
