# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.345
metadata : {}


# id : NWRW1800000033.345.1.1
도청사건 - 兵風의혹 - BBK… 5년마다 폭로전

도청사건	도청/NNG+사건/NNG
-	-/SO
兵風의혹	兵風/SH+의혹/NNG
BBK…	BBK/SL+…/SE
5년마다	5/SN+년/NNB+마다/JX
폭로전	폭로전/NNG


# id : NWRW1800000033.345.2.1
대선흐름 바꾸기도 했지만 상당수 허위거나 역풍 맞아

대선흐름	대선/NNG+흐름/NNG
바꾸기도	바꾸/VV+기/ETN+도/JX
했지만	하/VX+았/EP+지만/EC
상당수	상당수/NNG
허위거나	허위/NNG+이/VCP+거나/EC
역풍	역풍/NNG
맞아	맞/VV+아/EF


# id : NWRW1800000033.345.3.1
역대 대통령 선거 때마다 각종 폭로가 끊이지 않았다.

역대	역대/NNG
대통령	대통령/NNG
선거	선거/NNG
때마다	때/NNG+마다/JX
각종	각종/NNG
폭로가	폭로/NNG+가/JKS
끊이지	끊이/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.345.3.2
이 중에는 대선의 흐름을 바꾼 메가톤급 폭로도 적잖았지만 상당수는 나중에 허위로 밝혀지기도 했다.

이	이/NP
중에는	중/NNB+에/JKB+는/JX
대선의	대선/NNG+의/JKG
흐름을	흐름/NNG+을/JKO
바꾼	바꾸/VV+ㄴ/ETM
메가톤급	메가톤급/NNG
폭로도	폭로/NNG+도/JX
적잖았지만	적잖/VA+았/EP+지만/EC
상당수는	상당수/NNG+는/JX
나중에	나중/NNG+에/JKB
허위로	허위/NNG+로/JKB
밝혀지기도	밝혀지/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.345.4.1
1992년 대선에서 정주영 후보 측은 부산 지역 정부기관 기관장들이 모여 지역감정을 부추기고 선거에 개입하는 내용의 대화를 나눈 것을 몰래 녹음한 내용을 공개했다.

1992년	1992/SN+년/NNB
대선에서	대선/NNG+에서/JKB
정주영	정주영/NNP
후보	후보/NNG
측은	측/NNB+은/JX
부산	부산/NNP
지역	지역/NNG
정부기관	정부/NNG+기관/NNG
기관장들이	기관장/NNG+들/XSN+이/JKS
모여	모이/VV+어/EC
지역감정을	지역감정/NNG+을/JKO
부추기고	부추기/VV+고/EC
선거에	선거/NNG+에/JKB
개입하는	개입/NNG+하/XSV+는/ETM
내용의	내용/NNG+의/JKG
대화를	대화/NNG+를/JKO
나눈	나누/VV+ㄴ/ETM
것을	것/NNB+을/JKO
몰래	몰래/MAG
녹음한	녹음/NNG+하/XSV+ㄴ/ETM
내용을	내용/NNG+을/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.345.4.2
이른바 ‘초원복집 도청사건’이다.

이른바	이른바/MAG
‘초원복집	‘/SS+초원복집/NNP
도청사건’이다.	도청/NNG+사건/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000033.345.4.3
명백한 선거법 위반으로 여권의 김영삼 후보를 곤경에 빠뜨리기 위한 정 후보 측의 기획성 폭로였다.

명백한	명백하/VA+ㄴ/ETM
선거법	선거법/NNG
위반으로	위반/NNG+으로/JKB
여권의	여권/NNG+의/JKG
김영삼	김영삼/NNP
후보를	후보/NNG+를/JKO
곤경에	곤경/NNG+에/JKB
빠뜨리기	빠뜨리/VV+기/ETN
위한	위하/VV+ㄴ/ETM
정	정/NNP
후보	후보/NNG
측의	측/NNB+의/JKG
기획성	기획/NNG+성/XSN
폭로였다.	폭로/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.345.4.4
그러나 결과는 불법감청에 대한 비판 여론과 함께 김 후보 지지표를 결집시키는 역풍을 불러왔다.

그러나	그러나/MAJ
결과는	결과/NNG+는/JX
불법감청에	불법/NNG+감청/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
비판	비판/NNG
여론과	여론/NNG+과/JKB
함께	함께/MAG
김	김/NNP
후보	후보/NNG
지지표를	지지표/NNG+를/JKO
결집시키는	결집/NNG+시키/XSV+는/ETM
역풍을	역풍/NNG+을/JKO
불러왔다.	불러오/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.345.5.1
1997년 대선에서 당시 여당은 “김대중 후보가 365개의 가·차명 계좌에 입금액 기준으로 670억 원대의 비자금을 관리해 왔다.

1997년	1997/SN+년/NNB
대선에서	대선/NNG+에서/JKB
당시	당시/NNG
여당은	여당/NNG+은/JX
“김대중	“/SS+김대중/NNP
후보가	후보/NNG+가/JKS
365개의	365/SN+개/NNB+의/JKG
가·차명	가·차명/NNG
계좌에	계좌/NNG+에/JKB
입금액	입금액/NNG
기준으로	기준/NNG+으로/JKB
670억	670/SN+억/NR
원대의	원/NNB+대/XSN+의/JKG
비자금을	비자금/NNG+을/JKO
관리해	관리/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.345.5.2
일가친척들을 총동원해 각 은행 계좌로 분산해 돈을 넣었다”고 폭로했다.

일가친척들을	일가친척/NNG+들/XSN+을/JKO
총동원해	총동원/NNG+하/XSV+아/EC
각	각/MMD
은행	은행/NNG
계좌로	계좌/NNG+로/JKB
분산해	분산/NNG+하/XSV+아/EC
돈을	돈/NNG+을/JKO
넣었다”고	넣/VV+었/EP+다/EF+”/SS+고/JKQ
폭로했다.	폭로/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.345.5.3
여당은 검찰에 고발까지 했지만 김영삼 대통령의 결정으로 비자금 수사는 대선 이후로 보류됐다.

여당은	여당/NNG+은/JX
