# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.196
metadata : {}


# id : NWRW1800000046.196.1.1
김수남의 檢엔 '중수부'가 있다

김수남의	김수남/NNP+의/JKG
檢엔	檢/SH+에/JKB+ㄴ/JX
'중수부'가	'/SS+중수부/NNG+'/SS+가/JKS
있다	있/VA+다/EF


# id : NWRW1800000046.196.2.1
反부패 태스크포스 연초 출범… 팀장은 김기동 검사장 내정, 검찰총장 직할 수사팀 기능

反부패	反/SH+부패/NNG
태스크포스	태스크포스/NNG
연초	연초/NNG
출범…	출범/NNG+…/SE
팀장은	팀장/NNG+은/JX
김기동	김기동/NNP
검사장	검사장/NNG
내정,	내정/NNG+,/SP
검찰총장	검찰/NNG+총장/NNG
직할	직할/NNG
수사팀	수사/NNG+팀/NNG
기능	기능/NNG


# id : NWRW1800000046.196.3.1
검찰이 권력형 비리 등 대형 사건 수사를 전담할 태스크포스(TF) 조직을 대검 반부패부 산하에 신설하기로 한 것으로 28일 알려졌다.

검찰이	검찰/NNG+이/JKS
권력형	권력/NNG+형/XSN
비리	비리/NNG
등	등/NNB
대형	대형/NNG
사건	사건/NNG
수사를	수사/NNG+를/JKO
전담할	전담/NNG+하/XSV+ㄹ/ETM
태스크포스(TF)	태스크포스/NNG+(/SS+TF/SL+)/SS
조직을	조직/NNG+을/JKO
대검	대검/NNG
반부패부	반/XPN+부패부/NNG
산하에	산하/NNG+에/JKB
신설하기로	신설/NNG+하/XSV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
28일	28/SN+일/NNB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.196.3.2
내년 초 출범할 반부패 태스크포스(가칭)는 대검 반부패부의 지휘를 받게 돼 사실상 검찰총장의 직할 수사팀 기능을 하게 된다.

내년	내년/NNG
초	초/NNB
출범할	출범/NNG+하/XSV+ㄹ/ETM
반부패	반/XPN+부패/NNG
태스크포스(가칭)는	태스크포스/NNG+(/SS+가칭/NNG+)/SS+는/JX
대검	대검/NNG
반부패부의	반/XPN+부패부/NNG+의/JKG
지휘를	지휘/NNG+를/JKO
받게	받/VV+게/EC
돼	되/VV+어/EC
사실상	사실/NNG+상/XSN
검찰총장의	검찰/NNG+총장/NNG+의/JKG
직할	직할/NNG
수사팀	수사/NNG+팀/NNG
기능을	기능/NNG+을/JKO
하게	하/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.196.3.3
