# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.346
metadata : {}


# id : NWRW1800000028.346.1.1
‘부당공권력 희생자’ 명예회복 외면한 법원

‘부당공권력	‘/SS+부당/NNG+공권력/NNG
희생자’	희생자/NNG+’/SS
명예회복	명예/NNG+회복/NNG
외면한	외면/NNG+하/XSV+ㄴ/ETM
법원	법원/NNG


# id : NWRW1800000028.346.2.1
20여년 전 경찰의 가혹 행위로 사망한 20대 청년 문영수씨와 신호수씨가 국가를 상대로 한 손해배상 소송에서 잇따라 승소했다.

20여년	20/SN+여/XSN+년/NNB
전	전/NNG
경찰의	경찰/NNG+의/JKG
가혹	가혹/NNG
행위로	행위/NNG+로/JKB
사망한	사망/NNG+하/XSV+ㄴ/ETM
20대	20/SN+대/NNB
청년	청년/NNG
문영수씨와	문영수/NNP+씨/NNB+와/JC
신호수씨가	신호수/NNP+씨/NNB+가/JKS
국가를	국가/NNG+를/JKO
상대로	상대/NNG+로/JKB
한	하/VV+ㄴ/ETM
손해배상	손해/NNG+배상/NNG
소송에서	소송/NNG+에서/JKB
잇따라	잇따르/VV+아/EC
승소했다.	승소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.346.2.2
하지만 홀연히 사라졌다 주검으로 돌아온 형·아들의 죽음을, 대한민국은 온전히 인정하고 위로하지 않는다.

하지만	하지만/MAJ
홀연히	홀연히/MAG
사라졌다	사라지/VV+었/EP+다/EC
주검으로	주검/NNG+으로/JKB
돌아온	돌아오/VV+ㄴ/ETM
형·아들의	형/NNG+·/SP+아들/NNG+의/JKG
죽음을,	죽음/NNG+을/JKO+,/SP
대한민국은	대한민국/NNP+은/JX
온전히	온전히/MAG
인정하고	인정/NNG+하/XSV+고/EC
위로하지	위로/NNG+하/XSV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000028.346.2.3
경찰에게 맞아 숨진 뒤 시신이 대학 해부실로 보내진 문영수씨의 경우, 소멸시효 탓에 일부 손해배상만 인정받았다.

경찰에게	경찰/NNG+에게/JKB
맞아	맞/VV+아/EC
숨진	숨지/VV+ㄴ/ETM
뒤	뒤/NNG
시신이	시신/NNG+이/JKS
대학	대학/NNG
해부실로	해부실/NNG+로/JKB
보내진	보내/VV+지/EC+ㄴ/JX
문영수씨의	문영수/NNP+씨/NNB+의/JKG
경우,	경우/NNG+,/SP
소멸시효	소멸/NNG+시효/NNG
탓에	탓/NNG+에/JKB
일부	일부/NNG
손해배상만	손해/NNG+배상/NNG+만/JX
인정받았다.	인정/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.346.2.4
국가는 판결에 불복해 항소했다.

국가는	국가/NNG+는/JX
판결에	판결/NNG+에/JKB
불복해	불복/NNG+하/XSV+아/EC
항소했다.	항소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.346.2.5
