# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.10
metadata : {}


# id : NWRW1800000033.10.1.1
엔터株 ‘고평가’ 논란

엔터株	엔터/NNG+株/SH
‘고평가’	‘/SS+고/XPN+평가/NNG+’/SS
논란	논란/NNG


# id : NWRW1800000033.10.2.1
YG 4만원대로… “PER 높아 프리미엄 과다”

YG	YG/SL
4만원대로…	4/SN+만/NR+원/NNB+대/XSN+로/JKB+…/SE
“PER	“/SS+PER/SL
높아	높/VA+아/EC
프리미엄	프리미엄/NNG
과다”	과다/NNG+”/SS


# id : NWRW1800000033.10.3.1
지난해 하락장에서도 승승장구하던 엔터테인먼트주에 대한 ‘주가 고평가’ 논란이 일고 있다.

지난해	지난해/NNG
하락장에서도	하락장/NNG+에서/JKB+도/JX
승승장구하던	승승장구/NNG+하/XSV+던/ETM
엔터테인먼트주에	엔터테인먼트/NNG+주/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
‘주가	‘/SS+주가/NNG
고평가’	고/XPN+평가/NNG+’/SS
논란이	논란/NNG+이/JKS
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.10.3.2
변동성이 큰 엔터주의 기업가치를 감안할 때 주가가 지나치게 높은 것 아니냐는 지적이 나온다.

변동성이	변동/NNG+성/XSN+이/JKS
큰	크/VA+ㄴ/ETM
엔터주의	엔터/NNG+주/NNG+의/JKG
기업가치를	기업/NNG+가치/NNG+를/JKO
감안할	감안/NNG+하/XSV+ㄹ/ETM
때	때/NNG
주가가	주가/NNG+가/JKS
지나치게	지나치/VA+게/EC
높은	높/VA+은/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.10.4.1
13일 코스닥시장에서 YG엔터테인먼트는 전 거래일보다 2250원(4.35%) 내린 4만9450원에 거래를 마쳤다.

13일	13/SN+일/NNB
코스닥시장에서	코스닥/NNP+시장/NNG+에서/JKB
YG엔터테인먼트는	YG엔터테인먼트/NNP+는/JX
전	전/MMD
거래일보다	거래일/NNG+보다/JKB
2250원(4.35%)	2250/SN+원/NNB+(/SS+4/SN+./SP+35/SN+%/SW+)/SS
내린	내리/VV+ㄴ/ETM
4만9450원에	4/SN+만/NR+9450/SN+원/NNB+에/JKB
거래를	거래/NNG+를/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.10.4.2
연일 하락세가 이어진 가운데 2월 14일 이후 처음으로 4만 원대로 내려앉은 것.

연일	연일/MAG
하락세가	하락세/NNG+가/JKS
이어진	이어지/VV+ㄴ/ETM
가운데	가운데/NNG
2월	2/SN+월/NNB
14일	14/SN+일/NNB
이후	이후/NNG
처음으로	처음/NNG+으로/JKB
4만	4/SN+만/NR
원대로	원/NNB+대/XSN+로/JKB
내려앉은	내려앉/VV+은/ETM
것.	것/NNB+./SF


# id : NWRW1800000033.10.4.3
