# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.293
metadata : {}


# id : NWRW1800000026.293.1.1
[호남][캠퍼스 라이프] "중국인에게 선물은 짝수로 하라";'중국通을 향해 걷다' 전홍철 우석대교수 출간

[호남][캠퍼스	[/SS+호남/NNP+]/SS+[/SS+캠퍼스/NNG
라이프]	라이프/NNG+]/SS
"중국인에게	"/SS+중국인/NNG+에게/JKB
선물은	선물/NNG+은/JX
짝수로	짝수/NNG+로/JKB
하라";'중국通을	하/VV+라/EF+"/SS+;/SW+'/SS+중국/NNP+通/SH+을/JKO
향해	향하/VV+아/EC
걷다'	걷/VV+다/EF+'/SS
전홍철	전홍철/NNP
우석대교수	우석대/NNP+교수/NNG
출간	출간/NNG


# id : NWRW1800000026.293.2.1
중국인 파트너가 권하는 술은 어떻게 거절하나.

중국인	중국인/NNG
파트너가	파트너/NNG+가/JKS
권하는	권/NNG+하/XSV+는/ETM
술은	술/NNG+은/JX
어떻게	어떻/VA+게/EC
거절하나.	거절/NNG+하/XSV+나/EF+./SF


# id : NWRW1800000026.293.2.2
중국 연회 식탁에는 왜 젓가락이 두 벌씩 오르는가.

중국	중국/NNP
연회	연회/NNG
식탁에는	식탁/NNG+에/JKB+는/JX
왜	왜/MAG
젓가락이	젓가락/NNG+이/JKS
두	두/MMN
벌씩	벌/NNB+씩/XSN
오르는가.	오르/VV+는가/EF+./SF


# id : NWRW1800000026.293.3.1
전홍철 우석대 유통통상학부 교수는 중국인의 술을 사양하려면 손으로 가볍게 식탁을 두드리거나 술잔에 다른 음료를 채우면 된다고 일러준다.

전홍철	전홍철/NNP
우석대	우석대/NNP
유통통상학부	유통/NNG+통상/NNG+학부/NNG
교수는	교수/NNG+는/JX
중국인의	중국인/NNG+의/JKG
술을	술/NNG+을/JKO
사양하려면	사양/NNG+하/XSV+려면/EC
손으로	손/NNG+으로/JKB
가볍게	가볍/VA+게/EC
식탁을	식탁/NNG+을/JKO
두드리거나	두드리/VV+거나/EC
술잔에	술잔/NNG+에/JKB
다른	다른/MMD
음료를	음료/NNG+를/JKO
채우면	채우/VV+면/EC
