# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.150
metadata : {}


# id : NWRW1800000038.150.1.1
소수자 고용 챙겨야할 국회·교육청, 대기업보다도 장애인 고용률 낮아

소수자	소수자/NNG
고용	고용/NNG
챙겨야할	챙기/VV+어야/EC+하/VX+ㄹ/ETM
국회·교육청,	국회/NNG+·/SP+교육청/NNG+,/SP
대기업보다도	대/XPN+기업/NNG+보다/JKB+도/JX
장애인	장애인/NNG
고용률	고용/NNG+률/XSN
낮아	낮/VA+아/EF


# id : NWRW1800000038.150.2.1
국가기관 81%, 의무고용 위반… 경기교육청 1.01%로 최하위

국가기관	국가/NNG+기관/NNG
81%,	81/SN+%/SW+,/SP
의무고용	의무/NNG+고용/NNG
위반…	위반/NNG+…/SE
경기교육청	경기교육청/NNP
1.01%로	1/SN+./SP+01/SN+%/SW+로/JKB
최하위	최/XPN+하위/NNG


# id : NWRW1800000038.150.3.1
장애인 고용에 모범을 보여야 할 각 시도 교육청, 국회, 외교통상부 의 장애인 고용률이 국가기관 중에서 가장 낮은 것으로 조사됐다.

장애인	장애인/NNG
고용에	고용/NNG+에/JKB
모범을	모범/NNG+을/JKO
보여야	보이/VV+어야/EC
할	하/VX+ㄹ/ETM
각	각/MMD
시도	시도/NNG
교육청,	교육청/NNG+,/SP
국회,	국회/NNG+,/SP
외교통상부	외교/NNG+통상부/NNG
의	의/JKG
고용률이	고용/NNG+률/XSN+이/JKS
국가기관	국가/NNG+기관/NNG
중에서	중/NNB+에서/JKB
가장	가장/MAG
낮은	낮/VA+은/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.150.3.2
고용노동부는 국가기관·지자체 309곳의 장애인 고용 실태를 조사한 결과 작년 6월 기준 251곳(81.2%)이 법정 의무 고용률(3%)을 위반한 것으로 드러났다고 24일 밝혔다.

고용노동부는	고용/NNG+노동부/NNG+는/JX
국가기관·지자체	국가/NNG+기관/NNG+·/SP+지자체/NNG
309곳의	309/SN+곳/NNG+의/JKG
장애인	장애인/NNG
고용	고용/NNG
실태를	실태/NNG+를/JKO
조사한	조사/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
작년	작년/NNG
6월	6/SN+월/NNB
기준	기준/NNG
251곳(81.2%)이	251/SN+곳/NNG+(/SS+81/SN+./SP+2/SN+%/SW+)/SS+이/JKS
법정	법정/NNG
의무	의무/NNG
고용률(3%)을	고용/NNG+률/XSN+(/SS+3/SN+%/SW+)/SS+을/JKO
위반한	위반/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다고	드러나/VV+았/EP+다고/EC
24일	24/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.150.4.1
가장 낮은 곳은 경기교육청으로, 전체 공무원 8만9759명 중 2693명을 장애인으로 고용해야 하지만 908명을 고용해 장애인 고용률이 1.01%에 그쳤다.

가장	가장/MAG
낮은	낮/VA+은/ETM
곳은	곳/NNG+은/JX
경기교육청으로,	경기교육청/NNP+으로/JKB+,/SP
전체	전체/NNG
공무원	공무원/NNG
8만9759명	8/SN+만/NR+9759/SN+명/NNB
중	중/NNB
2693명을	2693/SN+명/NNB+을/JKO
장애인으로	장애인/NNG+으로/JKB
고용해야	고용/NNG+하/XSV+아야/EC
하지만	하/VX+지만/EC
908명을	908/SN+명/NNB+을/JKO
고용해	고용/NNG+하/XSV+아/EC
장애인	장애인/NNG
고용률이	고용/NNG+률/XSN+이/JKS
1.01%에	1/SN+./SP+01/SN+%/SW+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.150.4.2
전국 16개 시도 교육청이 모두 장애인 의무 고용률을 위반했다.

전국	전국/NNG
16개	16/SN+개/NNB
시도	시도/NNG
교육청이	교육청/NNG+이/JKS
모두	모두/MAG
장애인	장애인/NNG
의무	의무/NNG
고용률을	고용/NNG+률/XSN+을/JKO
위반했다.	위반/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.150.4.3
장애인 고용률 최하위 15곳 중에서도 국회와 외교통상부를 뺀 13곳이 교육청이었다.

장애인	장애인/NNG
고용률	고용/NNG+률/XSN
최하위	최/XPN+하위/NNG
15곳	15/SN+곳/NNG
중에서도	중/NNB+에서/JKB+도/JX
국회와	국회/NNG+와/JC
외교통상부를	외교/NNG+통상부/NNG+를/JKO
뺀	빼/VV+ㄴ/ETM
13곳이	13/SN+곳/NNG+이/JKS
교육청이었다.	교육청/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.150.5.1
16개 교육청의 장애인 고용률은 평균 1.44%로 근로자 1000명 이상 대기업(1.88%)이나 30대 그룹(1.84%)보다도 낮았다.

16개	16/SN+개/NNB
교육청의	교육청/NNG+의/JKG
장애인	장애인/NNG
고용률은	고용/NNG+률/XSN+은/JX
평균	평균/NNG
1.44%로	1/SN+./SP+44/SN+%/SW+로/JKB
근로자	근로자/NNG
1000명	1000/SN+명/NNB
이상	이상/NNG
대기업(1.88%)이나	대/XPN+기업/NNG+(/SS+1/SN+./SP+88/SN+%/SW+)/SS+이나/JC
30대	30/SN+대/NNG
그룹(1.84%)보다도	그룹/NNG+(/SS+1/SN+./SP+84/SN+%/SW+)/SS+보다/JKB+도/JX
낮았다.	낮/VA+았/EP+다/EF+./SF


# id : NWRW1800000038.150.5.2
충남교육청(1.24%)과 부산교육청(1.26%), 서울교육청(1.29%), 인천교육청(1.30%)도 최하위권이었다.

충남교육청(1.24%)과	충남교육청/NNP+(/SS+1/SN+./SP+24/SN+%/SW+)/SS+과/JC
부산교육청(1.26%),	부산교육청/NNP+(/SS+1/SN+./SP+26/SN+%/SW+)/SS+,/SP
서울교육청(1.29%),	서울교육청/NNP+(/SS+1/SN+./SP+29/SN+%/SW+)/SS+,/SP
인천교육청(1.30%)도	인천교육청/NNP+(/SS+1/SN+./SP+30/SN+%/SW+)/SS+도/JX
최하위권이었다.	최/XPN+하위/NNG+권/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.150.6.1
국회는 공무원 3974명 중 120명을 장애인으로 고용해야 하지만 55명(1.38%)에 그쳐 최하위권이었다.

국회는	국회/NNG+는/JX
공무원	공무원/NNG
3974명	3974/SN+명/NNB
중	중/NNB
120명을	120/SN+명/NNB+을/JKO
장애인으로	장애인/NNG+으로/JKB
고용해야	고용/NNG+하/XSV+아야/EC
하지만	하/VX+지만/EC
55명(1.38%)에	55/SN+명/NNB+(/SS+1/SN+./SP+38/SN+%/SW+)/SS+에/JKB
그쳐	그치/VV+어/EC
최하위권이었다.	최/XPN+하위/NNG+권/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.150.6.2
외교통상부도 공무원 2014명 중 61명을 장애인으로 고용해야 하지만 35명(1.74%)을 고용하는 데 그쳤다.

외교통상부도	외교/NNG+통상부/NNG+도/JX
공무원	공무원/NNG
2014명	2014/SN+명/NNB
중	중/NNB
61명을	61/SN+명/NNB+을/JKO
장애인으로	장애인/NNG+으로/JKB
고용해야	고용/NNG+하/XSV+아야/EC
하지만	하/VX+지만/EC
35명(1.74%)을	35/SN+명/NNB+(/SS+1/SN+./SP+74/SN+%/SW+)/SS+을/JKO
고용하는	고용/NNG+하/XSV+는/ETM
데	데/NNB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.150.7.1
반면에 지자체(3.78%)나 중앙 행정기관(3.2%)은 의무 고용률을 초과 달성했다.

반면에	반면/NNG+에/JKB
지자체(3.78%)나	지자체/NNG+(/SS+3/SN+./SP+78/SN+%/SW+)/SS+나/JC
중앙	중앙/NNG
행정기관(3.2%)은	행정/NNG+기관/NNG+(/SS+3/SN+./SP+2/SN+%/SW+)/SS+은/JX
의무	의무/NNG
고용률을	고용/NNG+률/XSN+을/JKO
초과	초과/NNG
달성했다.	달성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.150.8.1
의무 고용률을 어길 경우 해당 기관은 미달한 장애인 수만큼 매월 1인당 부담금 62만원을 내야 한다.

의무	의무/NNG
고용률을	고용/NNG+률/XSN+을/JKO
어길	어기/VV+ㄹ/ETM
경우	경우/NNG
해당	해당/NNG
기관은	기관/NNG+은/JX
미달한	미달/NNG+하/XSV+ㄴ/ETM
장애인	장애인/NNG
수만큼	수/NNG+만큼/JKB
매월	매월/MAG
1인당	1/SN+인/NNG+당/XSN
부담금	부담금/NNG
62만원을	62/SN+만/NR+원/NNB+을/JKO
내야	내/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.150.8.2
교육청은 2011년부터 조사 대상에 포함됐으며 16곳 모두 2년 연속으로 의무 고용률을 지키지 않고 있다.

교육청은	교육청/NNG+은/JX
2011년부터	2011/SN+년/NNB+부터/JX
조사	조사/NNG
대상에	대상/NNG+에/JKB
포함됐으며	포함/NNG+되/XSV+었/EP+으며/EC
16곳	16/SN+곳/NNG
모두	모두/MAG
2년	2/SN+년/NNB
연속으로	연속/NNG+으로/JKB
의무	의무/NNG
고용률을	고용/NNG+률/XSN+을/JKO
지키지	지키/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.150.8.3
이에 대해 서울교육청 관계자는 "장애인 교사를 확보하기 어려워 고용률을 급하게 올리기 어려운 측면이 있다"고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
서울교육청	서울교육청/NNP
관계자는	관계자/NNG+는/JX
"장애인	"/SS+장애인/NNG
교사를	교사/NNG+를/JKO
확보하기	확보/NNG+하/XSV+기/ETN
어려워	어렵/VA+어/EC
고용률을	고용/NNG+률/XSN+을/JKO
급하게	급하/VA+게/EC
올리기	올리/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
측면이	측면/NNG+이/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.150.9.1
한편, 공기업 등 공공기관 257곳 중에선 한국교육개발원, 한국과학기술기획평가원, 명동정동극장, 통일연구원, 창업진흥원 등이 장애인을 한 명도 고용하지 않은 것으로 조사됐다.

한편,	한편/MAG+,/SP
공기업	공기업/NNG
등	등/NNB
공공기관	공공/NNG+기관/NNG
257곳	257/SN+곳/NNG
중에선	중/NNB+에서/JKB+ㄴ/JX
한국교육개발원,	한국교육개발원/NNP+,/SP
한국과학기술기획평가원,	한국과학기술기획평가원/NNP+,/SP
명동정동극장,	명동/NNP+정동극장/NNP+,/SP
통일연구원,	통일/NNG+연구원/NNG+,/SP
창업진흥원	창업진흥원/NNP
등이	등/NNB+이/JKS
장애인을	장애인/NNG+을/JKO
한	한/MMN
명도	명/NNB+도/JX
고용하지	고용/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.150.9.2
한국농촌경제연구원(0.44%), 한국건설관리공사(0.49%), 대구경북과학기술원(0.66%), 서울대병원(0.74%), 한국표준협회(0.82%) 등도 고용률이 낮았다.

한국농촌경제연구원(0.44%),	한국농촌경제연구원/NNP+(/SS+0/SN+./SP+44/SN+%/SW+)/SS+,/SP
한국건설관리공사(0.49%),	한국건설관리공사/NNP+(/SS+0/SN+./SP+49/SN+%/SW+)/SS+,/SP
대구경북과학기술원(0.66%),	대구경북과학기술원/NNP+(/SS+0/SN+./SP+66/SN+%/SW+)/SS+,/SP
서울대병원(0.74%),	서울대병원/NNP+(/SS+0/SN+./SP+74/SN+%/SW+)/SS+,/SP
한국표준협회(0.82%)	한국표준협회/NNP+(/SS+0/SN+./SP+82/SN+%/SW+)/SS
등도	등/NNB+도/JX
고용률이	고용/NNG+률/XSN+이/JKS
낮았다.	낮/VA+았/EP+다/EF+./SF


