# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.42
metadata : {}


# id : NWRW1800000053.42.1.1
“시신 겹겹 쌓인 방에 가둬 인간의 악마성 끝을 봤다”

“시신	“/SS+시신/NNG
겹겹	겹겹/NNG
쌓인	쌓이/VV+ㄴ/ETM
방에	방/NNG+에/JKB
가둬	가두/VV+어/EC
인간의	인간/NNG+의/JKG
악마성	악마/NNG+성/XSN
끝을	끝/NNG+을/JKO
봤다”	보/VV+았/EP+다/EF+”/SS


# id : NWRW1800000053.42.2.1
알레포 15세 소년이 겪은 ‘시리아 감옥의 악몽’

알레포	알레포/NNP
15세	15/SN+세/NNB
소년이	소년/NNG+이/JKS
겪은	겪/VV+은/ETM
‘시리아	‘/SS+시리아/NNP
감옥의	감옥/NNG+의/JKG
악몽’	악몽/NNG+’/SS


# id : NWRW1800000053.42.3.1
“인간의 악마성이 얼마나 끔찍한지 그 끝을 봤어요.”

“인간의	“/SS+인간/NNG+의/JKG
악마성이	악마/NNG+성/XSN+이/JKS
얼마나	얼마나/MAG
끔찍한지	끔찍하/VA+ㄴ지/EF
그	그/MMD
끝을	끝/NNG+을/JKO
봤어요.”	보/VV+았/EP+어요/EF+./SF+”/SS


# id : NWRW1800000053.42.4.1
시리아 알레포 출신의 17세 청년이 2년 전 ‘인간 도살장’이라 불리는 다마스쿠스 북부 사이드나야 군사감옥 등에 10개월 동안 갇혀 있었던 경험을 되살리며 이렇게 적었다.

시리아	시리아/NNP
알레포	알레포/NNP
출신의	출신/NNG+의/JKG
17세	17/SN+세/NNB
청년이	청년/NNG+이/JKS
2년	2/SN+년/NNB
전	전/NNG
‘인간	‘/SS+인간/NNG
도살장’이라	도살장/NNG+’/SS+이/VCP+라/EC
불리는	불리/VV+는/ETM
다마스쿠스	다마스쿠스/NNP
북부	북부/NNG
사이드나야	사이드나야/NNP
군사감옥	군사/NNG+감옥/NNG
등에	등/NNB+에/JKB
10개월	10/SN+개월/NNB
동안	동안/NNG
갇혀	갇히/VV+어/EC
있었던	있/VX+었/EP+던/ETM
경험을	경험/NNG+을/JKO
되살리며	되살리/VV+며/EC
이렇게	이렇/VA+게/EC
적었다.	적/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.42.4.2
이 청년은 최근 영국 일간 가디언에 익명으로 ‘시리아 감옥 수감기’를 적어 보냈다.

이	이/MMD
청년은	청년/NNG+은/JX
최근	최근/NNG
영국	영국/NNP
일간	일간/NNG
가디언에	가디언/NNP+에/JKB
익명으로	익명/NNG+으로/JKB
‘시리아	‘/SS+시리아/NNP
감옥	감옥/NNG
수감기’를	수감기/NNG+’/SS+를/JKO
적어	적/VV+어/EC
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.42.4.3
유엔이 정한 국제 고문피해자 지원의 날인 26일 게재된 이 수감기에는 7년째 내전 중인 시리아의 끔찍한 인권 유린 실태가 고스란히 담겨 있다.

유엔이	유엔/NNP+이/JKS
정한	정하/VV+ㄴ/ETM
국제	국제/NNG
고문피해자	고문/NNG+피해자/NNG
지원의	지원/NNG+의/JKG
날인	날/NNG+이/VCP+ㄴ/ETM
26일	26/SN+일/NNB
게재된	게재/NNG+되/XSV+ㄴ/ETM
이	이/MMD
수감기에는	수감기/NNG+에/JKB+는/JX
7년째	7/SN+년/NNB+째/XSN
내전	내전/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
시리아의	시리아/NNP+의/JKG
끔찍한	끔찍하/VA+ㄴ/ETM
인권	인권/NNG
유린	유린/NNG
실태가	실태/NNG+가/JKS
고스란히	고스란히/MAG
담겨	담기/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.42.4.4
수감 당시 15세였던 소년이 직접 겪은 참상을 1인칭 시점에서 정리했다.

수감	수감/NNG
당시	당시/NNG
15세였던	15/SN+세/NNB+이/VCP+었/EP+던/ETM
소년이	소년/NNG+이/JKS
직접	직접/MAG
겪은	겪/VV+은/ETM
참상을	참상/NNG+을/JKO
1인칭	1/SN+인칭/NNG
시점에서	시점/NNG+에서/JKB
정리했다.	정리/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.42.5.1
난 알레포에서 태어났어.

난	나/NP+ㄴ/JX
알레포에서	알레포/NNP+에서/JKB
태어났어.	태어나/VV+았/EP+어/EF+./SF


# id : NWRW1800000053.42.5.2
열세 살 때인 2013년 내전이 격화되면서 점점 심해지는 통폭탄 공격을 피해 가족들과 함께 고향을 탈출했지.

열세	열세/MMN
살	살/NNB
때인	때/NNG+이/VCP+ㄴ/ETM
2013년	2013/SN+년/NNB
내전이	내전/NNG+이/JKS
격화되면서	격화/NNG+되/XSV+면서/EC
점점	점점/MAG
심해지는	심하/VA+아/EC+지/VX+는/ETM
통폭탄	통/NNG+폭탄/NNG
공격을	공격/NNG+을/JKO
피해	피하/VV+아/EC
가족들과	가족/NNG+들/XSN+과/JKB
함께	함께/MAG
